,gene_name,start,stop,strand,gene_product,cog,uniprot,regulator,accession,ncbi_protein,new_locus_tag,new_accession,operon
ABUW_2211,ABUW_2211,2198608,2198964,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA31939.1,ABUW_RS10750,NZ_CP008706.1,Op1143
ABUW_2212,ABUW_2212,2199040,2199972,-,Dyp-type peroxidase,Inorganic ion transport and metabolism,,,CP008706.1,AKA31940.1,ABUW_RS10755,NZ_CP008706.1,Op1144
ABUW_2213,ABUW_2213,2200126,2200905,-,glutaredoxin,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA31941.1,ABUW_RS10760,NZ_CP008706.1,Op1145
ABUW_2214,rraA,2200933,2201439,-,regulator of ribonuclease activity A,Coenzyme transport and metabolism,,,CP008706.1,AKA31942.1,ABUW_RS10765,NZ_CP008706.1,Op1145
ABUW_2215,ABUW_2215,2201452,2202117,-,nucleoside-diphosphate-sugar epimerase,Carbohydrate transport and metabolism,,,CP008706.1,AKA31943.1,ABUW_RS10770,NZ_CP008706.1,Op1145
ABUW_2216,rpsT,2202330,2202596,+,ribosomal protein S20,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA31944.1,ABUW_RS10775,NZ_CP008706.1,
ABUW_2217,ABUW_2217,2202653,2203387,-,phosphoglycerate mutase,Carbohydrate transport and metabolism,,,CP008706.1,AKA31945.1,ABUW_RS10780,NZ_CP008706.1,Op1146
ABUW_2218,cysQ,2203445,2204302,-,3'(2')%2C5'-bisphosphate nucleotidase,Inorganic ion transport and metabolism,,GigC,CP008706.1,AKA31946.1,ABUW_RS10785,NZ_CP008706.1,Op1147
ABUW_2219,ABUW_2219,2204612,2204980,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA31947.1,ABUW_RS10790,NZ_CP008706.1,
ABUW_2220,ABUW_2220,2205034,2205768,-,hypothetical protein,Function unknown,,,CP008706.1,AKA31948.1,ABUW_RS10795,NZ_CP008706.1,Op1148
ABUW_2221,ABUW_2221,2205801,2207531,-,glutathione import ATP-binding protein GsiA,Inorganic ion transport and metabolism,,,CP008706.1,AKA31949.1,ABUW_RS10800,NZ_CP008706.1,Op1148
ABUW_2222,ABUW_2222,2207544,2208686,-,ABC-type dipeptide/oligopeptide/nickel transport system permease component,Inorganic ion transport and metabolism,,,CP008706.1,AKA31950.1,ABUW_RS10805,NZ_CP008706.1,Op1148
ABUW_2223,ABUW_2223,2208694,2209632,-,ABC-type dipeptide/oligopeptide/nickel transport system permease component,Inorganic ion transport and metabolism,,,CP008706.1,AKA31951.1,ABUW_RS10810,NZ_CP008706.1,Op1148
ABUW_2224,ABUW_2224,2209645,2211657,-,Zn-dependent oligopeptidase,Amino acid transport and metabolism,,,CP008706.1,AKA31952.1,ABUW_RS10815,NZ_CP008706.1,Op1148
ABUW_2225,ABUW_2225,2211679,2213499,-,heme-binding protein A,Amino acid transport and metabolism,,,CP008706.1,AKA31953.1,ABUW_RS10820,NZ_CP008706.1,Op1148
ABUW_2226,ABUW_2226,2213518,2215302,-,heme-binding protein A,Amino acid transport and metabolism,,,CP008706.1,AKA31954.1,ABUW_RS10825,NZ_CP008706.1,Op1148
ABUW_2227,ABUW_2227,2215846,2215938,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA31955.1,,,
ABUW_2228,ABUW_2228,2216083,2218797,+,TonB-dependent receptor,Inorganic ion transport and metabolism,,,CP008706.1,AKA31956.1,ABUW_RS10830,NZ_CP008706.1,Op1149
ABUW_2229,ABUW_2229,2218907,2219623,+,TonB family protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA31957.1,ABUW_RS10835,NZ_CP008706.1,Op1150
ABUW_2230,ABUW_2230,2219664,2220545,+,biopolymer transport protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA31958.1,ABUW_RS10840,NZ_CP008706.1,Op1150
ABUW_2231,ABUW_2231,2220561,2220983,+,biopolymer transport protein ExbD/TolR,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA31959.1,ABUW_RS10845,NZ_CP008706.1,Op1150
ABUW_2232,ABUW_2232,2221003,2221416,+,biopolymer transport protein ExbD/TolR,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA31960.1,ABUW_RS10850,NZ_CP008706.1,Op1150
ABUW_2233,ABUW_2233,2221456,2221617,-,acetyltransferase%2C gnat family,Transcription,,,CP008706.1,AKA31961.1,,,Op1151
ABUW_2234,glcB,2221720,2223885,-,malate synthase G,Energy production and conversion,,,CP008706.1,AKA31962.1,ABUW_RS10860,NZ_CP008706.1,Op1152
ABUW_2235,ABUW_2235,2224254,2225396,-,AFG1-family ATPase,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA31963.1,ABUW_RS10865,NZ_CP008706.1,Op1153
ABUW_2236,ABUW_2236,2225480,2226499,-,transcriptional regulator%2C AraC family,Transcription,,,CP008706.1,AKA31964.1,ABUW_RS10870,NZ_CP008706.1,Op1154
ABUW_2237,ABUW_2237,2226660,2228168,+,monooxygenase%2C flavin-binding family,Inorganic ion transport and metabolism,,,CP008706.1,AKA31965.1,ABUW_RS10875,NZ_CP008706.1,Op1155
ABUW_2238,ABUW_2238,2228218,2229129,+,hypothetical protein,Function unknown,,,CP008706.1,AKA31966.1,ABUW_RS10880,NZ_CP008706.1,Op1156
ABUW_2239,pyrF,2229126,2229824,-,orotidine 5'-phosphate decarboxylase,Nucleotide transport and metabolism,,,CP008706.1,AKA31967.1,ABUW_RS10885,NZ_CP008706.1,Op1157
ABUW_2240,ABUW_2240,2229990,2230355,-,hypothetical protein,Function unknown,,,CP008706.1,AKA31968.1,ABUW_RS10890,NZ_CP008706.1,Op1158
ABUW_2241,ihfB,2230380,2230682,-,integration host factor%2C beta subunit,Transcription,,,CP008706.1,AKA31969.1,ABUW_RS10895,NZ_CP008706.1,Op1158
ABUW_2242,rpsA,2230839,2232512,-,ribosomal protein S1,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA31970.1,ABUW_RS10900,NZ_CP008706.1,Op1159
ABUW_2243,cmk,2232617,2233303,-,cytidylate kinase,Nucleotide transport and metabolism,,,CP008706.1,AKA31971.1,ABUW_RS10905,NZ_CP008706.1,Op1160
ABUW_2244,ABUW_2244,2233311,2233754,-,hypothetical protein,Lipid transport and metabolism,,,CP008706.1,AKA31972.1,ABUW_RS10910,NZ_CP008706.1,Op1160
ABUW_2245,ABUW_2245,2233824,2234300,-,tRNA-specific adenosine deaminase,Nucleotide transport and metabolism,,,CP008706.1,AKA31973.1,ABUW_RS10915,NZ_CP008706.1,Op1161
ABUW_2246,ABUW_2246,2234334,2235455,-,putative enoyl-CoA hydratase/isomerase,Lipid transport and metabolism,,,CP008706.1,AKA31974.1,ABUW_RS10920,NZ_CP008706.1,Op1161
ABUW_2247,ung,2235455,2236168,-,uracil-DNA glycosylase,"Replication, recombination and repair",,,CP008706.1,AKA31975.1,ABUW_RS10925,NZ_CP008706.1,Op1161
ABUW_2248,ABUW_2248,2236219,2236815,-,6-pyruvoyl tetrahydrobiopterin synthase,Coenzyme transport and metabolism,,,CP008706.1,AKA31976.1,ABUW_RS10930,NZ_CP008706.1,Op1162
ABUW_2249,gspK,2237045,2238004,-,general secretion pathway protein K,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA31977.1,ABUW_RS10935,NZ_CP008706.1,Op1163
ABUW_2250,gspJ,2238004,2238705,-,general secretion pathway protein J,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA31978.1,ABUW_RS10940,NZ_CP008706.1,Op1163
ABUW_2251,gspI,2238705,2239085,-,general secretion pathway protein I,Cell motility,,,CP008706.1,AKA31979.1,ABUW_RS10945,NZ_CP008706.1,Op1163
ABUW_2252,gspG,2239075,2239629,-,general secretion pathway protein G,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA31980.1,ABUW_RS10950,NZ_CP008706.1,Op1163
ABUW_2253,ABUW_2253,2239639,2240247,-,transcriptional regulator%2C TetR family,Transcription,,,CP008706.1,AKA31981.1,ABUW_RS10955,NZ_CP008706.1,Op1163
ABUW_2254,ABUW_2254,2240285,2241058,-,TatD-related deoxyribonuclease,"Replication, recombination and repair",,,CP008706.1,AKA31982.1,ABUW_RS10960,NZ_CP008706.1,Op1163
ABUW_2255,pilZ,2241076,2241417,-,type 4 fimbrial biogenesis protein,Cell motility,,,CP008706.1,AKA31983.1,ABUW_RS10965,NZ_CP008706.1,Op1163
ABUW_2256,holB,2241429,2242409,-,DNA polymerase III delta prime subunit,"Replication, recombination and repair",,,CP008706.1,AKA31984.1,ABUW_RS10970,NZ_CP008706.1,Op1163
ABUW_2257,kdsB,2242421,2243182,-,3-deoxy-manno-octulosonate cyidylyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA31985.1,ABUW_RS10975,NZ_CP008706.1,Op1163
ABUW_2258,lpxK,2243192,2244202,-,tetraacyldisaccharide 4'-kinase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA31986.1,ABUW_RS10980,NZ_CP008706.1,Op1163
ABUW_2259,msbA,2244205,2245932,-,lipid A export permease/ATP-binding protein MsbA,Defense mechanisms,,,CP008706.1,AKA31987.1,ABUW_RS10985,NZ_CP008706.1,Op1163
ABUW_2260,ABUW_2260,2245929,2246357,-,biopolymer transport protein ExbD/TolR,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA31988.1,ABUW_RS10990,NZ_CP008706.1,Op1163
ABUW_2261,ABUW_2261,2246373,2247008,-,MotA/TolQ/ExbB proton channel,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA31989.1,ABUW_RS10995,NZ_CP008706.1,Op1163
ABUW_2262,spoOJ,2247058,2247945,-,chromosome partitioning protein ParB,Transcription,,,CP008706.1,AKA31990.1,ABUW_RS11000,NZ_CP008706.1,Op1164
ABUW_2263,soj,2247942,2248724,-,sporulation initiation inhibitor protein soj,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA31991.1,ABUW_RS11005,NZ_CP008706.1,Op1164
ABUW_2264,gidB,2248746,2249378,-,methyltransferase GidB,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA31992.1,ABUW_RS11010,NZ_CP008706.1,Op1164
ABUW_2265,ABUW_2265,2249466,2250155,-,nucleotidyl transferase family protein,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA31993.1,ABUW_RS11015,NZ_CP008706.1,Op1165
ABUW_2266,ABUW_2266,2250155,2251168,-,aminoglycoside phosphotransferase,Function unknown,,,CP008706.1,AKA31994.1,ABUW_RS11020,NZ_CP008706.1,Op1165
ABUW_2267,ostA,2251289,2253727,+,organic solvent tolerance protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA31995.1,ABUW_RS11025,NZ_CP008706.1,Op1166
ABUW_2268,surA,2253727,2255037,+,PpiC-type peptidyl-prolyl cis-trans isomerase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA31996.1,ABUW_RS11030,NZ_CP008706.1,Op1166
ABUW_2269,fba,2255156,2256193,-,fructose-bisphosphate aldolase%2C class II%2C Calvin cycle subtype,Carbohydrate transport and metabolism,,,CP008706.1,AKA31997.1,ABUW_RS11035,NZ_CP008706.1,Op1167
ABUW_2270,ABUW_2270,2256315,2256557,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA31998.1,ABUW_RS11040,NZ_CP008706.1,Op1167
ABUW_2271,pgk,2256682,2257869,-,phosphoglycerate kinase,Nucleotide transport and metabolism,,,CP008706.1,AKA31999.1,ABUW_RS11045,NZ_CP008706.1,Op1167
ABUW_2272,ABUW_2272,2258008,2258391,+,hypothetical protein,Function unknown,,,CP008706.1,AKA32000.1,ABUW_RS11050,NZ_CP008706.1,Op1168
ABUW_2273,maf2,2258391,2258984,+,septum formation protein Maf,"Cell cycle control, cell division, chromosome partitioning",,,CP008706.1,AKA32001.1,ABUW_RS11055,NZ_CP008706.1,Op1168
ABUW_2274,ABUW_2274,2259015,2260178,+,cupin family protein,Function unknown,,,CP008706.1,AKA32002.1,ABUW_RS11060,NZ_CP008706.1,Op1168
ABUW_2275,ABUW_2275,2260516,2261082,+,transcriptional regulator%2C TetR family,Transcription,,,CP008706.1,AKA32003.1,ABUW_RS11065,NZ_CP008706.1,Op1169
ABUW_2276,ABUW_2276,2261557,2261865,+,transcriptional regulator%2C ArsR family,Transcription,,,CP008706.1,AKA32004.1,ABUW_RS11070,NZ_CP008706.1,Op1170
ABUW_2277,sstT,2262287,2263489,+,inner membrane symporter YgjU,Amino acid transport and metabolism,,,CP008706.1,AKA32005.1,ABUW_RS11075,NZ_CP008706.1,Op1171
ABUW_2278,ABUW_2278,2263495,2264175,+,permease,Function unknown,,,CP008706.1,AKA32006.1,ABUW_RS11080,NZ_CP008706.1,Op1171
ABUW_2279,ABUW_2279,2264179,2264715,+,nucleoprotein/polynucleotide-associated enzyme,Function unknown,,,CP008706.1,AKA32007.1,ABUW_RS11085,NZ_CP008706.1,Op1171
ABUW_2280,ABUW_2280,2265091,2266938,+,putative transport protein,Defense mechanisms,,,CP008706.1,AKA32008.1,ABUW_RS11090,NZ_CP008706.1,Op1172
ABUW_2281,ABUW_2281,2266938,2267378,+,MaoC domain protein dehydratase,Lipid transport and metabolism,,,CP008706.1,AKA32009.1,ABUW_RS11095,NZ_CP008706.1,Op1172
ABUW_2282,ABUW_2282,2267487,2268512,+,transcriptional regulator%2C AraC family,Transcription,,,CP008706.1,AKA32010.1,ABUW_RS11100,NZ_CP008706.1,Op1173
ABUW_2283,gcvH,2268551,2268925,+,glycine cleavage system H protein,Amino acid transport and metabolism,,,CP008706.1,AKA32011.1,ABUW_RS11105,NZ_CP008706.1,Op1173
ABUW_2284,npdA,2269029,2269727,+,NAD-dependent deacetylase regulatory protein,Transcription,,,CP008706.1,AKA32012.1,ABUW_RS11110,NZ_CP008706.1,Op1174
ABUW_2285,putP,2270136,2271626,+,sodium/proline symporter,Amino acid transport and metabolism,,,CP008706.1,AKA32013.1,ABUW_RS11115,NZ_CP008706.1,Op1175
ABUW_2286,ABUW_2286,2271659,2272147,-,leucine-responsive regulatory protein,Transcription,,,CP008706.1,AKA32014.1,ABUW_RS11120,NZ_CP008706.1,
ABUW_2287,putA,2272272,2276024,+,delta-1-pyrroline-5-carboxylate dehydrogenase,Energy production and conversion,,,CP008706.1,AKA32015.1,ABUW_RS11125,NZ_CP008706.1,Op1176
ABUW_2288,ABUW_2288,2276130,2276603,+,hypothetical protein,Function unknown,,,CP008706.1,AKA32016.1,ABUW_RS11130,NZ_CP008706.1,Op1177
ABUW_2289,trmA,2276707,2277792,+,tRNA (uracil-5-)-methyltransferase,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA32017.1,ABUW_RS11135,NZ_CP008706.1,Op1178
ABUW_2290,ABUW_2290,2278041,2278271,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA32018.1,ABUW_RS11140,NZ_CP008706.1,Op1179
ABUW_2291,ABUW_2291,2278307,2279053,-,hypothetical protein,Function unknown,,,CP008706.1,AKA32019.1,ABUW_RS11145,NZ_CP008706.1,
ABUW_2292,ABUW_2292,2279239,2279829,+,hypothetical protein,Transcription,,,CP008706.1,AKA32020.1,ABUW_RS11150,NZ_CP008706.1,
ABUW_2293,ABUW_2293,2279875,2280465,-,hypothetical protein,Function unknown,,,CP008706.1,AKA32021.1,ABUW_RS11155,NZ_CP008706.1,
ABUW_2294,ABUW_2294,2280680,2281087,+,OsmC family protein,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA32022.1,ABUW_RS11160,NZ_CP008706.1,
ABUW_2295,tkt,2281141,2283129,-,transketolase,Carbohydrate transport and metabolism,,,CP008706.1,AKA32023.1,ABUW_RS11165,NZ_CP008706.1,
ABUW_2296,metK,2283653,2284819,+,methionine adenosyltransferase,Coenzyme transport and metabolism,,,CP008706.1,AKA32024.1,ABUW_RS11170,NZ_CP008706.1,
ABUW_2297,ABUW_2297,2284943,2285191,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA32025.1,ABUW_RS20510,NZ_CP008706.1,
ABUW_2298,ABUW_2298,2285450,2285635,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA32026.1,ABUW_RS11180,NZ_CP008706.1,
ABUW_2299,fxsA,2285699,2286259,-,suppressor of F exclusion of phage T7,Function unknown,,,CP008706.1,AKA32027.1,ABUW_RS11185,NZ_CP008706.1,
ABUW_2300,bla-OXA-69,2286658,2287482,+,carbapenem-hydrolyzing oxacillinase OXA-69,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA32028.1,ABUW_RS11190,NZ_CP008706.1,
ABUW_2301,yncA,2287554,2288099,-,phosphinothricin acetyltransferase,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA32029.1,ABUW_RS11195,NZ_CP008706.1,Op1180
ABUW_2302,ABUW_2302,2288096,2288689,-,transcriptional regulator%2C XRE family,Transcription,,,CP008706.1,AKA32030.1,ABUW_RS11200,NZ_CP008706.1,Op1180
ABUW_2303,ABUW_2303,2288745,2288861,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA32031.1,,,
ABUW_2304,ruvC,2288919,2289464,+,crossover junction endodeoxyribonuclease RuvC,"Replication, recombination and repair",,,CP008706.1,AKA32032.1,ABUW_RS11205,NZ_CP008706.1,
ABUW_2305,ABUW_2305,2289469,2290929,-,carbohydrate kinase family,Carbohydrate transport and metabolism,,,CP008706.1,AKA32033.1,ABUW_RS11210,NZ_CP008706.1,
ABUW_2306,ABUW_2306,2290958,2292046,+,iron-sulfur cluster binding protein,Energy production and conversion,,,CP008706.1,AKA32034.1,ABUW_RS11215,NZ_CP008706.1,Op1181
ABUW_2307,bioB,2292146,2293135,+,biotin synthase,Coenzyme transport and metabolism,,,CP008706.1,AKA32035.1,ABUW_RS11220,NZ_CP008706.1,Op1182
ABUW_2308,ABUW_2308,2293182,2293394,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA32036.1,ABUW_RS11225,NZ_CP008706.1,Op1183
ABUW_2309,ABUW_2309,2293458,2293808,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA32037.1,ABUW_RS11230,NZ_CP008706.1,Op1184
ABUW_2310,ABUW_2310,2294255,2294791,+,fimbrial protein,Cell motility,,Fur,CP008706.1,AKA32038.1,ABUW_RS11235,NZ_CP008706.1,Op1185
ABUW_2311,ABUW_2311,2294862,2295602,+,pili assembly chaperone,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA32039.1,ABUW_RS11240,NZ_CP008706.1,Op1186
ABUW_2312,ABUW_2312,2295654,2298191,+,fimbrial biogenesis outer membrane usher protein,Cell motility,,GacA,CP008706.1,AKA32040.1,ABUW_RS11245,NZ_CP008706.1,Op1187
ABUW_2313,ABUW_2313,2298188,2299207,+,fimbrial protein,Cell motility,,,CP008706.1,AKA32041.1,ABUW_RS11250,NZ_CP008706.1,Op1187
ABUW_2314,ABUW_2314,2299784,2299963,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA32042.1,ABUW_RS11255,NZ_CP008706.1,Op1188
ABUW_2315,ABUW_2315,2300003,2300854,-,transcriptional regulator%2C LysR family,Transcription,,,CP008706.1,AKA32043.1,ABUW_RS11260,NZ_CP008706.1,
ABUW_2316,ABUW_2316,2300949,2301878,+,hypothetical protein,Amino acid transport and metabolism,,,CP008706.1,AKA32044.1,ABUW_RS11265,NZ_CP008706.1,Op1189
ABUW_2317,ABUW_2317,2301991,2302455,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA32045.1,ABUW_RS11270,NZ_CP008706.1,Op1190
ABUW_2318,ABUW_2318,2302706,2304121,+,cytosine/purines/uracil/thiamine/allantoin permease family protein,"Intracellular trafficking, secretion, and vesicular transport",,HutC,CP008706.1,AKA32046.1,ABUW_RS11275,NZ_CP008706.1,Op1191
ABUW_2319,ABUW_2319,2304179,2304616,-,putative membrane protein,Function unknown,,,CP008706.1,AKA32047.1,ABUW_RS11280,NZ_CP008706.1,
ABUW_2320,ABUW_2320,2304706,2305605,+,transcriptional Regulator%2C LysR family,Transcription,,,CP008706.1,AKA32048.1,ABUW_RS11285,NZ_CP008706.1,
ABUW_2321,ABUW_2321,2305636,2305734,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA32049.1,,,
ABUW_2322,ABUW_2322,2306188,2307420,-,phage integrase,"Replication, recombination and repair",,,CP008706.1,AKA32050.1,ABUW_RS11290,NZ_CP008706.1,
ABUW_2324,ABUW_2324,2307851,2308714,-,heme oxygenase-like protein,No COG annotation,,,CP008706.1,AKA32051.1,ABUW_RS11300,NZ_CP008706.1,
ABUW_2325,ABUW_2325,2308990,2309550,+,transcriptional regulator%2C TetR family,Transcription,,,CP008706.1,AKA32052.1,ABUW_RS11305,NZ_CP008706.1,Op1192
ABUW_2326,ABUW_2326,2309736,2310281,+,1-acyl-sn-glycerol-3-phosphate acyltransferase,Lipid transport and metabolism,,,CP008706.1,AKA32053.1,ABUW_RS11310,NZ_CP008706.1,Op1193
ABUW_2327,ABUW_2327,2310443,2311192,+,hypothetical protein,Transcription,,,CP008706.1,AKA32054.1,ABUW_RS11315,NZ_CP008706.1,Op1194
ABUW_2328,ABUW_2328,2311223,2311693,-,transcriptional regulator%2C AsnC family,Transcription,,,CP008706.1,AKA32055.1,ABUW_RS11320,NZ_CP008706.1,
ABUW_2329,ABUW_2329,2312024,2313355,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,,,CP008706.1,AKA32056.1,ABUW_RS11325,NZ_CP008706.1,
ABUW_2330,gltL,2313406,2314149,-,glutamate/aspartate transport ATP-binding protein GltL,Amino acid transport and metabolism,,,CP008706.1,AKA32057.1,ABUW_RS11330,NZ_CP008706.1,Op1195
ABUW_2331,gltK,2314163,2314840,-,glutamate/aspartate transport system permease protein GltK,Inorganic ion transport and metabolism,,,CP008706.1,AKA32058.1,ABUW_RS11335,NZ_CP008706.1,Op1195
ABUW_2332,gltJ,2314843,2315685,-,glutamate/aspartate transport system permease protein GltJ,Inorganic ion transport and metabolism,,,CP008706.1,AKA32059.1,ABUW_RS11340,NZ_CP008706.1,Op1195
ABUW_2333,gltI,2315780,2316673,-,glutamate/aspartate ABC transporter%2C periplasmic glutamate/aspartate-binding protein,Amino acid transport and metabolism,,,CP008706.1,AKA32060.1,ABUW_RS11345,NZ_CP008706.1,Op1195
ABUW_2334,ABUW_2334,2317210,2317974,-,glutathione S-transferase,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA32061.1,ABUW_RS11350,NZ_CP008706.1,Op1196
ABUW_2335,ABUW_2335,2318344,2319555,+,acyl-CoA dehydrogenase family protein,Lipid transport and metabolism,,Fur,CP008706.1,AKA32062.1,ABUW_RS11355,NZ_CP008706.1,Op1197
ABUW_2336,ABUW_2336,2319568,2320791,+,putative Acyl-CoA dehydrogenase,Lipid transport and metabolism,,,CP008706.1,AKA32063.1,ABUW_RS11360,NZ_CP008706.1,Op1197
ABUW_2337,ABUW_2337,2320791,2322203,+,hypothetical protein,Energy production and conversion,,,CP008706.1,AKA32064.1,ABUW_RS11365,NZ_CP008706.1,Op1197
ABUW_2338,metQ1,2322218,2323048,+,D-methionine transport protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA32065.1,ABUW_RS11370,NZ_CP008706.1,Op1197
ABUW_2339,metQ2,2323062,2323895,+,D-methionine transport protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA32066.1,ABUW_RS11375,NZ_CP008706.1,Op1197
ABUW_2340,metN1,2323907,2324977,+,D-and L-methionine transport protein,Inorganic ion transport and metabolism,,,CP008706.1,AKA32067.1,ABUW_RS11380,NZ_CP008706.1,Op1197
ABUW_2341,ABUW_2341,2324958,2325617,+,D-methionine transport system permease protein MetI,Inorganic ion transport and metabolism,,,CP008706.1,AKA32068.1,ABUW_RS11385,NZ_CP008706.1,Op1197
ABUW_2342,ychF,2325711,2326802,+,GTP-binding protein YchF,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA32069.1,ABUW_RS11390,NZ_CP008706.1,Op1198
ABUW_2343,ABUW_2343,2326847,2327368,-,hypothetical protein,Function unknown,,,CP008706.1,AKA32070.1,ABUW_RS11395,NZ_CP008706.1,
ABUW_2344,ABUW_2344,2327461,2328168,+,transcriptional regulator%2C Crp/Fnr family,Transcription,,,CP008706.1,AKA32071.1,ABUW_RS11400,NZ_CP008706.1,Op1199
ABUW_2345,ABUW_2345,2328341,2328676,+,hypothetical protein,No COG annotation,,,CP008706.1,AKA32072.1,ABUW_RS11405,NZ_CP008706.1,Op1200
ABUW_2346,ABUW_2346,2328749,2329219,-,hypothetical protein,No COG annotation,,,CP008706.1,AKA32073.1,ABUW_RS11410,NZ_CP008706.1,
ABUW_2347,ABUW_2347,2329321,2330061,+,putative amino acid transporter,Amino acid transport and metabolism,,,CP008706.1,AKA32074.1,ABUW_RS11415,NZ_CP008706.1,Op1201
ABUW_2348,ABUW_2348,2330063,2330404,+,putative amino acid transporter,Function unknown,,,CP008706.1,AKA32075.1,ABUW_RS11420,NZ_CP008706.1,Op1201
ABUW_2349,ABUW_2349,2330533,2330922,+,hypothetical protein,Function unknown,,,CP008706.1,AKA32076.1,ABUW_RS11425,NZ_CP008706.1,Op1202
ABUW_2350,purT,2331034,2332242,+,phosphoribosylglycinamide formyltransferase 2,Nucleotide transport and metabolism,,,CP008706.1,AKA32077.1,ABUW_RS11430,NZ_CP008706.1,Op1203
ABUW_2351,glnD,2332270,2334933,+,[protein-PII] uridylyltransferase,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA32078.1,ABUW_RS11435,NZ_CP008706.1,Op1203
ABUW_2352,ABUW_2352,2334902,2336128,+,aminotransferase,Amino acid transport and metabolism,,,CP008706.1,AKA32079.1,ABUW_RS11440,NZ_CP008706.1,Op1203
ABUW_2353,ABUW_2353,2336186,2336818,-,lysine exporter protein,Amino acid transport and metabolism,,,CP008706.1,AKA32080.1,ABUW_RS11445,NZ_CP008706.1,Op1204
ABUW_2354,ABUW_2354,2336883,2337728,-,transcriptional regulator%2C AraC family,Transcription,,,CP008706.1,AKA32081.1,ABUW_RS11450,NZ_CP008706.1,Op1205
ABUW_2355,gpo,2337728,2338213,-,glutathione peroxidase,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA32082.1,ABUW_RS11455,NZ_CP008706.1,Op1205
ABUW_2356,msrB,2338210,2338629,-,methionine-R-sulfoxide reductase,"Post-translational modification, protein turnover,and chaperones",,,CP008706.1,AKA32083.1,ABUW_RS11460,NZ_CP008706.1,Op1205
ABUW_2357,ABUW_2357,2338870,2340300,+,aspartate aminotransferase,Amino acid transport and metabolism,,,CP008706.1,AKA32084.1,ABUW_RS11465,NZ_CP008706.1,Op1206
ABUW_2358,ABUW_2358,2340767,2342074,+,proton/sodium-glutamate symport protein,"Intracellular trafficking, secretion, and vesicular transport",,,CP008706.1,AKA32085.1,ABUW_RS11470,NZ_CP008706.1,Op1207
ABUW_2359,aspQ,2342758,2343825,+,L-asparaginase 2,Amino acid transport and metabolism,,,CP008706.1,AKA32086.1,ABUW_RS11475,NZ_CP008706.1,Op1208
ABUW_2360,dnaE,2344041,2347604,+,DNA polymerase III subunit alpha,"Replication, recombination and repair",,,CP008706.1,AKA32087.1,ABUW_RS11480,NZ_CP008706.1,Op1209
ABUW_2361,ABUW_2361,2347619,2348458,+,RNA methyltransferase%2C TrmH family%2C group 1,"Translation, ribosomal structure and biogenesis",,,CP008706.1,AKA32088.1,ABUW_RS11485,NZ_CP008706.1,Op1209
