,gene_name,start,end,strand,gene_product,cog,uniprot,regulator
PSPTO_2598,irp4,2871864,2872634,-,thioesterase,"Secondary metabolites biosynthesis, transport, and catabolism",UPI0003096500,
PSPTO_2599,irp3,2872651,2873733,-,thiazolinyl imide reductase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A099SVK9,
PSPTO_2600,irp1,2873730,2883251,-,type I polyketide synthase,"Secondary metabolites biosynthesis, transport, and catabolism",Q882M6,
PSPTO_2601,PSPTO_2601,2883238,2884464,-,MFS transporter,Amino acid transport and metabolism,A0A0N1JK02,
PSPTO_2602,PSPTO_2602,2884461,2890634,-,non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",Q882M4,
PSPTO_2603,PSPTO_2603,2890695,2892440,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0N0X0P7,
PSPTO_2604,PSPTO_2604,2892437,2894218,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0N0X0R1,
PSPTO_2605,PSPTO_2605,2894373,2896376,-,TonB-dependent receptor,Cell wall/membrane/envelope biogenesis,UPI0005C856B0,
PSPTO_2606,PSPTO_2606,2896523,2897461,+,AraC family transcriptional regulator,Transcription,A0A3M3BNU5,
PSPTO_2607,PSPTO_2607,2897458,2899956,-,TonB-dependent receptor,Inorganic ion transport and metabolism,A0A2V4P0P8,
PSPTO_2608,PSPTO_2608,2900350,2900955,+,SCO family protein,Function unknown,A0A0N0WBG2,
PSPTO_2609,PSPTO_2609,2900949,2901443,+,copper chaperone PCu(A)C,Function unknown,UPI00137921E7,
PSPTO_RS13495,PSPTO_RS13495,2901459,2901650,+,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_2610,PSPTO_2610,2901682,2902140,-,metallophosphoesterase family protein,Function unknown,A0A0N1JK00,
PSPTO_2611,PSPTO_2611,2902216,2902797,-,ATP phosphoribosyltransferase regulatory subunit,"Translation, ribosomal structure and biogenesis",A0A0Q0BK76,
PSPTO_2612,PSPTO_2612,2903125,2903628,-,GNAT family N-acetyltransferase,"Translation, ribosomal structure and biogenesis",A0A099SVJ8,
PSPTO_2613,PSPTO_2613,2903711,2904160,-,hypothetical protein,No COG annotation,A0A0N0G6B4,
PSPTO_2614,PSPTO_2614,2904461,2905300,+,TauD/TfdA family dioxygenase,Energy production and conversion,A0A099SSX9,
PSPTO_RS13525,PSPTO_RS13525,2905391,2905642,+,hypothetical protein,No COG annotation,A0A099SUZ5,
PSPTO_2615,PSPTO_2615,2905681,2906178,-,GAF domain-containing protein,Signal transduction mechanisms,A0A099SS69,
PSPTO_2616,PSPTO_2616,2906368,2908293,+,methyl-accepting chemotaxis protein,Cell motility,UPI00062143D7,
PSPTO_2617,PSPTO_2617,2908370,2909275,-,LysR family transcriptional regulator,Transcription,A0A3M5T5S3,
PSPTO_2618,argD-2,2909379,2910581,+,aspartate aminotransferase family protein,Amino acid transport and metabolism,A0A0N8T6T9,
PSPTO_5640,PSPTO_5640,2910705,2911238,+,DUF4174 domain-containing protein,Function unknown,A0A099SUZ0,
PSPTO_2620,PSPTO_2620,2911293,2911733,-,CBS domain-containing protein,Signal transduction mechanisms,A0A099SS67,
PSPTO_2621,polB,2911958,2914321,+,DNA polymerase II,"Replication, recombination and repair",A0A3M5KH27,
PSPTO_2622,PSPTO_2622,2914318,2915163,-,NAD-dependent protein deacetylase,Transcription,A0A0Q0DB28,
PSPTO_2623,PSPTO_2623,2915330,2916172,+,PhzF family phenazine biosynthesis protein,Function unknown,A0A0Q0BMR5,
PSPTO_2624,PSPTO_2624,2916314,2917153,-,TIGR03915 family putative DNA repair protein,"Replication, recombination and repair",A0A0Q0D261,
PSPTO_RS13580,PSPTO_RS13580,2917150,2918368,-,putative DNA modification/repair radical SAM protein,Function unknown,,
PSPTO_2626,lrhA,2918440,2919312,-,transcriptional regulator LrhA,Transcription,A0A0N0FYJ1,
PSPTO_2627,PSPTO_2627,2919555,2920397,+,transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,Q882K0,
PSPTO_2628,PSPTO_2628,2920441,2921175,+,amino acid ABC transporter permease,Inorganic ion transport and metabolism,A0A0P9PTR9,
PSPTO_2629,PSPTO_2629,2921165,2921953,+,amino acid ABC transporter permease,Inorganic ion transport and metabolism,A0A0N0FJM1,
PSPTO_2630,PSPTO_2630,2921940,2922776,+,amino acid ABC transporter ATP-binding protein,Amino acid transport and metabolism,A0A0N0FJB6,
PSPTO_2631,PSPTO_2631,2922804,2923397,+,cysteine dioxygenase family protein,Function unknown,A0A0Q0BKB2,
PSPTO_2632,metC,2923595,2926390,+,cystathionine beta-lyase,Amino acid transport and metabolism,A0A0Q0ERW8,
PSPTO_RS13620,PSPTO_RS13620,2926459,2926605,+,hypothetical protein,No COG annotation,UPI000301A63B,
PSPTO_2633,PSPTO_2633,2926602,2927351,+,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A261WAY8,
PSPTO_2634,PSPTO_2634,2927348,2928217,+,metal ABC transporter permease,Inorganic ion transport and metabolism,A0A099ST53,
PSPTO_2635,PSPTO_2635,2928229,2929125,+,metal ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,A0A0Q0HKL5,
PSPTO_2636,galM,2929175,2930323,-,galactose mutarotase,Carbohydrate transport and metabolism,A0A4P6QJI3,
PSPTO_2637,PSPTO_2637,2930623,2931495,+,SMP-30/gluconolactonase/LRE family protein,Carbohydrate transport and metabolism,A0A0Q0HKQ2,
PSPTO_2638,abP,2931657,2932670,+,substrate-binding domain-containing protein,Inorganic ion transport and metabolism,A0A099SS59,
PSPTO_2639,PSPTO_2639,2932726,2934249,+,L-arabinose ABC transporter ATP-binding protein AraG,Inorganic ion transport and metabolism,A0A0Q0CPG2,
PSPTO_2640,araH,2934290,2935255,+,L-arabinose ABC transporter permease AraH,Inorganic ion transport and metabolism,A0A2K4VUM9,
PSPTO_2642,PSPTO_2642,2935352,2936677,-,HAMP domain-containing histidine kinase,Signal transduction mechanisms,A0A0Q0BCT3,
PSPTO_2643,PSPTO_2643,2936674,2937375,-,response regulator transcription factor,Signal transduction mechanisms,Q882I4,
PSPTO_2644,PSPTO_2644,2937426,2938205,-,MipA/OmpV family protein,Cell wall/membrane/envelope biogenesis,A0A0N0WS78,
PSPTO_2645,PSPTO_2645,2938265,2939854,-,FAD-dependent oxidoreductase,Energy production and conversion,A0A0N0FYI4,
PSPTO_2646,PSPTO_2646,2940143,2940871,+,TetR/AcrR family transcriptional regulator C-terminal domain-containing protein,Transcription,A0A0P9TM88,
PSPTO_2647,PSPTO_2647,2940935,2941675,+,hypothetical protein,No COG annotation,A0A0N0FYJ3,
PSPTO_2648,PSPTO_2648,2941675,2942142,+,hypothetical protein,No COG annotation,A0A0N0FYJ0,
PSPTO_2649,PSPTO_2649,2942262,2943113,+,CAP domain-containing protein,Function unknown,A0A0Q0CPH4,
PSPTO_2650,PSPTO_2650,2943186,2943347,+,membrane protein,Signal transduction mechanisms,A0A0Q0CPN7,
PSPTO_2651,PSPTO_2651,2943337,2943714,-,response regulator,Signal transduction mechanisms,A0A0Q0BIP3,
PSPTO_2652,PSPTO_2652,2943711,2946692,-,GAF domain-containing protein,Signal transduction mechanisms,A0A0Q0ES02,
PSPTO_RS13720,mqo,2947054,2948691,-,malate dehydrogenase (quinone),Energy production and conversion,,
PSPTO_2654,PSPTO_2654,2949573,2950250,+,(2Fe-2S)-binding protein,Energy production and conversion,A0A0N0WBH4,
PSPTO_2655,PSPTO_2655,2950250,2951233,+,xanthine dehydrogenase family protein subunit M,Energy production and conversion,A0A0N0WT99,
PSPTO_2656,PSPTO_2656,2951243,2953459,+,xanthine dehydrogenase family protein molybdopterin-binding subunit,Energy production and conversion,A0A099ST32,
PSPTO_2657,PSPTO_2657,2953462,2954430,+,XdhC family protein,"Post-translational modification, protein turnover,and chaperones",A0A099SVH1,
PSPTO_2658,PSPTO_2658,2954411,2955034,-,nucleotidyltransferase family protein,Function unknown,A0A0Q0CD15,
PSPTO_2659,PSPTO_2659,2955177,2955761,+,flavin reductase family protein,Function unknown,A0A0N1JGS4,AlgU
PSPTO_2660,PSPTO_2660,2956044,2957435,-,aldehyde dehydrogenase family protein,Energy production and conversion,A0A0N0WWK1,
PSPTO_2661,PSPTO_2661,2957538,2958416,+,LysR family transcriptional regulator,Transcription,A0A099ST27,
PSPTO_2662,PSPTO_2662,2958422,2959516,-,tartrate dehydrogenase,Energy production and conversion,A0A0N0WV50,
PSPTO_2663,PSPTO_2663,2959629,2960534,+,LysR family transcriptional regulator,Transcription,A0A099SSG7,
PSPTO_2664,PSPTO_2664,2960581,2961735,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A0N0G114,
PSPTO_2665,PSPTO_2665,2961732,2962547,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A0N0FJL2,
PSPTO_2666,PSPTO_2666,2962554,2963492,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A3M5YH00,
PSPTO_2667,PSPTO_2667,2963495,2964520,-,ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0N0FJP7,
PSPTO_2668,ribBA-2,2964810,2965919,-,bifunctional 3%2C4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II,Coenzyme transport and metabolism,Q882G0,
PSPTO_2669,PSPTO_2669,2966014,2966304,+,DUF1330 domain-containing protein,Function unknown,A0A099SSG3,
PSPTO_2670,PSPTO_2670,2966404,2966967,-,NUDIX hydrolase,Nucleotide transport and metabolism,A0A0N0WV84,
PSPTO_2671,PSPTO_2671,2966969,2967721,-,GntR family transcriptional regulator,Transcription,A0A0P9KWG8,
PSPTO_2672,PSPTO_2672,2967912,2968397,-,flavin reductase family protein,Transcription,A0A0K8MBG6,
PSPTO_2673,aldB,2968411,2969892,-,aldehyde dehydrogenase,Energy production and conversion,A0A0P9YBW7,
PSPTO_2674,PSPTO_2674,2969889,2970737,-,alpha/beta fold hydrolase,Lipid transport and metabolism,A0A099SSF7,
PSPTO_2675,PSPTO_2675,2970772,2971362,-,amino acid synthesis family protein,Function unknown,A0A099SUU5,
PSPTO_2676,fdhA-2,2971649,2972788,+,glutathione-independent formaldehyde dehydrogenase,Energy production and conversion,A0A0Q0CD72,
PSPTO_2677,PSPTO_2677,2972883,2973743,+,glucose 1-dehydrogenase,Lipid transport and metabolism,A0A099ST13,
PSPTO_2678,hopP1,2974074,2974919,+,transglycosylase SLT domain-containing protein,Cell wall/membrane/envelope biogenesis,UPI0002FDC9D9,
PSPTO_RS13850,PSPTO_RS13850,2975153,2975431,+,hypothetical protein,No COG annotation,,
PSPTO_2680,gabD-3,2975356,2976786,+,NAD-dependent succinate-semialdehyde dehydrogenase,Energy production and conversion,A0A0Q0CD33,
PSPTO_2681,pbpG,2976862,2977797,-,D-alanyl-D-alanine endopeptidase,Cell wall/membrane/envelope biogenesis,Q882E7,
PSPTO_5641,PSPTO_5641,2978065,2978625,+,hypothetical protein,No COG annotation,A0A099SUT9,
PSPTO_2683,PSPTO_2683,2978728,2978910,-,hypothetical protein,No COG annotation,A0A0N0FJM4,
PSPTO_2684,PSPTO_2684,2979083,2979439,-,hypothetical protein,No COG annotation,A0A0N0WC09,AlgU
PSPTO_RS13880,PSPTO_RS13880,2979641,2980457,+,shikimate 5-dehydrogenase,Amino acid transport and metabolism,,
PSPTO_2686,PSPTO_2686,2980482,2981147,-,DUF480 domain-containing protein,Function unknown,A0A0N0FJQ7,
PSPTO_2687,PSPTO_2687,2981303,2981812,+,DUF1993 domain-containing protein,Function unknown,A0A099SUT4,
PSPTO_2688,PSPTO_2688,2982076,2983230,+,MFS transporter,Amino acid transport and metabolism,A0A0Q0CXE5,
PSPTO_2689,nhaR,2983227,2984129,-,transcriptional activator NhaR,Transcription,Q882D9,
PSPTO_2690,PSPTO_2690,2984262,2984504,+,lipoprotein,No COG annotation,Q882D8,
PSPTO_2691,PSPTO_2691,2984539,2985300,+,TerC family protein,Inorganic ion transport and metabolism,A0A0P9P0W9,
PSPTO_2692,PSPTO_2692,2985402,2985581,-,hypothetical protein,No COG annotation,Q882D6,
PSPTO_2693,PSPTO_2693,2985801,2986496,+,peptidase C39 family protein,Function unknown,A0A0N0G126,
PSPTO_2694,PSPTO_2694,2986568,2987851,-,FAD-binding oxidoreductase,Amino acid transport and metabolism,A0A099ST01,
PSPTO_2695,PSPTO_2695,2988478,2989539,-,SDR family oxidoreductase,Carbohydrate transport and metabolism,A0A099SVE3,
PSPTO_2696,PSPTO_2696,2989651,2990037,-,NUDIX domain-containing protein,Nucleotide transport and metabolism,A0A0N0FJJ4,
PSPTO_2697,PSPTO_2697,2990361,2991437,-,NAD(P)-dependent alcohol dehydrogenase,Energy production and conversion,A0A0N0WYL5,
PSPTO_2698,PSPTO_2698,2991728,2992018,+,hypothetical protein,Signal transduction mechanisms,UPI0002E5EEED,
PSPTO_2699,PSPTO_2699,2992040,2994622,+,EAL domain-containing protein,Signal transduction mechanisms,A0A0Q0HKN9,
PSPTO_2700,PSPTO_2700,2994802,2995356,+,hypothetical protein,No COG annotation,A0A0N0WXB3,
PSPTO_2701,PSPTO_2701,2995844,2996782,-,carbohydrate kinase,Carbohydrate transport and metabolism,A0A0N0G0C5,
PSPTO_2702,xylB,2996807,2998288,-,xylulokinase,Carbohydrate transport and metabolism,A0A0N0G0B0,
PSPTO_2703,uxuB,2998299,2999780,-,mannitol dehydrogenase family protein,Carbohydrate transport and metabolism,A0A0N0G0A7,
PSPTO_RS13985,ugpC,2999799,3000912,-,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,Inorganic ion transport and metabolism,,
PSPTO_2705,PSPTO_2705,3000944,3001777,-,carbohydrate ABC transporter permease,Inorganic ion transport and metabolism,A0A099SYI4,
PSPTO_2706,PSPTO_2706,3001788,3002720,-,sugar ABC transporter permease,Inorganic ion transport and metabolism,Q882C3,
PSPTO_2707,PSPTO_2707,3002808,3004130,-,sugar ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,A0A0N0WUG6,
PSPTO_2708,mltR,3004371,3005276,-,AraC family transcriptional regulator,Transcription,A0A0N8THY8,
PSPTO_2709,PSPTO_2709,3005404,3006189,+,precorrin-6A synthase (deacetylating),Coenzyme transport and metabolism,A0A0P9J0A3,
PSPTO_2710,PSPTO_2710,3006174,3007496,-,glycosyltransferase,Cell wall/membrane/envelope biogenesis,A0A099SYH7,
PSPTO_2711,PSPTO_2711,3007489,3007848,-,response regulator,Signal transduction mechanisms,A0A099SVP5,
PSPTO_2712,PSPTO_2712,3008195,3011707,+,response regulator,Signal transduction mechanisms,A0A0Q0BCS8,
PSPTO_2713,PSPTO_2713,3011781,3012602,+,chemotaxis protein CheR,Cell motility,UPI0002FF8C30,
PSPTO_2714,PSPTO_2714,3012599,3013213,+,chemotaxis protein CheB,Cell motility,A0A0P9TMC4,
PSPTO_2715,PSPTO_2715,3013207,3014388,+,hybrid sensor histidine kinase/response regulator,Signal transduction mechanisms,A0A0N0FJH2,
PSPTO_2716,PSPTO_2716,3014480,3014857,+,response regulator,Signal transduction mechanisms,A0A099SVN8,
PSPTO_2717,PSPTO_2717,3014885,3016915,-,response regulator,Signal transduction mechanisms,A0A0Q0BIR9,
PSPTO_2718,PSPTO_2718,3016912,3018396,-,AAA family ATPase,Signal transduction mechanisms,A0A099SYT3,
PSPTO_2719,PSPTO_2719,3018617,3019429,+,crotonase/enoyl-CoA hydratase family protein,Lipid transport and metabolism,A0A0N0X0Y5,
PSPTO_2720,nudC,3019482,3020318,+,NAD(+) diphosphatase,"Replication, recombination and repair",A0A0N0WBZ9,
PSPTO_2721,PSPTO_2721,3020286,3021065,-,TSUP family transporter,Function unknown,A0A099SYG3,
PSPTO_2722,PSPTO_2722,3021171,3022319,-,Gfo/Idh/MocA family oxidoreductase,Function unknown,A0A5E9NDE5,
PSPTO_2723,PSPTO_2723,3022420,3023187,-,SDR family oxidoreductase,Lipid transport and metabolism,A0A0N1JJH6,
PSPTO_2724,PSPTO_2724,3023215,3024282,-,phosphotransferase family protein,Function unknown,A0A0N0G580,
PSPTO_2725,PSPTO_2725,3024485,3024802,-,SCP2 sterol-binding domain-containing protein,Lipid transport and metabolism,A0A099SVT1,PsrA
PSPTO_2726,PSPTO_2726,3024858,3025568,-,histidine phosphatase family protein,Carbohydrate transport and metabolism,A0A099SYF6,PsrA
PSPTO_2728,sohB,3025774,3026796,+,protease SohB,"Post-translational modification, protein turnover,and chaperones",A0A0N0G586,
PSPTO_RS14105,PSPTO_RS14105,3026845,3026977,-,DUF1534 domain-containing protein,No COG annotation,,
PSPTO_2729,PSPTO_2729,3027056,3027550,-,DUF934 domain-containing protein,Function unknown,A0A0N1JGJ5,
PSPTO_2730,cysI,3027534,3029192,-,nitrite/sulfite reductase,Energy production and conversion,A0A099SWN9,
PSPTO_2731,PSPTO_2731,3029742,3030842,+,ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,A0A3M5YIC8,
PSPTO_2732,metH,3030852,3034571,-,methionine synthase,Coenzyme transport and metabolism,A0A0N0WSS7,MetR
PSPTO_2733,cti,3034729,3037041,+,fatty acid cis/trans isomerase,Cell wall/membrane/envelope biogenesis,A0A0P9TDX0,
PSPTO_2734,PSPTO_2734,3037217,3038239,+,acyltransferase,Lipid transport and metabolism,Q881Z5,
PSPTO_2735,nfuA,3038310,3038903,+,Fe-S biogenesis protein NfuA,Energy production and conversion,A0A0N0EZQ8,
PSPTO_2736,PSPTO_2736,3039164,3041113,-,acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha,Lipid transport and metabolism,A0A0Q0BGG3,PSPTO_2743
PSPTO_2737,PSPTO_2737,3041110,3041958,-,gamma-carboxygeranoyl-CoA hydratase,Lipid transport and metabolism,A0A0N1JIC7,PSPTO_2743
PSPTO_2738,PSPTO_2738,3041973,3043580,-,methylcrotonoyl-CoA carboxylase,Lipid transport and metabolism,A0A0P9TV84,PSPTO_2743
PSPTO_2739,PSPTO_2739,3043594,3044757,-,isovaleryl-CoA dehydrogenase,Energy production and conversion,A0A0N0WXH8,PSPTO_2743
PSPTO_RS14165,PSPTO_RS14165,3044941,3045216,+,hypothetical protein,No COG annotation,UPI0013305154,
PSPTO_2740,PSPTO_2740,3045260,3046282,+,IS21-like element ISPsy4 family transposase,"Replication, recombination and repair",A0A099SYT7,
PSPTO_2741,PSPTO_2741,3046279,3047088,+,AAA family ATPase,"Replication, recombination and repair",A0A099SW04,
PSPTO_2742,mvaB,3047462,3048361,-,hydroxymethylglutaryl-CoA lyase,Amino acid transport and metabolism,A0A0N0WXQ9,PSPTO_2743
PSPTO_2743,PSPTO_2743,3048392,3048784,-,MerR family DNA-binding transcriptional regulator,Transcription,A0A0N0G371,PSPTO_2743
PSPTO_2744,PSPTO_2744,3048952,3049881,-,LysR family transcriptional regulator,Transcription,A0A099SYD5,
PSPTO_2745,PSPTO_2745,3050066,3051295,+,acyl-CoA dehydrogenase,Energy production and conversion,A0A0Q0I8P2,
PSPTO_2746,PSPTO_2746,3051325,3052668,-,phosphate ABC transporter substrate-binding/OmpA family protein,Cell wall/membrane/envelope biogenesis,UPI0006221C59,
PSPTO_2747,xthA,3052800,3053612,-,exodeoxyribonuclease III,"Replication, recombination and repair",A0A0N1JIM8,
PSPTO_2748,PSPTO_2748,3053803,3054474,+,GNAT family N-acetyltransferase,Transcription,A0A0N0WYT8,
PSPTO_2749,PSPTO_2749,3054534,3056258,+,outer membrane protein assembly factor,Cell wall/membrane/envelope biogenesis,A0A0Q0DHG1,
PSPTO_2750,PSPTO_2750,3056264,3059944,+,translocation/assembly module TamB,Function unknown,UPI0002E71596,
PSPTO_2751,PSPTO_2751,3060050,3060967,+,LysR family transcriptional regulator,Transcription,A0A0Q0D8P9,
PSPTO_2752,tpx,3061058,3061558,+,thiol peroxidase,"Post-translational modification, protein turnover,and chaperones",A0A099SYQ7,
PSPTO_2753,PSPTO_2753,3061710,3063011,+,MdtA/MuxA family multidrug efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,A0A0N0G375,
PSPTO_RS14240,PSPTO_RS14240,3063008,3066119,+,MdtB/MuxB family multidrug efflux RND transporter permease subunit,Defense mechanisms,,
PSPTO_2755,PSPTO_2755,3066116,3069223,+,efflux RND transporter permease subunit,Defense mechanisms,A0A0Q0BQA0,
PSPTO_2756,PSPTO_2756,3069220,3070692,+,efflux transporter outer membrane subunit,Cell wall/membrane/envelope biogenesis,A0A0N8T743,
PSPTO_2757,PSPTO_2757,3070860,3072971,+,bifunctional diguanylate cyclase/phosphodiesterase,Signal transduction mechanisms,A0A0Q0CU52,
PSPTO_2758,PSPTO_2758,3073084,3073830,+,SDR family oxidoreductase,Lipid transport and metabolism,A0A099SVP8,
PSPTO_2759,PSPTO_2759,3073877,3074020,-,hypothetical protein,No COG annotation,UPI000319C797,
PSPTO_2760,PSPTO_2760,3074330,3076348,+,alpha-1%2C4-glucan--maltose-1-phosphate maltosyltransferase,Carbohydrate transport and metabolism,A0A099SYB8,
PSPTO_2761,treS,3076368,3079694,+,maltose alpha-D-glucosyltransferase,Carbohydrate transport and metabolism,Q881X1,
PSPTO_2762,glgB,3079691,3081916,+,1%2C4-alpha-glucan branching protein GlgB,Nucleotide transport and metabolism,A0A0Q0F9L6,
PSPTO_2763,PSPTO_2763,3081957,3084611,-,autotransporter outer membrane beta-barrel domain-containing protein,Cell wall/membrane/envelope biogenesis,UPI00031DA619,
PSPTO_2764,PSPTO_2764,3084908,3086101,-,MFS transporter,Amino acid transport and metabolism,UPI0002F22526,
PSPTO_2765,PSPTO_2765,3086329,3087462,+,lactonase family protein,Carbohydrate transport and metabolism,A0A099SVP2,
PSPTO_2766,PSPTO_2766,3087525,3089114,-,ABC-F family ATPase,Function unknown,A0A0P9I2E9,
PSPTO_2767,PSPTO_2767,3089486,3090349,-,LPS biosynthesis protein,Function unknown,A0A0N8RWX6,
PSPTO_RS14305,PSPTO_RS14305,3090786,3090944,+,hypothetical protein,No COG annotation,UPI0013964D3D,
PSPTO_2769,PSPTO_2769,3091241,3091942,+,DUF3053 domain-containing protein,Cell wall/membrane/envelope biogenesis,A0A0N0WCI0,
PSPTO_2771,PSPTO_2771,3092030,3092578,+,GNAT family N-acetyltransferase,Transcription,A0A0Q0BRV2,
PSPTO_2772,PSPTO_2772,3092691,3093116,+,DUF3830 family protein,Function unknown,A0A099SYA9,
PSPTO_2773,PSPTO_2773,3093232,3093675,+,hemerythrin domain-containing protein,Function unknown,A0A0N0G3A6,
PSPTO_2774,PSPTO_2774,3093724,3094083,+,hypothetical protein,No COG annotation,UPI0005C89FA1,
PSPTO_2775,PSPTO_2775,3094410,3095261,+,transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,A0A099SWI4,
PSPTO_2776,PSPTO_2776,3095325,3095987,+,amino acid ABC transporter permease,Inorganic ion transport and metabolism,A0A0Q0BRV7,
PSPTO_2777,PSPTO_2777,3095997,3096659,+,amino acid ABC transporter permease,Inorganic ion transport and metabolism,A0A0N1JIN1,
PSPTO_2778,PSPTO_2778,3096656,3097447,+,amino acid ABC transporter ATP-binding protein,Amino acid transport and metabolism,A0A099SYA3,
PSPTO_2779,PSPTO_2779,3097484,3097870,+,RidA family protein,"Translation, ribosomal structure and biogenesis",A0A099SVH8,
PSPTO_2780,PSPTO_2780,3098025,3098789,+,IclR family transcriptional regulator,Transcription,A0A0Q0BRS8,
PSPTO_2781,PSPTO_2781,3098807,3100042,+,amino acid deaminase,Amino acid transport and metabolism,A0A0Q0BQ60,
PSPTO_2782,kdgK,3100071,3100994,+,sugar kinase,Carbohydrate transport and metabolism,A0A0N0X1G7,
PSPTO_2783,PSPTO_2783,3101124,3103616,+,UvrD-helicase domain-containing protein,"Replication, recombination and repair",UPI0002FB5609,
PSPTO_2784,PSPTO_2784,3103627,3103893,-,DUF1652 domain-containing protein,Function unknown,A0A099SVH3,
PSPTO_RS14385,PSPTO_RS14385,3103912,3104112,-,hypothetical protein,No COG annotation,UPI00018735CA,
PSPTO_2785,PSPTO_2785,3104282,3105361,+,polyamine ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A0N0G721,
PSPTO_2786,PSPTO_2786,3105372,3106085,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A099SYM8,
PSPTO_2787,PSPTO_2787,3106089,3106937,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A0N0G722,
PSPTO_2788,PSPTO_2788,3106934,3107944,-,aliphatic sulfonate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,A0A0P9IZM5,
PSPTO_2790,PSPTO_2790,3108443,3109129,+,hypothetical protein,Signal transduction mechanisms,A0A0N0X2X7,AlgU
PSPTO_2791,PSPTO_2791,3109136,3110131,-,aldo/keto reductase,Energy production and conversion,A0A0N1JKA1,
PSPTO_2792,lexA,3110558,3111175,+,repressor LexA,Transcription,A0A099SVL5,LexA
PSPTO_2793,imuA,3111175,3111795,+,translesion DNA synthesis-associated protein ImuA,Function unknown,A0A2V4NYK0,LexA
PSPTO_2794,PSPTO_2794,3111803,3113218,+,DNA polymerase Y family protein,"Replication, recombination and repair",A0A0N0G369,LexA
PSPTO_2795,PSPTO_2795,3113215,3116310,+,error-prone DNA polymerase,"Replication, recombination and repair",A0A0N0G376,LexA
PSPTO_2796,PSPTO_2796,3116381,3117232,+,DUF1989 domain-containing protein,Function unknown,A0A0Q0CU33,
PSPTO_RS14445,PSPTO_RS14445,3117534,3118034,+,hypothetical protein,Coenzyme transport and metabolism,UPI0006225A25,
PSPTO_RS14450,PSPTO_RS14450,3118031,3118969,+,hypothetical protein,Coenzyme transport and metabolism,UPI0006213CD8,
PSPTO_RS14455,PSPTO_RS14455,3119020,3119745,+,hypothetical protein,Coenzyme transport and metabolism,UPI00039BBA1A,
PSPTO_RS14460,PSPTO_RS14460,3119816,3119998,+,hypothetical protein,Function unknown,,
PSPTO_RS14465,PSPTO_RS14465,3120003,3120641,-,magnesium transporter CorA family protein,Inorganic ion transport and metabolism,,
PSPTO_2799,PSPTO_2799,3120670,3121314,+,peptidase C39 family protein,Transcription,UPI0002D7AA40,
PSPTO_2800,PSPTO_2800,3121356,3122255,+,polysaccharide deacetylase family protein,Carbohydrate transport and metabolism,A0A0Q0BQ82,
PSPTO_2801,PSPTO_2801,3122263,3123522,-,amidohydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0Q0C3R5,
PSPTO_2802,proP,3123525,3124841,-,MFS transporter,Amino acid transport and metabolism,A0A0Q0I8U5,
PSPTO_2803,PSPTO_2803,3125032,3125928,-,LysR family transcriptional regulator,Transcription,A0A0P9NTP4,
PSPTO_2804,PSPTO_2804,3125953,3126858,-,LysR family transcriptional regulator,Transcription,A0A0N0G373,
PSPTO_2805,PSPTO_2805,3127013,3130060,+,FAD-binding oxidoreductase,Energy production and conversion,Q881S7,
PSPTO_2806,PSPTO_2806,3130139,3131026,-,dienelactone hydrolase family protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A099SYK8,
PSPTO_2807,PSPTO_2807,3131208,3132299,+,GGDEF domain-containing protein,Signal transduction mechanisms,UPI0001E296BD,
PSPTO_2808,PSPTO_2808,3132407,3133357,+,LysR family transcriptional regulator,Transcription,A0A0N0WCJ6,
PSPTO_2809,PSPTO_2809,3133704,3135164,+,NAD(P)/FAD-dependent oxidoreductase,Inorganic ion transport and metabolism,A0A099SVE7,
PSPTO_2810,PSPTO_2810,3135161,3136135,+,ABC transporter permease,Inorganic ion transport and metabolism,A0A0N8T7L4,
PSPTO_2811,PSPTO_2811,3136132,3137052,+,ABC transporter permease,Amino acid transport and metabolism,A0A099SYK2,
