,start,stop,strand,gene_name,length,operon,COG,gene_product,Unnamed: 9,Unnamed: 10,Unnamed: 11,regulator
b1797,1879588,1879948,-,yeaR,360,yeaR-yoaG,Inorganic ion transport and metabolism,conserved protein,,,,"fis,narL,narP,nsrR,rpoD"
b1798,1880120,1880759,-,leuE,639,leuE,Amino acid transport and metabolism,leucine exporter,,,,lrp
b1799,1880885,1881809,-,dmlR,924,dmlR,Transcription,DmlR DNA-binding transcriptional regulator,,,,
b1800,1881911,1882997,+,dmlA,1086,dmlA,Amino acid transport and metabolism,D-malate / 3-isopropylmalate dehydrogenase (decarboxylating),,,,
b1801,1883187,1884633,+,yeaV,1446,yeaVW,Inorganic ion transport and metabolism,"putative transport protein, betaine/carnitine/choline transporter family",,,,
b1802,1884664,1885789,+,yeaW,1125,yeaVW,Inorganic ion transport and metabolism,2Fe-2S cluster-containing protein,,,,
b1803,1885844,1886810,+,yeaX,966,yeaX,Energy production and conversion,predicted oxidoreductase,,,,
b1804,1886863,1887991,-,rnd,1128,rnd,"Translation, ribosomal structure and biogenesis",RNase D,,,,rpoD
b1805,1888060,1889746,-,fadD,1686,fadD-sroD,Lipid transport and metabolism,fatty acyl-CoA synthetase,,,,"arcA,crp,fadR,rpoD"
b1806,1889950,1890532,-,yeaY,582,tsaB-yeaY,Cell wall/membrane/envelope biogenesis,predicted lipoprotein,,,,rpoE
b1807,1890571,1891267,-,tsaB,696,tsaB-yeaY,"Posttranslational modification, protein turnover, chaperones","N<sup>6</sup>-L-threonylcarbamoyladenine synthase, TsaB subunit",,,,
b1808,1891324,1893235,-,yoaA,1911,yoaA,"Replication, recombination and repair",putative 5' to 3' DNA helicase implicated in DNA repair,,,,
b1809,1893366,1893711,+,yoaB,345,yoaB,"Translation, ribosomal structure and biogenesis",conserved protein,,,,yafC
b1810,1894132,1894432,+,yoaC,300,yoaC,No COG Annotation,putative protein,,,,"cysB,rpoE,yeiE"
b1811,1894551,1894731,-,yoaH,180,yoaH,Function unknown,conserved protein,,,,
b1812,1894804,1896166,+,pabB,1362,pabB-nudL,Amino acid transport and metabolism,aminodeoxychorismate synthase component 1,,,,
b1813,1896169,1896748,+,nudL,579,pabB-nudL,"Replication, recombination and repair",predicted NUDIX hydrolase with low 3-phosphohydroxypyruvate phosphatase activity,,,,
b1814,1896931,1898296,+,sdaA,1365,sdaA,Amino acid transport and metabolism,L-serine deaminase I,,,,"lrp,rpoH"
b1815,1898426,1900025,+,yoaD,1599,pdeD,Signal transduction mechanisms,predicted c-di-GMP phosphodiesterase,,,,
b1816,1900028,1901585,-,yoaE,1557,yoaE,Inorganic ion transport and metabolism,predicted inner membrane protein,,,,rpoD
b1817,1902047,1903019,+,manX,972,manXYZ,Carbohydrate transport and metabolism,mannose PTS permease - ManX subunit,,,,"cra,crp,mlc,nagC,rpoD"
b1818,1903081,1903882,+,manY,801,manXYZ,Carbohydrate transport and metabolism,mannose PTS permease - ManY subunit,,,,"cra,crp,mlc,nagC,rpoD"
b1819,1903894,1904746,+,manZ,852,manXYZ,Carbohydrate transport and metabolism,mannose PTS permease - ManZ subunit,,,,"cra,crp,mlc,nagC,rpoD"
b1820,1904800,1905259,+,yobD,459,yobD,Function unknown,conserved inner membrane protein,,,,
b1821,1905687,1906254,+,mntP,567,mntP,Function unknown,manganese export protein,,,,"fur,manganese,mntR,rpoD"
b1822,1906250,1907060,-,rlmA,810,rlmA,"Secondary metabolites biosynthesis, transport and catabolism",23S rRNA m<sup>1</sup>G745 methyltransferase,,,,
b1823,1907225,1907435,-,cspC,210,yobF-cspC,Transcription,"stress protein, member of the CspA family",,,,"crp,nac,rpoD"
b1824,1907447,1907591,-,yobF,144,yobF-cspC,No COG Annotation,small protein involved in stress responses,,,,"crp,nac,rpoD,ydcI"
b1825,1908260,1908548,-,yebO,288,yebO,Function unknown,putative protein,,,,
b1826,1908622,1908766,-,mgrB,144,mgrB,Function unknown,negative feedback regulator of the PhoQP system,,,,phoP
b1827,1909307,1910099,-,kdgR,792,kdgR,Transcription,KdgR DNA-binding transcriptional repressor,,,,
b1828,1910275,1911649,+,yebQ,1374,yebQ,Inorganic ion transport and metabolism,"putative transport protein, major facilitator superfamily",,,,nac
b1829,1911694,1912576,-,htpX,882,htpX,"Posttranslational modification, protein turnover, chaperones","heat shock protein, integral membrane protein",,,,rpoH
b1830,1912767,1914816,-,prc,2049,proQ-prc,Cell wall/membrane/envelope biogenesis,tail-specific protease,,,,
b1831,1914835,1915534,-,proQ,699,proQ-prc,Signal transduction mechanisms,"RNA chaperone, involved in posttranscriptional control of ProP levels",,,,
b1832,1915630,1916128,-,msrC,498,msrC,Signal transduction mechanisms,free methionine-(<i>R</i>)-sulfoxide reductase,,,,
b1833,1916257,1917541,+,yebS,1284,yebST,Function unknown,conserved inner membrane protein,,,,
b1834,1917509,1920143,+,yebT,2634,yebST,Function unknown,conserved protein,,,,
b1835,1920222,1921662,+,rsmF,1440,rsmF,"Translation, ribosomal structure and biogenesis",16S rRNA m<sup>5</sup>C1407 methyltransferase,,,,
b1836,1921779,1922016,+,yebV,237,yebV,Function unknown,putative protein,,,,
b1837,1922120,1922312,+,yebW,192,yebW,Function unknown,putative protein,,,,
b1838,1922312,1922969,-,pphA,657,pphA,Signal transduction mechanisms,phosphoprotein phosphatase 1,,,,rpoH
b1839,1923364,1923706,-,yebY,342,yobA-yebZY,Function unknown,putative protein,,,,nac
b1840,1923718,1924591,-,yebZ,873,yobA-yebZY,Inorganic ion transport and metabolism,predicted inner membrane protein,,,,nac
b1841,1924594,1924969,-,yobA,375,yobA-yebZY,Inorganic ion transport and metabolism,conserved protein,,,,"nac,ydcI"
b1842,1925107,1925338,+,holE,231,holE,"Replication, recombination and repair","DNA polymerase III, &theta; subunit",,,,
b1843,1925439,1926096,+,yobB,657,yobB-exoX,Function unknown,conserved protein,,,,
b1844,1926119,1926782,+,exoX,663,yobB-exoX,"Replication, recombination and repair",exonuclease X,,,,
b1845,1926778,1928839,-,ptrB,2061,ptrB,Amino acid transport and metabolism,oligopeptidase B,,,,
b1846,1929047,1929707,-,yebE,660,yebE,Function unknown,conserved inner membrane protein,,,,"cpxR,rpoD"
b1847,1930033,1930390,-,yebF,357,yebF,Function unknown,putative protein,,,,
b1848,1930456,1930747,-,yebG,291,yebG,Function unknown,conserved protein regulated by LexA,,,,"lexA,rpoD"
b1849,1930880,1932059,+,purT,1179,purT,Nucleotide transport and metabolism,phosphoribosylglycinamide formyltransferase 2,,,,purR
b1850,1932114,1932756,-,eda,642,edd-eda,Carbohydrate transport and metabolism,multifunctional 2-keto-3-deoxygluconate 6-phosphate aldolase and 2-keto-4-hydroxyglutarate aldolase and oxaloacetate decarboxylase,,,,"cra,gntR,kdgR,phoB,rpoD"
b1851,1932792,1934604,-,edd,1812,edd-eda,Amino acid transport and metabolism,phosphogluconate dehydratase,,,,"cra,gntR,kdgR,rpoD"
b1852,1934838,1936314,-,zwf,1476,zwf,Carbohydrate transport and metabolism,glucose-6-phosphate dehydrogenase (NADP<sup>+</sup>),,,,"cra,fnr,fur,marA,rob,rpoD,soxS"
b1853,1936651,1937521,+,yebK,870,yebK,Transcription,YebK DNA-binding transcriptional repressor,,,,
b1854,1937648,1939091,+,pykA,1443,pykA,Carbohydrate transport and metabolism,pyruvate kinase II,,,,"fnr,rpoD,rpoS"
b1855,1939221,1940193,-,lpxM,972,lpxM,Cell wall/membrane/envelope biogenesis,myristoyl-acyl carrier protein (ACP)-dependent acyltransferase,,,,
b1856,1940312,1941635,-,mepM,1323,mepM,Cell wall/membrane/envelope biogenesis,murein DD-endopeptidase MepM,,,,oxyR
b1857,1941650,1942583,-,znuA,933,znuA,Inorganic ion transport and metabolism,Zn<sup>2+</sup> ABC transporter - periplasmic binding protein,,,,"oxyR,rpoS,zur"
b1858,1942661,1943417,+,znuC,756,znuCB,Inorganic ion transport and metabolism,Zn<sup>2+</sup> ABC transporter - ATP binding subunit,,,,"nac,oxyR,rpoD,zur"
b1859,1943413,1944199,+,znuB,786,znuCB,Inorganic ion transport and metabolism,Zn<sup>2+</sup> ABC transporter - membrane subunit,,,,"nac,oxyR,rpoD,zur"
b1860,1944345,1945356,-,ruvB,1011,ruvAB,"Replication, recombination and repair",branch migration of Holliday structures, repair helicase,,,lexA
b1861,1945364,1945976,-,ruvA,612,ruvAB,"Replication, recombination and repair",branch migration of Holliday structures, repair,,,lexA
b1863,1946854,1947376,-,ruvC,522,nudB-yebC-ruvC,"Replication, recombination and repair",Holliday junction nuclease, resolution of structures, repair,,rpoD
b1864,1947410,1948151,-,yebC,741,nudB-yebC-ruvC,Transcription,conserved protein,,,,rpoD
b1865,1948179,1948632,-,nudB,453,nudB-yebC-ruvC,"Replication, recombination and repair",dihydroneopterin triphosphate pyrophosphohydrolase,,,,rpoD
b1866,1948749,1950522,-,aspS,1773,aspS,"Translation, ribosomal structure and biogenesis",aspartate-tRNA ligase,,,,
b1867,1950831,1951398,+,yecD,567,yecDE,"Secondary metabolites biosynthesis, transport and catabolism",predicted hydrolase,,,,nac
b1868,1951394,1952213,+,yecE,819,yecDE,Function unknown,conserved protein,,,,nac
b1869,1952265,1952661,+,yecN,396,yecN-cmoAB,Function unknown,predicted inner membrane protein,,,,
b1870,1952701,1953445,+,cmoA,744,yecN-cmoAB,"Secondary metabolites biosynthesis, transport and catabolism",carboxy-<i>S</i>-adenosyl-L-methionine synthase,,,,
b1871,1953441,1954413,+,cmoB,972,yecN-cmoAB,"Secondary metabolites biosynthesis, transport and catabolism",tRNA U34 carboxymethyltransferase,,,,
b1872,1954577,1957007,-,torZ,2430,torYZ,Energy production and conversion,"trimethylamine N-oxide reductase, TorZ subunit",,,,ybiH
b1873,1957031,1958132,-,torY,1101,torYZ,Energy production and conversion,"trimethylamine N-oxide reductase, <I>c</I>-type cytochrome subunit",,,,
b1874,1958519,1959266,-,cutC,747,yecM-cutC,Inorganic ion transport and metabolism,protein potentially involved in copper homeostasis,,,,
b1875,1959279,1959846,-,yecM,567,yecM-cutC,Function unknown,predicted metal-binding enzyme,,,,
b1876,1960061,1961795,+,argS,1734,argS,"Translation, ribosomal structure and biogenesis",arginine-tRNA ligase,,,,rpoD
b1877,1961971,1962460,+,yecT,489,yecT,Function unknown,putative protein,,,,
b1878,1962579,1962972,-,flhE,393,flhBAE,Cell motility,flagellar protein,,,,rpoD
b1879,1962971,1965050,-,flhA,2079,flhBAE,Cell motility,flagellar biosynthesis protein FlhA,,,,rpoD
b1880,1965042,1966191,-,flhB,1149,flhBAE,Cell motility,flagellar biosynthesis protein FlhB,,,,rpoD
b1881,1966392,1967037,-,cheZ,645,tar-tap-cheRBYZ,Signal transduction mechanisms,CheZ,,,,"fliA,fnr"
b1882,1967047,1967437,-,cheY,390,tar-tap-cheRBYZ,Signal transduction mechanisms,chemotaxis regulator transmitting signal to flagellar motor component,,,,"fliA,fnr"
b1883,1967451,1968501,-,cheB,1050,tar-tap-cheRBYZ,Signal transduction mechanisms,CheB,,,,"fliA,fnr"
b1884,1968503,1969364,-,cheR,861,tar-tap-cheRBYZ,Signal transduction mechanisms,chemotaxis protein methyltransferase/chemotaxis protein methyltransferase/chemotaxis protein methyltransferase/chemotaxis protein methyltransferase/chemotaxis protein methyltransferase,,,,"fliA,fnr"
b1885,1969382,1970984,-,tap,1602,tar-tap-cheRBYZ,Function unknown,,,,,"fliA,fnr"
b1886,1971029,1972691,-,tar,1662,tar-tap-cheRBYZ,Function unknown,,,,,"fliA,fnr"
b1887,1972835,1973339,-,cheW,504,motAB-cheAW,Cell motility,CheW,,,,"cpxR,fliA"
b1888,1973359,1975324,-,cheA,1965,motAB-cheAW,Signal transduction mechanisms,CheA(S),,,,"cpxR,fliA"
b1889,1975328,1976255,-,motB,927,motAB-cheAW,Cell motility,"MotB protein, enables flagellar motor rotation, linking torque machinery to cell wall",,,,"cpxR,fliA"
b1890,1976251,1977139,-,motA,888,motAB-cheAW,Cell motility,"MotA protein, proton conductor component of motor; no effect on switching",,,,"cpxR,fliA"
b1891,1977265,1977844,-,flhC,579,flhDC,Transcription,FlhC transcriptional dual regulator,,,,"acrR,arcA,crp,fliZ,fur,h-NS,hdfR,ihf,lrhA,matA,ompR,qseB,rpoD,rpoN,yjjQ"
b1892,1977846,1978197,-,flhD,351,flhDC,Transcription,FlhD transcriptional dual regulator,,,,"acrR,arcA,crp,fliZ,fur,h-NS,hdfR,ihf,lrhA,matA,ompR,qseB,rpoD,rpoN,yjjQ"
b1893,1978517,1979021,-,insB1,504,insAB-5A-5B-5,"Replication, recombination and repair",,,,,
b1894,1978939,1979215,-,insA,276,insAB-5A-5B-5,"Replication, recombination and repair",IS1 protein InsA,,,,
b1895,1979752,1980181,+,uspC,429,uspC,Signal transduction mechanisms,universal stress protein,,,,"arcA,nac"
b1896,1980187,1981612,-,otsA,1425,otsBA,Carbohydrate transport and metabolism,trehalose-6-phosphate synthase,,,,"rpoS,ybaQ"
b1897,1981586,1982387,-,otsB,801,otsBA,Carbohydrate transport and metabolism,trehalose-6-phosphate phosphatase,,,,rpoS
b1900,1983554,1985069,-,araG,1515,araFGH,Inorganic ion transport and metabolism,arabinose ABC transporter -  ATP binding subunit,,,,"araC,crp,nac,rpoD,rpoS"
b1901,1985138,1986128,-,araF,990,araFGH,Carbohydrate transport and metabolism,arabinose ABC transporter - periplasmic binding protein,,,,"araC,crp,nac,rpoD,rpoS,yieP"
b1902,1986924,1987428,+,ftnB,504,ftnB,Inorganic ion transport and metabolism,predicted ferritin-like protein,,,,"cpxR,fur,nac,rpoD,rpoE,trpR"
b1904,1988221,1988545,+,yecR,324,yecR,Function unknown,putative protein,,,,"arcA,fnr"
b1905,1988715,1989213,+,ftnA,498,ftnA,Inorganic ion transport and metabolism,ferritin iron storage protein,,,,"fur,h-NS,rpoD"
b1906,1989250,1989490,-,yecH,240,yecH,Function unknown,putative protein,,,,fnr
b1907,1989680,1990892,+,tyrP,1212,tyrP,Amino acid transport and metabolism,tyrosine:H<sup>+</sup> symporter TyrP,,,,"fnr,hU,ihf,lrp,rpoD,tyrR"
b1908,1990953,1991619,-,yecA,666,yecA,Function unknown,conserved metal-binding protein,,,,
b1912,1992268,1992817,-,pgsA,549,pgsA,Lipid transport and metabolism,phosphatidylglycerophosphate synthase,,,,
b1913,1992873,1994706,-,uvrC,1833,uvrYC,"Replication, recombination and repair","excinuclease ABC, subunit C; repair of UV damage to DNA",,,,"lexA,rpoD"
b1914,1994702,1995359,-,uvrY,657,uvrYC,Signal transduction mechanisms,UvrY transcriptional regulator,,,,"lexA,rpoD"
b1915,1995817,1996042,+,yecF,225,yecF,Function unknown,putative protein,,,,fliA
b1916,1996109,1996832,-,sdiA,723,sdiA,Transcription,SdiA DNA-binding transcriptional dual regulator,,,,"fur,nac,rpoD"
b1917,1997061,1997814,-,yecC,753,dcyD-tcyLN,Amino acid transport and metabolism,cystine/cysteine ABC transporter - predicted ATP binding subunit,,,,
b1918,1997810,1998479,-,yecS,669,dcyD-tcyLN,Amino acid transport and metabolism,cystine/cysteine ABC transporter - predicted membrane subunit,,,,
b1919,1998493,1999480,-,dcyD,987,dcyD-tcyLN,Amino acid transport and metabolism,D-cysteine desulfhydrase,,,,
b1920,1999584,2000385,-,fliY,801,fliAZ-tcyJ,Amino acid transport and metabolism,cystine/cysteine ABC transporter - periplasmic binding protein,,,,"csgD,cysB,fliA,h-NS,ihf,matA,nsrR,rpoD,sutR"
b1921,2000472,2001024,-,fliZ,552,fliAZ-tcyJ,Transcription,FliZ DNA-binding transcriptional regulator,,,,"csgD,fliA,h-NS,ihf,matA,nsrR,rpoD,sutR"
b1922,2001069,2001789,-,fliA,720,fliAZ-tcyJ,Transcription,"RNA polymerase, sigma 28 (sigma F) factor",,,,"csgD,fliA,h-NS,ihf,matA,nsrR,rpoD,sutR"
b1923,2002109,2003606,-,fliC,1497,fliC,Cell motility,"flagellar biosynthesis; flagellin, filament structural protein",,,,"fliA,gadE,h-NS,matA"
b1924,2003871,2005278,+,fliD,1407,fliDST,Cell motility,flagellar cap protein FliD, filament capping protein, enables filament assembly,,"fliA,rpoD"
b1925,2005302,2005713,+,fliS,411,fliDST,Cell motility,flagellar biosynthesis protein FliS,,,,"fliA,rpoD"
b1926,2005712,2006078,+,fliT,366,fliDST,Transcription,flagellar biosynthesis protein FliT,,,,"fliA,rpoD"
b1927,2006155,2007643,+,amyA,1488,amyA,Carbohydrate transport and metabolism,&alpha,-amylase,,,rpoD
b1928,2007676,2008090,-,yedD,414,yedD,Function unknown,putative protein,,,,
b1929,2008276,2009482,+,yedE,1206,yedEF,Function unknown,putative selenium transporter,,,,fnr
b1930,2009478,2009712,+,yedF,234,yedEF,"Posttranslational modification, protein turnover, chaperones",conserved protein,,,,fnr
b1931,2009820,2010489,+,yedK,669,yedK,Function unknown,putative protein,,,,
b1932,2010599,2011079,+,yedL,480,yedL,Transcription,predicted acyltransferase,,,,nac
b1937,2012699,2013014,-,fliE,315,fliE,Cell motility,flagellar basal-body protein FliE,,,,"csgD,fliA,rpoD"
b1938,2013228,2014887,+,fliF,1659,fliFGHIJK,Cell motility,flagellar M-ring protein FliF, basal-body MS(membrane and supramembrane)-ring and collar protein,,,"csgD,fliA,rpoD,yieP"
b1939,2014879,2015875,+,fliG,996,fliFGHIJK,Cell motility,flagellar motor switch protein FliG,,,,"csgD,fliA,rpoD"
b1940,2015867,2016554,+,fliH,687,fliFGHIJK,Cell motility,flagellar biosynthesis protein FliH,,,,"csgD,fliA,rpoD"
b1941,2016553,2017927,+,fliI,1374,fliFGHIJK,Cell motility,flagellum-specific ATP synthase FliI,,,,"csgD,fliA,rpoD"
b1942,2017945,2018389,+,fliJ,444,fliFGHIJK,Cell motility,flagellar biosynthesis protein FliJ,,,,"csgD,fliA,rpoD"
b1943,2018385,2019513,+,fliK,1128,fliFGHIJK,Cell motility,flagellar hook-length control protein FliK,,,,"csgD,fliA,rpoD"
b1944,2019617,2020082,+,fliL,465,fliLMNOPQR,Cell motility,flagellar protein FliL,,,,"fliA,rpoD"
b1945,2020086,2021091,+,fliM,1005,fliLMNOPQR,Cell motility,flagellar motor switch protein FliM,,,,"fliA,rpoD"
b1946,2021087,2021501,+,fliN,414,fliLMNOPQR,Cell motility,flagellar motor switch protein FliN,,,,"fliA,rpoD"
b1947,2021503,2021869,+,fliO,366,fliLMNOPQR,Cell motility,flagellar biosynthesis protein FliO,,,,"fliA,rpoD"
b1948,2021868,2022606,+,fliP,738,fliLMNOPQR,Cell motility,flagellar biosynthesis protein FliP,,,,"fliA,rpoD"
b1949,2022615,2022885,+,fliQ,270,fliLMNOPQR,Cell motility,flagellar biosynthesis protein FliQ,,,,"fliA,rpoD"
b1950,2022892,2023678,+,fliR,786,fliLMNOPQR,Cell motility,flagellar biosynthesis protein FliR,,,,"fliA,rpoD"
b1951,2023967,2024591,+,rcsA,624,rcsA,Transcription,"positive DNA-binding transcriptional regulator of capsular polysaccharide synthesis, activates its own expression",,,,"gadE,h-NS,rpoD"
b1952,2024634,2024823,-,dsrB,189,dsrB,Function unknown,putative protein,,,,
b1953,2024985,2025213,+,yodD,228,yodD,Function unknown,stress-induced protein,,,,
b1955,2025510,2026326,+,yedP,816,yedP,Function unknown,predicted phosphatase,,,,crp
b1956,2026322,2028017,-,yedQ,1695,dgcQ,Signal transduction mechanisms,predicted diguanylate cyclase,,,,
b1957,2028187,2028370,-,yodC,183,yodC,Function unknown,putative protein,,,,lrp
b1958,2028448,2029366,-,yedI,918,yedI,Function unknown,conserved inner membrane protein,,,,
b1959,2029538,2030459,+,yedA,921,yedA,Function unknown,"putative transport protein, drug/metabolite exporter family",,,,
b1960,2030447,2030918,-,vsr,471,dcm-vsr,"Replication, recombination and repair",DNA mismatch endonuclease of the very short patch (VSP) mismatch repair pathway,,,,
b1961,2030898,2032317,-,dcm,1419,dcm-vsr,"Replication, recombination and repair",DNA-cytosine methyltransferase,,,,
b1962,2032383,2033079,-,yedJ,696,yedRJ,Function unknown,predicted phosphohydrolase,,,,
b1963,2033118,2033484,-,yedR,366,yedRJ,Function unknown,predicted inner membrane protein,,,,
b1967,2035834,2036686,+,hchA,852,hchA,Function unknown,amino acid deglycase Hsp31,,,,"argR,h-NS,rpoD,rpoS"
b1968,2036793,2038152,-,yedV,1359,hprRS,Signal transduction mechanisms,predicted sensory kinase in two-component regulatory system with YedW,,,,
b1969,2038151,2038823,-,yedW,672,hprRS,Signal transduction mechanisms,YedW DNA-binding response regulator in two-component system with YedV,,,,
b1970,2038955,2039369,+,hiuH,414,yedX,Function unknown,hydroxyisourate hydrolase / transthyretin-related protein,,,,"cusR,hprR,phoB,rpoD"
b1971,2039477,2040482,+,yedY,1005,msrPQ,Function unknown,periplasmic methionine sulfoxide reductase,,,,
b1972,2040482,2041118,+,yedZ,636,msrPQ,Inorganic ion transport and metabolism,quinol dehydrogenase,,,,
b1973,2041374,2042025,+,zinT,651,zinT,Function unknown,cadmium-induced cadmium binding protein,,,,"fur,oxyR,rpoD,soxS,zur"
b1974,2042367,2042898,+,yodB,531,yodB,Energy production and conversion,predicted cytochrome,,,,yeiE
b1976,2043650,2044448,+,mtfA,798,mtfA,Function unknown,Mlc titration factor,,,,crp
b1978,2044937,2052014,+,yeeJ,7077,yeeJ,Function unknown,adhesin,,,,
b1981,2053642,2054959,+,shiA,1317,shiA,Carbohydrate transport and metabolism,shikimate:H<sup>+</sup> symporter,,,,"nac,rpoD"
b1982,2055060,2056515,+,amn,1455,amn,Nucleotide transport and metabolism,AMP nucleosidase,,,,phoB
b1983,2056857,2057574,+,yeeN,717,yeeN,Transcription,conserved protein,,,,
b1985,2058202,2059690,-,yeeO,1488,yeeO,Defense mechanisms,FMN / FAD exporter,,,,
b1987,2059963,2060914,-,cbl,951,cbl,Transcription,Cbl DNA-binding transcriptional activator,,,,"cysB,ntrC,rpoD"
b1988,2061015,2061933,-,nac,918,nac,Transcription,Nac DNA-binding transcriptional dual regulator,,,,"fnr,fur,nac,ntrC,rpoN"
b1990,2062390,2063323,-,ldtA,933,ldtA,Function unknown,"L,D-transpeptidase ErfK",,,,
b1991,2063387,2064467,-,cobT,1080,cobUST,Coenzyme transport and metabolism,nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase,,,,"nac,rpoD"
b1992,2064478,2065222,-,cobS,744,cobUST,Coenzyme transport and metabolism,cobalamin 5'-phosphate synthase,,,,"nac,rpoD"
b1993,2065218,2065764,-,cobU,546,cobUST,Coenzyme transport and metabolism,cobinamide-P guanylyltransferase / cobinamide kinase,,,,"nac,rpoD"
b1994,2066304,2067321,-,insH1,1017,insH-6,"Replication, recombination and repair",CP4-44 prophage, IS5 transposase and trans-activator,,,
b1996,2068951,2069857,-,insD1,906,insCD-3C-3D-3,"Replication, recombination and repair",,,,,
b1997,2069814,2070180,-,insC1,366,insCD-3C-3D-3,"Replication, recombination and repair",CP4-44 prophage, IS2 insertion element repressor InsA,,,
b1999,2070659,2071211,+,yeeP,552,yeeP,No COG Annotation,CP4-44 prophage, predicted GTP-binding protein,,,yeiE
b2000,2071538,2074658,+,flu,3120,isrC-flu,Cell wall/membrane/envelope biogenesis,CP4-44 prophage, antigen 43 (Ag43) phase-variable biofilm formation autotransporter,,,"oxyR,rpoD"
b2001,2074778,2076311,+,yeeR,1533,yeeRST-cbeA-cbtA-yeeW,Function unknown,CP4-44 prophage, predicted membrane protein,,,
b2002,2076307,2076754,+,yeeS,447,yeeRST-cbeA-cbtA-yeeW,"Replication, recombination and repair",CP4-44 prophage, predicted DNA repair protein,,,
b2007,2079031,2079361,-,yeeX,330,yeeX,Function unknown,conserved protein,,,,cra
b2008,2079532,2080591,-,yeeA,1059,yeeA,Function unknown,inner membrane protein YeeA,,,,
b2009,2080788,2081262,-,sbmC,474,sbmC,Transcription,DNA gyrase inhibitor,,,,"crp,lexA"
b2010,2081380,2082547,-,dacD,1167,dacD,Cell wall/membrane/envelope biogenesis,"DD-carboxypeptidase, penicillin-binding protein 6b",,,,
b2011,2082755,2084183,+,sbcB,1428,sbcB,"Replication, recombination and repair","exonuclease I, 3' --> 5' specific; deoxyribophosphodiesterase",,,,"nac,yeiE"
b2012,2084225,2084453,-,yeeD,228,yeeED,"Posttranslational modification, protein turnover, chaperones",conserved protein,,,,lrp
b2013,2084466,2085525,-,yeeE,1059,yeeED,Function unknown,inner membrane protein YeeE,,,,lrp
b2014,2085703,2087062,-,plaP,1359,plaP,Amino acid transport and metabolism,putrescine:H+ symporter PlaP,,,,
b2015,2087328,2088258,-,yeeY,930,yeeY,Transcription,predicted DNA-binding transcriptional regulator,,,,
b2016,2088303,2089128,-,yeeZ,825,yeeZ,Cell wall/membrane/envelope biogenesis,"predicted epimerase, with NAD(P)-binding Rossmann-fold domain",,,,
b2017,2089461,2089713,-,yefM,252,yefM-yoeB,"Cell cycle control, cell division, chromosome partitioning",YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor,,,,"rpoD,yefM"
b2019,2090191,2091091,+,hisG,900,hisLGDCBHAFI,Amino acid transport and metabolism,ATP phosphoribosyltransferase,,,,"argR,cra,his-tRNA"
b2020,2091096,2092401,+,hisD,1305,hisLGDCBHAFI,Amino acid transport and metabolism,histidinal dehydrogenase / histidinol dehydrogenase,,,,"argR,cra,his-tRNA"
b2021,2092397,2093468,+,hisC,1071,hisLGDCBHAFI,Amino acid transport and metabolism,histidinol-phosphate aminotransferase,,,,"argR,cra,his-tRNA"
b2022,2093467,2094535,+,hisB,1068,hisLGDCBHAFI,Amino acid transport and metabolism,imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase,,,,"argR,cra,his-tRNA,rpoD"
b2023,2094534,2095125,+,hisH,591,hisLGDCBHAFI,Amino acid transport and metabolism,"imidazole glycerol phosphate synthase, HisH subunit",,,,"argR,cra,his-tRNA,rpoD"
b2024,2095124,2095862,+,hisA,738,hisLGDCBHAFI,Amino acid transport and metabolism,N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase,,,,"argR,cra,his-tRNA,rpoD"
b2025,2095843,2096620,+,hisF,777,hisLGDCBHAFI,Amino acid transport and metabolism,"imidazole glycerol phosphate synthase, HisF subunit",,,,"argR,cra,his-tRNA,rpoD"
b2026,2096613,2097225,+,hisI,612,hisLGDCBHAFI,Amino acid transport and metabolism,phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,,,,"argR,cra,his-tRNA,rpoD"
b2027,2097320,2098301,-,wzzB,981,wzzB,Cell wall/membrane/envelope biogenesis,regulator of length of O-antigen component of lipopolysaccharide chains,,,,
b2028,2098446,2099613,-,ugd,1167,ugd,Cell wall/membrane/envelope biogenesis,UDP-glucose 6-dehydrogenase,,,,nac
b2029,2099861,2101268,-,gnd,1407,gnd,Carbohydrate transport and metabolism,"6-phosphogluconate dehydrogenase, decarboxylating",,,,"fnr,fur,gadE,rpoD"
b2030,2101894,2102911,-,insH1,1017,insH-7,"Replication, recombination and repair",IS5 transposase and trans-activator,,,,
b2032,2103390,2104509,-,wbbK,1119,wbbIJK,Cell wall/membrane/envelope biogenesis,predicted lipopolysaccharide biosynthesis protein,,,,
b2033,2104493,2105084,-,wbbJ,591,wbbIJK,Function unknown,predicted acyl transferase,,,,
b2034,2105064,2106057,-,wbbI,993,wbbIJK,Function unknown,"&beta;-1,6-galactofuranosyltransferase",,,,
b2035,2106059,2107226,-,wbbH,1167,glf-wbbH,No COG Annotation,predicted O-antigen polymerase,,,,
b2036,2107225,2108329,-,glf,1104,glf-wbbH,Cell wall/membrane/envelope biogenesis,UDP-galactopyranose mutase,,,,
