,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator,operon,length
b1889,motB,,1975329,1976255,-,motility protein B,Cell motility,P0AF06,"FliA,CpxR",motAB-cheAW,927.0
b1890,motA,,1976252,1977139,-,motility protein A,Cell motility,P09348,"FliA,CpxR",motAB-cheAW,888.0
b1891,flhC,,1977266,1977844,-,DNA-binding transcriptional dual regulator FlhC,Transcription,P0ABY7,"OmpR,QseB,RpoD,RpoN,IHF,AcrR,Fur,YjjQ,Crp,ppGpp,LrhA,RcsAB,EcpR,H-NS,HdfR,FliZ,arcZ,mcaS,omrA,omrB,oxyS",flhDC,579.0
b1892,flhD,,1977847,1978197,-,DNA-binding transcriptional dual regulator FlhD,Transcription,P0A8S9,"OmpR,QseB,RpoD,RpoN,mcaS,IHF,AcrR,Fur,YjjQ,Crp,ppGpp,LrhA,RcsAB,EcpR,H-NS,HdfR,FliZ,arcZ,omrA,omrB,oxyS",flhDC,351.0
b1893,insB-5,,1978518,1979021,-,IS1 protein InsB,"Replication, recombination and repair",A0A385XJL4,,insAB-5A-5B-5,504.0
b1894,insA-5,,1978940,1979215,-,IS1 protein InsA,"Replication, recombination and repair",A0A385XJ53,,insAB-5A-5B-5,276.0
b1895,uspC,,1979753,1980181,+,universal stress protein C,Signal transduction mechanisms,P46888,"ppGpp,Nac",uspC,429.0
b1896,otsA,,1980188,1981612,-,trehalose-6-phosphate synthase,Carbohydrate transport and metabolism,P31677,"YidZ,YbaQ,RpoS,ppGpp",otsBA,1425.0
b1897,otsB,,1981587,1982387,-,trehalose-6-phosphate phosphatase,Carbohydrate transport and metabolism,P31678,"RpoS,ppGpp",otsBA,801.0
b4460,araH,,1982554,1983540,-,arabinose ABC transporter membrane subunit,Carbohydrate transport and metabolism,P0AE26,"RpoD,RpoS,Crp,AraC",araFGH,987.0
b1900,araG,,1983555,1985069,-,arabinose ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P0AAF3,"RpoD,RpoS,Crp,AraC",araFGH,1515.0
b1901,araF,,1985139,1986128,-,arabinose ABC transporter periplasmic binding protein,Carbohydrate transport and metabolism,P02924,"RpoD,RpoS,Crp,AraC,Nac,spf",araFGH,990.0
b1902,ftnB,,1986925,1987428,+,putative ferritin-like protein,Inorganic ion transport and metabolism,P0A9A2,"RpoD,RpoE,CpxR,ppGpp,Nac",ftnB,504.0
b4537,yecJ,,1987507,1987758,-,DUF2766 domain-containing protein YecJ,Function unknown,P0AD10,ppGpp,yecJ,252.0
b1904,yecR,,1988222,1988545,+,lipoprotein YecR,Function unknown,P76308,"Fnr,FlhDC",yecR,324.0
b1905,ftnA,,1988716,1989213,+,ferritin iron storage protein,Inorganic ion transport and metabolism,P0A998,"RpoD,H-NS,Fur",ftnA,498.0
b1906,yecH,,1989251,1989490,-,DUF2492 domain-containing protein YecH,Function unknown,P46887,,yecH,240.0
b1907,tyrP,,1989681,1990892,+,tyrosine:H(+) symporter,Amino acid transport and metabolism,P0AAD4,"RpoD,IHF,HU,TyrR,ppGpp,Lrp",tyrP,1212.0
b1908,yecA,,1990954,1991619,-,UPF0149 family protein YecA,Energy production and conversion,P0AD05,YgaV,yecA,666.0
b1912,pgsA,,1992269,1992817,-,phosphatidylglycerophosphate synthase,Lipid transport and metabolism,P0ABF8,,pgsA,549.0
b1913,uvrC,,1992874,1994706,-,excision nuclease subunit C,"Replication, recombination and repair",P0A8G0,"RpoD,LexA",uvrYC,1833.0
b1914,uvrY,,1994703,1995359,-,DNA-binding transcriptional activator UvrY,Transcription,P0AED5,"RpoD,LexA,DeaD,Nac",uvrYC,657.0
b1915,yecF,,1995818,1996042,+,DUF2594 domain-containing protein YecF,Function unknown,P0AD07,"FliA,ppGpp,Nac",yecF,225.0
b1916,sdiA,,1996110,1996832,-,DNA-binding transcriptional dual regulator SdiA,Transcription,P07026,"RpoD,DeaD,CsrA,Nac",sdiA,723.0
b1917,tcyN,,1997062,1997814,-,cystine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P37774,,dcyD-tcyLN,753.0
b1918,tcyL,,1997811,1998479,-,cystine ABC transporter membrane subunit,Inorganic ion transport and metabolism,P0AFT2,,dcyD-tcyLN,669.0
b1919,dcyD,,1998494,1999480,-,D-cysteine desulfhydrase,Amino acid transport and metabolism,P76316,Nac,dcyD-tcyLN,987.0
b1920,tcyJ,,1999585,2000385,-,cystine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P0AEM9,"RpoD,omrA,omrB,H-NS,FliA,CysB,IHF,NsrR,EcpR,SutR,CsgD,FlhDC,gcvB",fliAZ-tcyJ,801.0
b1921,fliZ,,2000473,2001024,-,DNA-binding transcriptional regulator FliZ,Transcription,P52627,"RpoD,YidZ,H-NS,FliA,IHF,NsrR,EcpR,SutR,CsgD,FlhDC",fliAZ-tcyJ,552.0
b1922,fliA,,2001070,2001789,-,RNA polymerase%2C sigma 28 (sigma F) factor,Transcription,P0AEM6,"RpoD,YdcN,FliA,H-NS,IHF,NsrR,EcpR,FlhDC,SutR,CsgD,Lrp",fliAZ-tcyJ,720.0
b1923,fliC,,2002110,2003606,-,flagellar filament structural protein,Cell motility,P04949,"GadE,FliA,H-NS,EcpR,Nac",fliC,1497.0
b1924,fliD,,2003872,2005278,+,flagellar filament capping protein,Cell motility,P24216,"RpoD,FliA,FlhDC,Nac",fliDST,1407.0
b1925,fliS,,2005303,2005713,+,flagellar biosynthesis protein FliS,Cell motility,P26608,"RpoD,FliA,FlhDC",fliDST,411.0
b1926,fliT,,2005713,2006078,+,flagellar biosynthesis protein FliT,Transcription,P0ABY2,"RpoD,FliA,FlhDC",fliDST,366.0
b1927,amyA,,2006156,2007643,+,alpha-amylase,Carbohydrate transport and metabolism,P26612,RpoD,amyA,1488.0
b1928,yedD,,2007677,2008090,-,lipoprotein YedD,Cell wall/membrane/envelope biogenesis,P31063,,yedD,414.0
b1929,yedE,,2008277,2009482,+,putative selenium transporter YedE,Function unknown,P31064,ppGpp,yedEF,1206.0
b1930,yedF,,2009479,2009712,+,putative sulfurtransferase YedF,"Post-translational modification, protein turnover,and chaperones",P0AA31,,yedEF,234.0
b1931,yedK,,2009821,2010489,+,putative SOS response-associated peptidase YedK,Amino acid transport and metabolism,P76318,,yedK,669.0
b1932,yedL,,2010600,2011079,+,putative acetyltransferase YedL,Transcription,P76319,Nac,yedL,480.0
b4495,yedN,,2011223,2012351,-,putative type III secreted effector%2C N-terminal fragment,Function unknown,,gcvB,,
b1936,intG,,2012502,2012780,+,putative defective phage integrase,"Replication, recombination and repair",,,,
b1937,fliE,,2012700,2013014,-,flagellar basal-body protein FliE,Cell motility,P0A8T5,"RpoD,FliA,FlhDC,CsgD",fliE,315.0
b1938,fliF,,2013229,2014887,+,flagellar basal-body MS-ring and collar protein,Cell motility,P25798,"RpoD,FliA,FlhDC,CsgD",fliFGHIJK,1659.0
b1939,fliG,,2014880,2015875,+,flagellar motor switch protein FliG,Cell motility,P0ABZ1,"RpoD,FliA,FlhDC,CsgD",fliFGHIJK,996.0
b1940,fliH,,2015868,2016554,+,flagellar biosynthesis protein FliH,Cell motility,P31068,"RpoD,FliA,FlhDC,CsgD",fliFGHIJK,687.0
b1941,fliI,,2016554,2017927,+,flagellum-specific ATP synthase FliI,Cell motility,P52612,"RpoD,FliA,FlhDC,CsgD",fliFGHIJK,1374.0
b1942,fliJ,,2017946,2018389,+,flagellar biosynthesis protein FliJ,Cell motility,P52613,"RpoD,FliA,CsgD,FlhDC",fliFGHIJK,444.0
b1943,fliK,,2018386,2019513,+,flagellar hook-length control protein,Cell motility,P52614,"RpoD,FliA,CsgD,FlhDC",fliFGHIJK,1128.0
b1944,fliL,,2019618,2020082,+,flagellar protein FliL,Cell motility,P0ABX8,"RpoD,FliA,FlhDC",fliLMNOPQR,465.0
b1945,fliM,,2020087,2021091,+,flagellar motor switch protein FliM,Cell motility,P06974,"RpoD,FliA,FlhDC",fliLMNOPQR,1005.0
b1946,fliN,,2021088,2021501,+,flagellar motor switch protein FliN,Cell motility,P15070,"RpoD,FliA,FlhDC",fliLMNOPQR,414.0
b1947,fliO,,2021504,2021869,+,flagellar biosynthesis protein FliO,Cell motility,P22586,"RpoD,FliA,FlhDC",fliLMNOPQR,366.0
b1948,fliP,,2021869,2022606,+,flagellar biosynthesis protein FliP,Cell motility,P0AC05,"RpoD,FliA,ppGpp,FlhDC",fliLMNOPQR,738.0
b1949,fliQ,,2022616,2022885,+,flagellar biosynthesis protein FliQ,Cell motility,P0AC07,"RpoD,FliA,FlhDC",fliLMNOPQR,270.0
b1950,fliR,,2022893,2023678,+,flagellar biosynthesis protein FliR,Cell motility,P33135,"RpoD,FliA,FlhDC",fliLMNOPQR,786.0
b1951,rcsA,,2023968,2024591,+,DNA-binding transcriptional activator RcsA,Transcription,P0DMC9,"RpoD,H-NS,RcsAB,GadE,Nac",rcsA,624.0
b1952,dsrB,,2024635,2024823,-,protein DsrB,Function unknown,P0AEG8,,dsrB,189.0
b1953,yodD,,2024986,2025213,+,stress-induced protein,Function unknown,P64519,,yodD,228.0
b1955,yedP,,2025511,2026326,+,putative mannosyl-3-phosphoglycerate phosphatase,Function unknown,P76329,ppGpp,yedP,816.0
b1956,dgcQ,,2026323,2028017,-,putative diguanylate cyclase DgcQ,Signal transduction mechanisms,P76330,Lrp,dgcQ,1695.0
b1957,yodC,,2028188,2028370,-,protein YodC,Function unknown,P64517,Lrp,yodC,183.0
b1958,yedI,,2028449,2029366,-,conserved inner membrane protein YedI,Function unknown,P46125,,yedI,918.0
b1959,yedA,,2029539,2030459,+,putative transporter YedA,Amino acid transport and metabolism,P0AA70,,yedA,921.0
b1960,vsr,,2030448,2030918,-,DNA mismatch endonuclease of the very short patch (VSP) mismatch repair pathway,"Replication, recombination and repair",P09184,,dcm-vsr,471.0
b1961,dcm,,2030899,2032317,-,DNA-cytosine methyltransferase,"Replication, recombination and repair",P0AED9,"YidZ,Nac",dcm-vsr,1419.0
b1962,yedJ,,2032384,2033079,-,putative HD superfamily phosphohydrolase YedJ,Function unknown,P46144,,yedRJ,696.0
b1963,yedR,,2033119,2033484,-,putative inner membrane protein,No COG annotation,P76334,,yedRJ,366.0
b4496,yedS,,2034051,2035243,+,putative outer membrane protein YedS%2C N-terminal fragment,Cell wall/membrane/envelope biogenesis,,,,
b1967,hchA,,2035835,2036686,+,protein/nucleic acid deglycase 1,"Translation, ribosomal structure and biogenesis",P31658,"RpoD,RpoS,ppGpp,H-NS,ArgR,Nac",hchA,852.0
b1968,hprS,,2036794,2038152,-,sensory histidine kinase HprS,Signal transduction mechanisms,P76339,,hprRS,1359.0
b1969,hprR,,2038152,2038823,-,DNA-binding transcriptional dual regulator HprR,Transcription,P76340,Nac,hprRS,672.0
b1970,yedX,,2038956,2039369,+,hydroxyisourate hydrolase/transthyretin-related protein,Nucleotide transport and metabolism,P76341,"RpoD,PhoB,CusR,HprR",yedX,414.0
b1971,msrP,,2039478,2040482,+,periplasmic protein-L-methionine sulfoxide reductase catalytic subunit,Energy production and conversion,P76342,,msrPQ,1005.0
b1972,msrQ,,2040483,2041118,+,periplasmic protein-L-methionine sulfoxide reductase heme binding subunit,Energy production and conversion,P76343,,msrPQ,636.0
b1973,zinT,,2041375,2042025,+,metal-binding protein ZinT,Function unknown,P76344,"RpoD,OxyR,SoxS,Zur,Fur",zinT,651.0
b1974,yodB,,2042368,2042898,+,putative cytochrome,Energy production and conversion,P76345,"YeiE,ppGpp,GlaR",yodB,531.0
b1976,mtfA,,2043651,2044448,+,Mlc titration factor,Function unknown,P76346,Nac,mtfA,798.0
b1978,yeeJ,,2044938,2052014,+,inverse autotransporter adhesin,Cell wall/membrane/envelope biogenesis,P76347,,yeeJ,7077.0
b4497,yeeL,,2052276,2053328,-,putative glycosyltransferase%2C N-terminal fragment,Cell wall/membrane/envelope biogenesis,,,yeeL,1053.0
b1981,shiA,,2053643,2054959,+,shikimate:H(+) symporter,Inorganic ion transport and metabolism,P76350,"RpoD,ryhB,Nac",shiA,1317.0
b1982,amn,,2055061,2056515,+,AMP nucleosidase,Nucleotide transport and metabolism,P0AE12,"PhoB,ppGpp,Nac",amn,1455.0
b1983,yeeN,,2056858,2057574,+,putative transcriptional regulator YeeN,Transcription,P0A8A2,,yeeN,717.0
b1985,yeeO,,2058203,2059846,-,FMN/FAD exporter,"Intracellular trafficking, secretion, and vesicular transport",UPI000013AC19,,yeeO,1488.0
b1987,cbl,,2059964,2060914,-,DNA-binding transcriptional activator Cbl,Transcription,Q47083,"RpoD,YdcR,NtrC,CysB,Lrp",cbl,951.0
b1988,nac,,2061016,2061933,-,DNA-binding transcriptional dual regulator Nac,Transcription,Q47005,"RpoN,Fur,Fnr,NtrC,ppGpp,Nac,Lrp",nac,918.0
b1990,ldtA,,2062391,2063323,-,L%2CD-transpeptidase ErfK,Cell wall/membrane/envelope biogenesis,P39176,,ldtA,933.0
b1991,cobT,,2063388,2064467,-,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,Nucleotide transport and metabolism,P36562,"RpoD,Nac",cobUST,1080.0
b1992,cobS,,2064479,2065222,-,cobalamin 5'-phosphate synthase,Coenzyme transport and metabolism,P36561,RpoD,cobUST,744.0
b1993,cobU,,2065219,2065764,-,cobinamide-P guanylyltransferase/cobinamide kinase,Coenzyme transport and metabolism,P0AE76,"RpoD,Nac",cobUST,546.0
b1994,insH-6,,2066305,2067321,-,CP4-44 prophage%3B IS5 transposase and trans-activator,"Replication, recombination and repair",P0CE53,,insH-6,1017.0
b4582,yoeA,,2068635,2068940,+,CP4-44 prophage%3B TonB-dependent receptor plug domain-containing protein YoeA,Inorganic ion transport and metabolism,,,,
b1996,insD-3,,2068952,2069857,-,CP4-44 prophage%3B IS2 insertion element protein InsB,"Replication, recombination and repair",P0CF53,,insCD-3C-3D-3,906.0
b1997,insC-3,,2069815,2070180,-,CP4-44 prophage%3B IS2 insertion element repressor InsA,"Replication, recombination and repair",P0CF40,,insCD-3C-3D-3,366.0
b1999,yeeP,,2070786,2071211,+,CP4-44 prophage%3B putative GTP-binding protein,Function unknown,,,yeeP,552.0
b2000,flu,,2071539,2074658,+,CP4-44 prophage%3B self recognizing antigen 43 (Ag43) autotransporter,Cell wall/membrane/envelope biogenesis,P39180,"RpoD,OxyR,YdcI",isrC-flu,3120.0
b2001,yeeR,,2074779,2076311,+,CP4-44 prophage%3B inner membrane protein YeeR,"Post-translational modification, protein turnover,and chaperones",P76361,,yeeRST-cbeA-cbtA-yeeW,1533.0
b2002,yeeS,,2076308,2076754,+,CP4-44 prophage%3B RadC-like JAB domain-containing protein YeeS,Amino acid transport and metabolism,P76362,,yeeRST-cbeA-cbtA-yeeW,447.0
b2003,yeeT,,2076817,2077038,+,CP4-44 prophage%3B DUF987 domain-containing protein YeeT,Function unknown,P64521,,,
b2004,cbeA,,2077112,2077480,+,CP4-44 prophage%3B cytoskeleton bundling-enhancing antitoxin CbeA,Function unknown,P76364,,,
b2005,cbtA,,2077569,2077943,+,CP4-44 prophage%3B cytoskeleton-binding toxin CbtA,Function unknown,P64524,,,
b2006,yeeW,,2077940,2078134,+,CP4-44 prophage%3B putative uncharacterized protein YeeW,Function unknown,UPI000013AC1F,,,
b4538,yoeF,,2078575,2078931,+,CP4-44 prophage%3B putative uncharacterized protein YoeF,Amino acid transport and metabolism,UPI0000683E7B,,,
b2007,yeeX,,2079032,2079361,-,DUF496 domain-containing protein YeeX,Function unknown,P0A8M6,,yeeX,330.0
b2008,yeeA,,2079533,2080591,-,putative transporter YeeA,Function unknown,P33011,,yeeA,1059.0
b2009,sbmC,,2080789,2081262,-,DNA gyrase inhibitor,"Replication, recombination and repair",P33012,"LexA,Crp,ppGpp",sbmC,474.0
b2010,dacD,,2081381,2082547,-,D-alanyl-D-alanine carboxypeptidase DacD,Cell wall/membrane/envelope biogenesis,P33013,YidZ,dacD,1167.0
b2011,sbcB,,2082756,2084183,+,exodeoxyribonuclease I,"Replication, recombination and repair",A0A0G3HGF9,YeiE,sbcB,1428.0
b2012,yeeD,,2084226,2084453,-,putative sulfurtransferase YeeD,"Post-translational modification, protein turnover,and chaperones",P33014,,yeeED,228.0
b2013,yeeE,,2084467,2085525,-,inner membrane protein YeeE,Function unknown,P33015,Lrp,yeeED,1059.0
b2014,plaP,,2085704,2087062,-,putrescine:H(+) symporter PlaP,Amino acid transport and metabolism,P0AA47,ppGpp,plaP,1359.0
b2015,yeeY,,2087329,2088258,-,putative DNA-binding transcriptional regulator YeeY,Transcription,P76369,,yeeY,930.0
b2016,yeeZ,,2088304,2089128,-,putative epimerase YeeZ,Carbohydrate transport and metabolism,P0AD12,Nac,yeeZ,825.0
b4539,yoeB,,2089211,2089465,-,ribosome-dependent mRNA interferase toxin YoeB,Function unknown,P69348,"RpoD,YefM-YoeB,YefM,Nac",yefM-yoeB,255.0
b2017,yefM,,2089462,2089713,-,YefM antitoxin of the YoeB-YefM toxin-antitoxin pair and DNA binding transcriptional repressor,"Cell cycle control, cell division, chromosome partitioning",P69346,"RpoD,YefM,YefM-YoeB",yefM-yoeB,252.0
b2019,hisG,,2090192,2091091,+,ATP phosphoribosyltransferase,Nucleotide transport and metabolism,P60757,"His-tRNA,DksA",hisLGDCBHAFI,900.0
b2020,hisD,,2091097,2092401,+,histidinal/histidinol dehydrogenase,Amino acid transport and metabolism,P06988,"ppGpp,His-tRNA,DksA",hisLGDCBHAFI,1305.0
b2021,hisC,,2092398,2093468,+,histidinol-phosphate aminotransferase,Amino acid transport and metabolism,P06986,"His-tRNA,DksA",hisLGDCBHAFI,1071.0
b2022,hisB,,2093468,2094535,+,imidazoleglycerol-phosphate dehydratase/histidinol-phosphatase,Amino acid transport and metabolism,P06987,"RpoD,His-tRNA,DksA",hisLGDCBHAFI,1068.0
b2023,hisH,,2094535,2095125,+,imidazole glycerol phosphate synthase subunit HisH,Amino acid transport and metabolism,P60595,"RpoD,His-tRNA,DksA",hisLGDCBHAFI,591.0
b2024,hisA,,2095125,2095862,+,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,Amino acid transport and metabolism,P10371,"RpoD,His-tRNA,DksA",hisLGDCBHAFI,738.0
b2025,hisF,,2095844,2096620,+,imidazole glycerol phosphate synthase subunit HisF,Amino acid transport and metabolism,P60664,"RpoD,His-tRNA,DksA",hisLGDCBHAFI,777.0
b2026,hisI,,2096614,2097225,+,putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase,Nucleotide transport and metabolism,P06989,"RpoD,His-tRNA,DksA",hisLGDCBHAFI,612.0
b2027,wzzB,,2097321,2098301,-,regulator of length of O-antigen component of lipopolysaccharide chains,Cell wall/membrane/envelope biogenesis,P76372,,wzzB,981.0
b2028,ugd,,2098447,2099613,-,UDP-glucose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,P76373,Nac,ugd,1167.0
b2029,gnd,,2099862,2101268,-,6-phosphogluconate dehydrogenase%2C decarboxylating,Nucleotide transport and metabolism,P00350,"RpoD,GadE,Fur,Fnr",gnd,1407.0
b4571,wbbL,,2101396,2101744,-,interrupted rhamnosyltransferase WbbL,No COG annotation,,,,
b2030,insH-7,,2101895,2102911,-,IS5 transposase and trans-activator,"Replication, recombination and repair",A0A385XJE6,,insH-7,1017.0
b2032,wbbK,,2103391,2104509,-,putative lipopolysaccharide biosynthesis protein,Cell wall/membrane/envelope biogenesis,P37751,,wbbIJK,1119.0
b2033,wbbJ,,2104494,2105084,-,putative acyl transferase,Function unknown,P37750,gcvB,wbbIJK,591.0
b2034,wbbI,,2105065,2106057,-,beta-1%2C6-galactofuranosyltransferase,Cell wall/membrane/envelope biogenesis,P37749,,wbbIJK,993.0
b2035,wbbH,,2106060,2107226,-,putative O-antigen polymerase,RNA processing and modification,P37748,"gcvB,ppGpp",glf-wbbH,1167.0
b2036,glf,,2107226,2108329,-,UDP-galactopyranose mutase,"Translation, ribosomal structure and biogenesis",P37747,gcvB,glf-wbbH,1104.0
b2037,rfbX,,2108337,2109584,-,polyisoprenol-linked O-antigen repeat unit flippase,Function unknown,P37746,"gcvB,ppGpp",rfbBDACX,1248.0
b2038,rfbC,,2109581,2110138,-,dTDP-4-dehydrorhamnose 3%2C5-epimerase,Nucleotide transport and metabolism,P37745,"ppGpp,Nac",rfbBDACX,558.0
b2039,rfbA,,2110138,2111019,-,dTDP-glucose pyrophosphorylase,Cell wall/membrane/envelope biogenesis,P37744,"gcvB,ppGpp",rfbBDACX,882.0
b2040,rfbD,,2111077,2111976,-,dTDP-4-dehydrorhamnose reductase,Nucleotide transport and metabolism,P37760,ppGpp,rfbBDACX,900.0
b2041,rfbB,,2111976,2113061,-,dTDP-glucose 4%2C6-dehydratase 1,Nucleotide transport and metabolism,P37759,"ppGpp,Nac,GlaR",rfbBDACX,1086.0
b2042,galF,,2113434,2114327,-,UTP:glucose-1-phosphate uridylyltransferase%2C low activity,Cell wall/membrane/envelope biogenesis,P0AAB6,,galF,894.0
b2043,wcaM,,2114502,2115896,-,putative colanic acid biosynthesis protein WcaM,Cell wall/membrane/envelope biogenesis,P71244,,wcaKLM,1395.0
b2044,wcaL,,2115907,2117127,-,putative colanic biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,P71243,,wcaKLM,1221.0
b2045,wcaK,,2117124,2118404,-,putative colanic acid biosynthesis pyruvyl transferase,Function unknown,P71242,,wcaKLM,1281.0
b2046,wzxC,,2118680,2120158,-,M-antigen undecaprenyl disphosphate flippase,Function unknown,P77377,ppGpp,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,1479.0
b2047,wcaJ,,2120160,2121554,-,undecaprenyl-phosphate glucose phosphotransferase,Cell wall/membrane/envelope biogenesis,P71241,,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,1395.0
b2048,cpsG,,2121609,2122979,-,phosphomannomutase,Nucleotide transport and metabolism,P24175,,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,1371.0
b2049,cpsB,,2123084,2124520,-,mannose-1-phosphate guanylyltransferase,Carbohydrate transport and metabolism,P24174,,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,1437.0
b2050,wcaI,,2124523,2125746,-,putative colanic biosynthesis glycosyl transferase,Carbohydrate transport and metabolism,P32057,,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,1224.0
b2051,gmm,,2125743,2126222,-,GDP-mannose mannosyl hydrolase,Nucleotide transport and metabolism,P32056,,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,480.0
b2052,fcl,,2126225,2127190,-,GDP-L-fucose synthase,Carbohydrate transport and metabolism,P32055,,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,966.0
b2053,gmd,,2127193,2128314,-,GDP-mannose 4%2C6-dehydratase,Nucleotide transport and metabolism,P0AC88,,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,1122.0
b2054,wcaF,,2128340,2128888,-,putative acyl transferase,Function unknown,P0ACD2,Nac,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,549.0
b2055,wcaE,,2128904,2129650,-,putative colanic acid biosynthesis glycosyl transferase,Function unknown,P71239,Nac,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,747.0
b2056,wcaD,,2129661,2130878,-,putative colanic acid polymerase,Function unknown,P71238,,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,1218.0
b2057,wcaC,,2130853,2132070,-,putative colanic acid biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,P71237,,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,1218.0
b2058,wcaB,,2132067,2132555,-,putative colanic acid biosynthesis acyl transferase,Amino acid transport and metabolism,P0ACC9,"RpoD,RcsAB",wza-wzb-wzc-wcaAB,489.0
b2059,wcaA,,2132558,2133397,-,putative colanic acid biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,P77414,"RpoD,RcsAB",wza-wzb-wzc-wcaAB,840.0
b2060,wzc,,2133490,2135652,-,protein-tyrosine kinase Wzc,"Cell cycle control, cell division, chromosome partitioning",P76387,"RpoD,RpoE,RcsAB,Nac",wza-wzb-wzc-wcaAB,2163.0
b2061,wzb,,2135655,2136098,-,protein-tyrosine phosphatase,Signal transduction mechanisms,P0AAB2,"RpoD,RpoE,RcsAB,Nac",wza-wzb-wzc-wcaAB,444.0
b2062,wza,,2136104,2137243,-,outer membrane polysaccharide export protein Wza,Cell wall/membrane/envelope biogenesis,P0A930,"RpoD,RpoE,RcsAB,Nac",wza-wzb-wzc-wcaAB,1140.0
b2063,yegH,,2137902,2139485,+,inner membrane protein YegH,Inorganic ion transport and metabolism,P76389,"YciT,PhoB,Nac",yegH,1584.0
b2064,asmA,,2139759,2141612,-,putative assembly protein AsmA,Cell wall/membrane/envelope biogenesis,P28249,,asmA,1854.0
b2065,dcd,,2141634,2142215,-,dCTP deaminase,Nucleotide transport and metabolism,P28248,RbsR,udk-dcd,582.0
b2066,udk,,2142307,2142948,-,uridine/cytidine kinase,Nucleotide transport and metabolism,P0A8F4,"ppGpp,RbsR",udk-dcd,642.0
b2067,dgcE,,2143266,2146583,+,putative diguanylate cyclase DgcE,Signal transduction mechanisms,P38097,,dgcE,3318.0
b2068,alkA,,2146692,2147540,-,DNA-3-methyladenine glycosylase 2,"Replication, recombination and repair",P04395,"RpoD,RpoS,ppGpp,Ada",alkA,849.0
b2069,yegD,,2147674,2149026,+,HSP70 family protein YegD,"Post-translational modification, protein turnover,and chaperones",P36928,YidZ,yegD,1353.0
b2070,yegI,,2149039,2150985,-,protein kinase YegI,Function unknown,P76393,,yegI,1947.0
b2071,yegJ,,2151185,2151646,+,DUF2314 domain-containing protein YegJ,Function unknown,P76394,,,
b2072,pphC,,2151711,2152472,-,protein-serine/threonine phosphatase PphC,Signal transduction mechanisms,P76395,YcjW,,
b2073,yegL,,2152469,2153128,-,IPR002035 domain-containing protein YegL,Function unknown,P76396,Nac,,
b2074,mdtA,,2154016,2155263,+,multidrug efflux pump membrane fusion protein MdtA,Cell wall/membrane/envelope biogenesis,P76397,"RpoS,CpxR,BaeR",mdtABCD-baeSR,1248.0
b2075,mdtB,,2155263,2158385,+,multidrug efflux pump RND permease subunit MdtB,Defense mechanisms,P76398,"RpoS,CpxR,BaeR",mdtABCD-baeSR,3123.0
b2076,mdtC,,2158386,2161463,+,multidrug efflux pump RND permease subunit MdtC,Defense mechanisms,P76399,"RpoS,CpxR,BaeR",mdtABCD-baeSR,3078.0
b2077,mdtD,,2161464,2162879,+,putative multidrug efflux pump MdtD,Amino acid transport and metabolism,P36554,"RpoS,CpxR,BaeR",mdtABCD-baeSR,1416.0
b2078,baeS,,2162876,2164279,+,sensory histidine kinase BaeS,Signal transduction mechanisms,P30847,"RpoS,CpxR,BaeR,GlaR",mdtABCD-baeSR,1404.0
b2079,baeR,,2164276,2164998,+,DNA-binding transcriptional activator BaeR,Transcription,P69228,"RpoS,CpxR,BaeR",mdtABCD-baeSR,723.0
b2080,yegP,,2165189,2165521,+,DUF1508 domain-containing protein YegP,Function unknown,P76402,ppGpp,yegP,333.0
b2081,yegQ,,2165668,2167029,+,putative peptidase YegQ,"Post-translational modification, protein turnover,and chaperones",P76403,ppGpp,yegQ,1362.0
b2082,ogrK,,2167302,2167520,-,prophage P2 late control protein OgrK,Transcription,P37057,,ogrK,219.0
