,gene_name,start,end,strand,gene_product,cog,uniprot,regulator
STM1989,yedI,2071879,2072790,-,putative inner membrane protein,Function unknown,,
STM1990,yedA,2072966,2073886,+,putative permease,Amino acid transport and metabolism,,
STM1991,vsr,2073875,2074345,-,DNA mismatch endonuclease,"Replication, recombination and repair",,
STM1992,dcm,2074326,2075756,-,DNA cytosine methylase,Coenzyme transport and metabolism,,
STM1993,yedJ,2075830,2076525,-,putative hydrolase,Function unknown,,
STM1994,STM1994,2076617,2076916,-,putative inner membrane protein,No COG annotation,,
STM1995,ompS,2077566,2078762,+,putative porin,Cell wall/membrane/envelope biogenesis,,
STM1996,cspB,2079222,2079434,-,putative cold-shock protein,Transcription,,"basR,fis"
STM1997,umuC,2079889,2081157,-,error-prone repair protein,"Replication, recombination and repair",,"lexA,rpoD"
STM1998,umuD,2081160,2081579,-,error-prone repair: SOS-response transcriptional repressor,Transcription,,"lexA,rpoD"
STM1999,STM1999,2081706,2081867,-,putative cytoplasmic protein,No COG annotation,,
STM2005,STM2005,2084455,2084928,+,putative endoprotease,No COG annotation,,
STM2006,STM2006,2085403,2086101,+,putative branched chain amino acid transport protein,"Replication, recombination and repair",,
STM2008,STM2008,2088669,2090399,+,putative periplasmic protein,Transcription,,
STM2009,amn,2091304,2092758,-,AMP nucleosidase,Nucleotide transport and metabolism,,phoB
STM2011,STM2011,2092954,2093280,-,putative cytoplasmic protein,Function unknown,,
STM2013,yeeO,2094374,2095831,-,putative MATE family transport protein,Defense mechanisms,,
STM2015,erfK,2096293,2097222,-,putative periplasmic protein,Function unknown,,
STM2016,cobT,2097300,2098370,-,nicotinate-nucleotide dimethylbenzimidazole-P phosphoribosyl transferase,Nucleotide transport and metabolism,,"nac,rpoD"
STM2017,cobS,2098397,2099140,-,cobalamin 5'-phosphate synthase,Coenzyme transport and metabolism,,"nac,rpoD"
STM2018,cobU,2099137,2099682,-,cobinamide kinase,Coenzyme transport and metabolism,,"nac,rpoD"
STM2019,cbiP,2099679,2101199,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2020,cbiO,2101196,2102011,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Nucleotide transport and metabolism,,
STM2021,cboQ,2102020,2102697,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Inorganic ion transport and metabolism,,
STM2022,cbiN,2102684,2102965,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Inorganic ion transport and metabolism,,
STM2023,cbiM,2102967,2103704,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Inorganic ion transport and metabolism,,
STM2024,cbiL,2103701,2104414,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2025,cbiK,2104411,2105205,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2026,cbiJ,2105208,2105999,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2027,cbiH,2105996,2106721,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2028,cbiG,2106721,2107776,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2029,cbiF,2107757,2108530,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2030,cbiT,2108514,2109092,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2031,cbiE,2109082,2109687,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Nucleotide transport and metabolism,,
STM2032,cbiD,2109681,2110820,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Nucleotide transport and metabolism,,
STM2033,cbiC,2110820,2111452,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2034,cibB,2111463,2112422,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2035,cbiA,2112419,2113798,-,synthesis of vitamin B12 adenosyl cobalamide precursor,Coenzyme transport and metabolism,,
STM2036,pocR,2114396,2115307,-,propanediol utilization protein,Transcription,,
STM2038,pduA,2116843,2117127,+,propanediol utilization protein,Energy production and conversion,,
STM2039,pudB,2117235,2117936,+,propanediol utilization protein,Amino acid transport and metabolism,,
STM2040,pduC,2117955,2119619,+,propanediol utilization dehydratase%2C large subunit,Amino acid transport and metabolism,,
STM2041,pduD,2119630,2120304,+,propanediol utilization dehydratase%2C medium subunit,"Secondary metabolites biosynthesis, transport, and catabolism",,
STM2042,pduE,2120319,2120840,+,propanediol utilization dehydratase%2C small subunit,"Secondary metabolites biosynthesis, transport, and catabolism",,
STM2043,pduG,2120850,2122682,+,propanediol utilization diol dehydratase reactivation protein,"Cell cycle control, cell division, chromosome partitioning",,
STM2044,pduH,2122672,2123022,+,propanediol utilization diol dehydratase reactivation protein,Function unknown,,
STM2046,pduK,2123320,2123802,+,propanediol utilization protein,Energy production and conversion,,
STM2047,pduL,2123802,2124434,+,propanediol utilization protein,"Secondary metabolites biosynthesis, transport, and catabolism",,
STM2048,pduM,2124431,2124922,+,propanediol utilization protein,Function unknown,,
STM2049,pduN,2124926,2125201,+,propanediol utilization protein,Energy production and conversion,,
STM2050,pduO,2125211,2126221,+,propanediol utilization B12 related protein,Function unknown,,
STM2051,pduP,2126218,2127612,+,propanediol utilization CoA-dependent propionaldehyde dehydrogenase,Energy production and conversion,,
STM2052,pduQ,2127624,2128736,+,propanediol utilization propanol dehydrogenase,Energy production and conversion,,
STM2053,pduS,2128733,2130088,+,propanediol utilization protein,Energy production and conversion,,
STM2054,pduT,2130091,2130645,+,propanediol utilization protein,Energy production and conversion,,
STM2055,pduU,2130645,2130995,+,propanediol utilization protein,Amino acid transport and metabolism,,
STM2056,pduV,2131000,2131452,+,propanediol utilization protein,Amino acid transport and metabolism,,
STM2057,pduW,2131437,2132651,+,propanediol utilization propionate kinase,Coenzyme transport and metabolism,,
STM2058,pduX,2132709,2133611,+,propanediol utilization protein,"Secondary metabolites biosynthesis, transport, and catabolism",,
STM2059,yeeX,2133645,2133980,-,putative cytoplasmic protein,Function unknown,,cra
STM2060,yeeA,2134225,2135283,-,putative inner membrane protein,Function unknown,,
STM2061,sbmC,2135402,2135869,-,DNA gyrase inhibitor,"Replication, recombination and repair",,"crp,lexA"
STM2062,dacD,2136022,2137194,-,DD-carboxypeptidase,Cell wall/membrane/envelope biogenesis,,
STM2063,phsC,2137318,2138082,-,hydrogen sulfide production membrane anchoring protein,Energy production and conversion,,"fnr,narL,narP,rpoS"
STM2064,phsB,2138079,2138657,-,hydrogen sulfide production iron-sulfur subunit,Energy production and conversion,,"fnr,narL,narP,rpoS"
STM2065,phsA,2138672,2140948,-,hydrogen sulfide production membrane anchoring protein,Energy production and conversion,,
STM2066,sopA,2141567,2143915,+,secreted effector protein of Salmonella,Function unknown,,
STM2067,sbcB,2144258,2145688,+,exonuclease I,"Replication, recombination and repair",,"nac,yeiE"
STM2068,yeeF,2145824,2147188,-,putative APC family amino acid transport protein,Amino acid transport and metabolism,,
STM2069,yeeY,2147468,2148382,-,putative LysR family transcriptional regulator,Transcription,,
STM2070,yeeZ,2148428,2149252,-,putative dehydratase,Carbohydrate transport and metabolism,,
STM2071,hisG,2149612,2150511,+,ATP phosphoribosyltransferase,Nucleotide transport and metabolism,,"argR,cra,his-tRNA"
STM2072,hisD,2150614,2151918,+,histidinal dehydrogenase,Amino acid transport and metabolism,,"argR,cra,his-tRNA"
STM2073,hisC,2151915,2152994,+,histidinol phosphate aminotransferase,Amino acid transport and metabolism,,"argR,cra,his-tRNA"
STM2074,hisB,2152991,2154058,+,imidazole glycerol-phosphate dehydratase,Amino acid transport and metabolism,,"argR,cra,his-tRNA,rpoD"
STM2075,hisH,2154055,2154648,+,glutamine amidotransferase,Amino acid transport and metabolism,,"argR,cra,his-tRNA,rpoD"
STM2076,hisA,2154648,2155385,+,N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase,Amino acid transport and metabolism,,"argR,cra,his-tRNA,rpoD"
STM2077,hisF,2155367,2156143,+,imidazole glycerol phosphate synthase,Amino acid transport and metabolism,,"argR,cra,his-tRNA,rpoD"
STM2078,hisI,2156137,2156748,+,phosphoribosyl-AMP cyclohydrolase,Amino acid transport and metabolism,,"argR,cra,his-tRNA,rpoD"
STM2079,wzzB,2156829,2157812,-,regulator of length of O-antigen component of lipopolysaccharide chains,Cell wall/membrane/envelope biogenesis,,
STM2080,udg,2157955,2159121,-,UDP-glucose/GDP-mannose dehydrogenase,Cell wall/membrane/envelope biogenesis,,nac
STM2081,gnd,2159358,2160764,-,gluconate-6-phosphate dehydrogenase,Coenzyme transport and metabolism,,"fnr,fur,gadE,rpoD"
STM2082,rfbP,2160928,2162358,-,undecaprenol-phosphate galactosephosphotransferase%2C and,Cell wall/membrane/envelope biogenesis,,
STM2083,rfbK,2162430,2163863,-,phosphomannomutase,Carbohydrate transport and metabolism,,
STM2084,rfbM,2163850,2165289,-,mannose-1-phosphate guanylyltransferase,Cell wall/membrane/envelope biogenesis,,
STM2085,rfbN,2165290,2166234,-,rhamnosyl transferase,Function unknown,,
STM2086,rfbU,2166235,2167296,-,mannosyl transferase,Cell wall/membrane/envelope biogenesis,,
STM2087,rfbV,2167616,2168617,-,abequosyltransferase,Cell wall/membrane/envelope biogenesis,,
STM2088,rfbX,2168622,2169914,-,putative O-antigen transferase,Function unknown,,
STM2089,rfbJ,2169996,2170895,-,CDP-abequose synthase,Carbohydrate transport and metabolism,,
STM2090,rfbH,2170923,2172236,-,CDP-6deoxy-D-xylo-4-hexulose-3-dehydrase,Amino acid transport and metabolism,,
STM2091,rfbG,2172263,2173342,-,CDP-glucose 4%2C6-dehydratase,Cell wall/membrane/envelope biogenesis,,
STM2092,rfbF,2173347,2174120,-,glucose-1-phosphate cytidylyltransferase,Nucleotide transport and metabolism,,
STM2093,rfbI,2174117,2175109,-,CDP-6-deoxy-delta3%2C4-glucoseen reductase,Energy production and conversion,,
STM2094,rfbC,2175115,2175666,-,dTDP-4%2Cdeoxyrhamnose 3%2C5 epimerase,Carbohydrate transport and metabolism,,nac
STM2095,rfbA,2175667,2176545,-,dTDP-glucose pyrophosphorylase,Coenzyme transport and metabolism,,nac
STM2096,rfbD,2176593,2177492,-,TDP-rhamnose synthetase,Cell wall/membrane/envelope biogenesis,,
STM2097,rfbB,2177492,2178577,-,dTDP-glucose 4%2C6 dehydratase,Cell wall/membrane/envelope biogenesis,,
STM2098,galF,2178954,2179847,-,putative glucose-1-phosphate uridylyltransferase%2C non-catalytic subunit,Cell wall/membrane/envelope biogenesis,,
STM2099,wcaM,2180025,2181428,-,putative colanic acid biosynthesis protein,Function unknown,,
STM2100,wcaL,2181439,2182659,-,putative glycosyl transferase,Cell wall/membrane/envelope biogenesis,,
STM2101,wcaK,2182656,2183936,-,putative galactokinase,Function unknown,,
STM2102,wzxC,2183958,2185436,-,putative export protein,Function unknown,,nac
STM2103,wcaJ,2185569,2186963,-,putative UDP-glucose lipid carrier transferase,Cell wall/membrane/envelope biogenesis,,nac
STM2104,cpsG,2187017,2188387,-,phosphomannomutase,Carbohydrate transport and metabolism,,nac
STM2105,manC,2188498,2189940,-,mannose-1-phosphate,Cell wall/membrane/envelope biogenesis,,nac
STM2106,wcaI,2189937,2191160,-,putative glycosyl transferase,Carbohydrate transport and metabolism,,nac
STM2108,wcaG,2191633,2192598,-,bifunctional GDP fucose synthetase,Carbohydrate transport and metabolism,,nac
STM2109,gmd,2192601,2193722,-,GDP-D-mannose dehydratase,Coenzyme transport and metabolism,,nac
STM2110,wcaF,2193746,2194300,-,putative acyltransferase,Function unknown,,nac
STM2111,wcaE,2194316,2195062,-,putative transferase,Function unknown,,nac
STM2112,wcaD,2195075,2196289,-,putative colanic acid polymerase,Function unknown,,nac
STM2113,wcaC,2196264,2197481,-,putative glycosyl transferase,Cell wall/membrane/envelope biogenesis,,nac
STM2114,wcaB,2197478,2197966,-,putative acyl transferase,Amino acid transport and metabolism,,"rcsA;rcsB,rpoD"
STM2115,wcaA,2197969,2198811,-,putative glycosyl transferase,Cell wall/membrane/envelope biogenesis,,"rcsA;rcsB,rpoD"
STM2116,wzc,2198898,2201057,-,putative tyrosine-protein kinase,"Cell cycle control, cell division, chromosome partitioning",,"nac,rcsA;rcsB,rpoD,rpoE"
STM2117,wzb,2201054,2201503,-,putative protein-tyrosine-phosphatase,Signal transduction mechanisms,,"nac,rcsA;rcsB,rpoD,rpoE"
STM2118,wza,2201509,2202648,-,putative polysaccharide export protein,Cell wall/membrane/envelope biogenesis,,"nac,rcsA;rcsB,rpoD,rpoE"
STM2119,yegH,2203323,2204903,+,putative inner membrane protein,Inorganic ion transport and metabolism,,"nac,phoB"
STM2120,asmA,2204989,2206845,-,suppressor of ompF assembly mutants,Cell wall/membrane/envelope biogenesis,,
STM2121,dcd,2206884,2207465,-,dUTPase,Nucleotide transport and metabolism,,
STM2122,udk,2207556,2208197,-,uridine/cytidine kinase,Nucleotide transport and metabolism,,
STM2123,yegE,2208528,2211518,+,putative PAS/PAC domain protein,Signal transduction mechanisms,,
STM2125,yegD,2212489,2213841,+,putative heat shock protein (Hsp70/DnaK),"Post-translational modification, protein turnover,and chaperones",,
STM2126,STM2126,2214282,2215523,+,putative HlyD family secretion protein,Cell wall/membrane/envelope biogenesis,,"baeR,cpxR,cra,crp,rpoS"
STM2127,yegN,2215523,2218645,+,putative outer membrane receptor,"Intracellular trafficking, secretion, and vesicular transport",,"baeR,cpxR,cra,crp,rpoS"
STM2128,yegO,2218646,2221726,+,putative resistance protein,Defense mechanisms,,"baeR,cpxR,cra,crp,rpoS"
STM2129,yegB,2221723,2223135,+,putative MFS family transport protein,"Intracellular trafficking, secretion, and vesicular transport",,"baeR,cpxR,cra,crp,rpoS"
STM2130,baeS,2223135,2224538,+,sensory kinase in two-component regulatoyr system wtih BaeR,Signal transduction mechanisms,,"baeR,cpxR,cra,crp,rpoS"
STM2131,baeR,2224535,2225257,+,response regulator in two-component regulatory system with BaeS,Transcription,,"baeR,cpxR,cra,crp,rpoS"
STM2134,STM2134,2226728,2227444,+,putative inner membrane protein,Function unknown,,
STM2135,STM2135,2227455,2229566,+,putative inner membrane protein,Function unknown,,
STM2136,yegQ,2229682,2231043,+,putative protease,Amino acid transport and metabolism,,
STM2137,STM2137,2231494,2232540,+,putative cytoplasmic protein,No COG annotation,,
STM2138,STM2138,2232576,2232992,-,putative cytoplasmic protein,Function unknown,,
STM2139,STM2139,2233114,2233449,-,putative inner membrane protein,No COG annotation,,
STM2140,yegS,2234011,2234910,+,putative diacylglycerol kinase catalytic domain containing protein,Nucleotide transport and metabolism,,
STM2141,fbaB,2234963,2236015,-,3-oxoacyl-[acyl-carrier-protein] synthase I,Carbohydrate transport and metabolism,,"cra,rpoS,yieP"
STM2142,yegT,2236269,2237540,+,putative MFS family transport protein,Carbohydrate transport and metabolism,,
STM2143,yegU,2237537,2238541,+,putative glycohydrolase,"Post-translational modification, protein turnover,and chaperones",,
STM2144,yegV,2238538,2239503,+,putative sugar kinase,Carbohydrate transport and metabolism,,
STM2145,yegW,2239477,2240223,-,putative gntR family regulatory protein,Transcription,,
STM2146,thiD,2240259,2241059,-,hydroxy-phosphomethylpyrimidine kinase (HMP-P kinase),Coenzyme transport and metabolism,,"TPP,yeiE"
STM2147,thiM,2241046,2241843,-,hydoxyethylthiazole kinase (THZ kinase),Coenzyme transport and metabolism,,TPP
STM2148,STM2148,2242253,2242567,+,putative periplasmic protein,Function unknown,,"fur,rcnR,rpoD"
STM2149,stcD,2242830,2243837,-,putative outer membrane lipoprotein,Cell motility,,
STM2150,stcC,2243853,2246342,-,putative outer membrane protein,Cell wall/membrane/envelope biogenesis,,
STM2151,stcB,2246356,2247039,-,putative periplasmic chaperone protein,Cell motility,,
STM2152,stcA,2247095,2247625,-,putative fimbrial-like protein,Cell motility,,
STM2153,yehE,2247904,2248185,-,putative outer membrane protein,Function unknown,,
STM2154,mrp,2248463,2249572,-,putative ATP-binding protein,Nucleotide transport and metabolism,,rpoD
STM2155,metG,2249737,2251770,+,methionine tRNA synthetase,"Translation, ribosomal structure and biogenesis",,rpoD
STM2156,yehR,2252011,2252469,+,putative lipoprotein,Cell wall/membrane/envelope biogenesis,,rpoH
STM2156A,STM2156A,2252641,2253171,+,putative 16.9 kd lipoprotein precursor,Function unknown,,
STM2157,yehS,2253228,2253695,-,putative cytoplasmic protein,Function unknown,,
STM2158,yehT,2253742,2254461,-,putative regulator,Transcription,,
STM2159,yehU,2254458,2256143,-,putative sensor/kinase in regulatory system,Signal transduction mechanisms,,
STM2160,yehV,2256366,2257097,+,putative transcriptional repressor (MerR family),Transcription,,"crp,fliZ,rpoD,rpoS"
STM2162,yehW,2257245,2257976,-,putative ABC-type proline/glycine betaine transport system%2C permease component,Inorganic ion transport and metabolism,,"rpoH,rpoS"
STM2163,yehX,2257960,2258907,-,putative ABC-type proline/glycine betaine transport system%2C ATPase component,Amino acid transport and metabolism,,"rpoH,rpoS"
STM2164,yehY,2258900,2260069,-,putative ABC-type proline/glycine betaine transport system%2C permease component,Inorganic ion transport and metabolism,,"rpoH,rpoS"
STM2165,yehZ,2260073,2260990,-,putative ABC superfamily transport protein (bind_prot),Cell wall/membrane/envelope biogenesis,,"rpoH,rpoS"
STM2166,bglX,2261171,2263468,-,periplasmic beta-D-glucoside glucohydrolase,Carbohydrate transport and metabolism,,"nac,rpoD"
STM2167,dld,2263735,2265465,+,NADH independent D-lactate dehydrogenase,Energy production and conversion,,nac
STM2168,pbpG,2265523,2266470,-,D-alanyl-D-alanine endopeptidase,Cell wall/membrane/envelope biogenesis,,ybaQ
STM2169,yohC,2266636,2267223,-,putative transport protein,Function unknown,,
STM2170,yohD,2267355,2267951,+,putative DedA family%2C membrane protein,Function unknown,,
STM2171,yohF,2268000,2268761,-,putative oxidoreductase,Lipid transport and metabolism,,
STM2172,yohG,2268827,2270263,-,putative outer membrane efflux protein,Cell wall/membrane/envelope biogenesis,,
STM2174,yohI,2270722,2271660,-,putative nitrogen regulation protein,"Translation, ribosomal structure and biogenesis",,yieP
STM2175,STM2175,2271769,2272962,-,putative monooxygenase,Energy production and conversion,,
STM2176,STM2176,2272977,2273621,-,putative glutathione S-transferase,"Post-translational modification, protein turnover,and chaperones",,
STM2177,STM2177,2273630,2274331,-,putative flutathione S-transferase,"Secondary metabolites biosynthesis, transport, and catabolism",,
STM2178,STM2178,2274347,2275384,-,putative 1%2C2-dioxygenase protein,"Secondary metabolites biosynthesis, transport, and catabolism",,
STM2179,STM2179,2275396,2276754,-,putative sugar transporter,Inorganic ion transport and metabolism,,"nsrR,rpoH"
STM2180,STM2180,2276880,2277788,+,putative LysR family transcriptional regulator,Transcription,,
STM2181,yohJ,2277920,2278318,+,putative effector of murein hydrolase LrgA,Function unknown,,yieP
STM2182,yohK,2278315,2279010,+,putative transmembrane protein,Cell wall/membrane/envelope biogenesis,,
STM2183,cdd,2279164,2280048,+,cytidine/deoxycytidine deaminase,Nucleotide transport and metabolism,,"crp,cytR,nsrR,rpoD"
STM2184,sanA,2280225,2280944,+,vancomycin sensitivity protein,Function unknown,,
STM2185,b2145,2280941,2281186,+,putative inner membrane protein,Function unknown,,
STM2186,STM2186,2281391,2282632,+,putative NADPH-dependent glutamate synthase beta chain or related oxidoreductase,Energy production and conversion,,"crp,rpoD"
STM2187,yeiA,2282626,2283861,+,putative dihydropyrimidine dehydrogenase,Energy production and conversion,,"crp,rpoD"
STM2188,mglC,2283936,2284946,-,methyl-galactoside transport protein,Carbohydrate transport and metabolism,,"arcA,crp,fis,flhD;flhC,galR,galS,nac,rpoD,rpoS"
STM2189,mglA,2284962,2286482,-,galactose (methyl-galactoside) transport protein,Carbohydrate transport and metabolism,,"arcA,crp,fis,flhD;flhC,galR,galS,nac,rpoD,rpoS"
STM2190,mglB,2286616,2287614,-,galactose transport protein,Carbohydrate transport and metabolism,,"arcA,crp,flhD;flhC,galR,galS,nac,rpoD,rpoS"
STM2191,galS,2288113,2289135,-,GalR/LacI family transcriptional repressor of mgl operon,Transcription,,"argR,crp,galR,galS,rpoD"
STM2192,yeiB,2289285,2290427,-,putative inner membrane protein,Function unknown,,"arcA,metJ,rpoD,yieP"
STM2193,folE,2290442,2291110,-,GTP cyclohydrolase I,Nucleotide transport and metabolism,,"arcA,metJ,rpoD"
STM2194,yeiG,2291440,2292297,+,putative esterase,Function unknown,,"arcA,yeiE"
STM2196,STM2196,2292680,2294047,-,putative D-serine dehydratase,Amino acid transport and metabolism,,
STM2197,STM2197,2294264,2295151,+,putative phosphoserine phosphatase,Amino acid transport and metabolism,,
STM2198,STM2198,2295184,2296506,+,putative regulatory protein,Carbohydrate transport and metabolism,,
STM2199,cirA,2296550,2298541,-,outer membrane porin,Inorganic ion transport and metabolism,,"arcA,crp,fur,rpoD"
STM2200,lysP,2298887,2300356,-,APC family lysine-specific permease,Amino acid transport and metabolism,,"argP,lrp,nac,rpoD"
STM2201,yeiE,2300546,2301409,-,putative LysR family transcriptional regulator,Transcription,,yeiE
STM2202,yeiH,2301530,2302579,+,putative inner membrane protein,Function unknown,,yeiE
STM2203,nfo,2302658,2303515,+,endonuclease IV,"Replication, recombination and repair",,"marA,rob,rpoD,soxS"
STM2204,fruA,2303580,2305268,-,fructose-specific transport protein,Carbohydrate transport and metabolism,,"cra,rpoD"
STM2205,fruK,2305285,2306223,-,fructose-1-phosphate kinase,Coenzyme transport and metabolism,,"cra,rpoD"
STM2206,fruF,2306223,2307353,-,phosphoenolpyruvate-dependent sugar phosphotransferase system%2C EIIA 2,Carbohydrate transport and metabolism,,"cra,rpoD"
STM2207,setB,2307722,2308903,+,proton efflux pump,Inorganic ion transport and metabolism,,crp
STM2208,STM2208,2308968,2309633,-,putative inner membrane protein,Function unknown,,
STM2212,yeiR,2311508,2312494,+,putative cobalamin synthesis protein,Function unknown,,
STM2213,yeiU,2312524,2313243,+,putative permease,Lipid transport and metabolism,,
STM2214,spr,2313657,2314229,+,putative lipoprotein,Cell wall/membrane/envelope biogenesis,,"lrp,nac"
STM2215,rtn,2314555,2316111,+,putative membrane protein involved in resistance to lambda and N4 phages,Signal transduction mechanisms,,crp
STM2216,yejA,2316218,2318023,+,putative ABC transporter periplasmic binding protein,Amino acid transport and metabolism,,
STM2217,yejB,2318033,2319127,+,putative ABC-type dipeptide/oligopeptide/nickel transport systems%2C permease component,Inorganic ion transport and metabolism,,
STM2218,yejE,2319127,2320152,+,putative ABC-type dipeptide/oligopeptide/nickel transport systems%2C permease component,Inorganic ion transport and metabolism,,
STM2219,yejF,2320154,2321743,+,putative ATPase component of ABC-type transport system,Inorganic ion transport and metabolism,,
STM2220,yejG,2321747,2322091,-,putative cytoplasmic protein,Function unknown,,"arcA,nac"
STM2221,bcr,2322482,2323672,-,bicyclomycin resistance protein,Amino acid transport and metabolism,,
STM2222,rsuA,2323700,2324395,-,16S rRNA pseudouridylate 516 synthase,"Translation, ribosomal structure and biogenesis",,
STM2223,yejH,2324547,2326307,+,putative ATP-dependent helicase,Nucleotide transport and metabolism,,rpoN
STM2224,rplY,2326432,2326716,+,50S ribosomal subunit protein L25,"Translation, ribosomal structure and biogenesis",,"arcA,rpoD"
STM2225,STM2225,2326825,2327445,-,putative inner membrane protein,No COG annotation,,
STM2226,yejK,2327473,2328480,-,nucleotide associated protein,Function unknown,,
STM2228,yejM,2328919,2330679,+,putative hydrolase of alkaline phosphatase superfamily,Function unknown,,
STM2231,STM2231,2331491,2331781,+,ssrB-regulated factor,Function unknown,,
STM2232,oafA,2332129,2333958,+,acetylation of the O-antigen (LPS),Lipid transport and metabolism,,
STM2233,STM2233,2334012,2334455,-,putative cytoplasmic protein,Function unknown,,
STM2234,STM2234,2334833,2335360,-,putative tail fiber assembly protein,Function unknown,,
STM2235,STM2235,2335363,2336604,-,putative phage protein,Carbohydrate transport and metabolism,,
STM2236,STM2236,2336665,2337183,-,putative phage protein,Function unknown,,
STM2237,STM2237,2337197,2337526,-,putative inner membrane protein,Cell motility,,
STM2240,STM2240,2339566,2340555,-,putative cytoplasmic protein,Defense mechanisms,,
STM2245,STM2245,2345408,2345971,-,putative outer membrane protein,Function unknown,,
STM2246,narP,2346701,2347348,+,response regulator in two-component regulatory system with NarQ (or NarX),Transcription,,rpoH
STM2254,ccmA,2353044,2353661,-,ABC superfamily (membrane) heme exporter protein,Inorganic ion transport and metabolism,,
STM2255,napC,2353682,2354284,-,periplasmic nitrate reductase,Energy production and conversion,,"flhD;flhC,fnr,iscR,lrp,modE,nac,narL,narP,rpoD"
STM2256,napB,2354294,2354743,-,periplasmic small subunit nitrate reductase of cytochrome C550,Energy production and conversion,,"flhD;flhC,fnr,iscR,lrp,modE,nac,narL,narP,rpoD"
STM2257,napH,2354859,2355728,-,ferredoxin-type protein,Energy production and conversion,,"flhD;flhC,fnr,iscR,lrp,modE,nac,narL,narP,rpoD"
STM2258,napG,2355715,2356410,-,ferredoxin-type protein,Energy production and conversion,,"flhD;flhC,fnr,iscR,lrp,modE,nac,narL,narP,rpoD"
STM2259,napA,2356417,2358903,-,periplasmic large subunit nitrate reductase,Energy production and conversion,,"flhD;flhC,fnr,iscR,lrp,modE,nac,narL,narP,rpoD"
STM2260,napD,2358900,2359163,-,periplasmic nitrate reductase,Inorganic ion transport and metabolism,,"flhD;flhC,fnr,iscR,lrp,modE,nac,narL,narP,rpoD"
STM2261,napF,2359153,2359644,-,ferredoxin-type protein,Energy production and conversion,,"flhD;flhC,fnr,iscR,lrp,modE,nac,narL,narP,rpoD"
STM2262,eco,2360058,2360552,+,ecotin,Cell wall/membrane/envelope biogenesis,,lrp
STM2263,yojI,2360761,2362404,-,putative ABC-type multidrug/protein/lipid transport system,Inorganic ion transport and metabolism,,"fur,lrp,nac,rpoD,ydcI"
STM2264,alkB,2362480,2363130,-,DNA repair system specific for alkylated DNA,"Replication, recombination and repair",,"ada,rpoD,rpoS"
STM2265,ada,2363133,2364194,-,O6-methylguanine-DNA methyltransferase,Nucleotide transport and metabolism,,"ada,rpoD,rpoS"
STM2266,apbE,2364275,2365327,-,putative thiamine biosynthesis lipoprotein,Coenzyme transport and metabolism,,yeiE
STM2267,ompC,2365442,2366578,-,outer membrane protein 1b (ib%3Bc),Cell wall/membrane/envelope biogenesis,,"arcA,cpxR,envY,ihf,lrp,ompR,rpoD,yjjQ"
STM2269,yojN,2367307,2369976,+,putative sensor/kinase in regulatory system,Signal transduction mechanisms,,"arcA,h-NS,rpoD"
STM2270,rcsB,2369993,2370643,+,LuxR/UhpA family response regulator in two-component regulatory system with RcsC,Transcription,,"arcA,h-NS,rpoD"
STM2271,rcsC,2370746,2373592,-,sensory histidine kinase in two-component regulatory system with RcsB,Signal transduction mechanisms,,yddM
STM2272,gyrA,2373710,2376346,-,DNA gyrase%2C subunit A,"Replication, recombination and repair",,"crp,cspA,fis,rpoD"
STM2273,STM2273,2376756,2377958,-,putative dehydratase protein,Cell wall/membrane/envelope biogenesis,,
STM2274,STM2274,2377973,2379298,-,putative permease,Carbohydrate transport and metabolism,,
STM2276,ubiG,2380315,2381043,+,3-demethylubiquinone-9 3-methyltransferase,Coenzyme transport and metabolism,,"crp,rpoD"
STM2277,nrdA,2381399,2383684,+,ribonucleoside diphosphate reductase 1%2C alpha subunit,Nucleotide transport and metabolism,,"argP,crp,dnaA,fis,fnr,h-NS,nrdR,rpoD"
STM2278,nrdB,2383797,2384927,+,ribonucleoside-diphosphate reductase 1%2C beta subunit,Nucleotide transport and metabolism,,"argP,crp,dnaA,fis,fnr,h-NS,nrdR,rpoD"
