,gene_name,accession,start,end,strand,gene_product,cog,uniprot,operon,regulator
PN96_RS12735,rpoZ,NZ_CP009977.1,2744927,2745199,+,DNA-directed RNA polymerase subunit omega,Transcription,A0A072K855,Op2762,
PN96_RS12740,spoT,NZ_CP009977.1,2745239,2747359,+,bifunctional GTP diphosphokinase/guanosine-3'%2C5'-bis pyrophosphate 3'-pyrophosphohydrolase,Transcription,A0A1B1E8Q7,Op2762,
PN96_RS12745,trmH,NZ_CP009977.1,2747420,2748103,+,tRNA (guanosine(18)-2'-O)-methyltransferase TrmH,"Translation, ribosomal structure and biogenesis",A0A1B1E8L5,Op2763,
PN96_RS12750,recG,NZ_CP009977.1,2748213,2750294,+,ATP-dependent DNA helicase RecG,"Replication, recombination and repair",UPI000357D978,Op2764,LexA
PN96_RS12755,xanP,NZ_CP009977.1,2750513,2751901,+,uracil-xanthine permease family protein,Nucleotide transport and metabolism,UPI000243A9B0,Op2765,PurR
PN96_RS12760,envZ,NZ_CP009977.1,2751988,2753280,-,two-component system sensor histidine kinase EnvZ,Signal transduction mechanisms,UPI000357DD9E,Op2766,
PN96_RS12765,ompR,NZ_CP009977.1,2753408,2754127,-,two-component system response regulator OmpR,Transcription,A0A1B1E8J9,Op2767,
PN96_RS12770,PN96_RS12770,NZ_CP009977.1,2754311,2754610,-,DUF1090 family protein,Function unknown,A0A1B1E8M0,Op2768,
PN96_RS12775,greB,NZ_CP009977.1,2754709,2755212,-,transcription elongation factor GreB,Transcription,A0A3B7CNV9,Op2769,
PN96_RS12780,PN96_RS12780,NZ_CP009977.1,2755341,2757221,-,RimK/LysX family protein,"Post-translational modification, protein turnover, and chaperones",UPI0004147A8E,Op2770,
PN96_RS12785,PN96_RS12785,NZ_CP009977.1,2757430,2759760,+,RNA-binding transcriptional accessory protein,Transcription,UPI0003573D7A,Op2771,
PN96_RS12790,PN96_RS12790,NZ_CP009977.1,2759843,2760307,-,hypothetical protein,No COG annotation,UPI0003574F61,Op2772,
PN96_RS12795,bioH,NZ_CP009977.1,2760419,2761186,-,pimeloyl-ACP methyl ester esterase BioH,Function unknown,UPI000462AE50,Op2773,
PN96_RS12800,comF,NZ_CP009977.1,2761271,2761993,+,ComF family protein,Function unknown,UPI000410F249,Op2774,QstR
PN96_RS12805,nfuA,NZ_CP009977.1,2762090,2762674,+,Fe-S biogenesis protein NfuA,Energy production and conversion,A0A1B1E8M4,Op2775,IscR 
PN96_RS12810,nudE,NZ_CP009977.1,2762835,2763404,+,ADP compounds hydrolase NudE,"Replication, recombination and repair",A0A1B1E8I8,Op2776,
PN96_RS12815,cysQ,NZ_CP009977.1,2763449,2764276,+,3'(2')%2C5'-bisphosphate nucleotidase CysQ,Inorganic ion transport and metabolism,A0A1B1E8L7,Op2777,
PN96_RS12820,PN96_RS12820,NZ_CP009977.1,2764561,2765322,-,type II secretion system protein N,Function unknown,UPI0003F963A7,Op2778,
PN96_RS12825,PN96_RS12825,NZ_CP009977.1,2765324,2765815,-,type II secretion system protein M,"Intracellular trafficking, secretion, and vesicular transport",UPI00035727FA,Op2778,
PN96_RS12830,gspL,NZ_CP009977.1,2765823,2767022,-,type II secretion system protein GspL,"Intracellular trafficking, secretion, and vesicular transport",UPI000357AADE,Op2778,
PN96_RS12835,gspK,NZ_CP009977.1,2766991,2768001,-,type II secretion system minor pseudopilin GspK,"Intracellular trafficking, secretion, and vesicular transport",UPI00035727C9,Op2778,
PN96_RS12840,gspJ,NZ_CP009977.1,2767994,2768659,-,type II secretion system minor pseudopilin GspJ,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1E8L2,Op2778,
PN96_RS12845,gspI,NZ_CP009977.1,2768646,2769035,-,type II secretion system minor pseudopilin GspI,Cell motility,UPI000357AE01,Op2778,
PN96_RS12850,PN96_RS12850,NZ_CP009977.1,2769022,2769621,-,GspH/FimT family pseudopilin,Cell motility,UPI000243A950,Op2778,
PN96_RS12855,gspG,NZ_CP009977.1,2769654,2770097,-,type II secretion system major pseudopilin GspG,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1E8L4,Op2778,
PN96_RS12860,gspF,NZ_CP009977.1,2770158,2771375,-,type II secretion system inner membrane protein GspF,"Intracellular trafficking, secretion, and vesicular transport",UPI000357C740,Op2778,
PN96_RS12865,gspE,NZ_CP009977.1,2771375,2772877,-,type II secretion system ATPase GspE,Cell motility,A0A3B7CTX0,Op2778,
PN96_RS12870,gspD,NZ_CP009977.1,2772877,2774898,-,type II secretion system secretin GspD,Cell motility,A0A3B7CMH3,Op2778,
PN96_RS12875,gspC,NZ_CP009977.1,2774935,2775852,-,type II secretion system protein GspC,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1E8K0,Op2778,
PN96_RS12880,hslR,NZ_CP009977.1,2776104,2776490,+,ribosome-associated heat shock protein Hsp15,"Translation, ribosomal structure and biogenesis",A0A1B1E8R4,Op2779,
PN96_RS12885,hslO,NZ_CP009977.1,2776522,2777397,+,Hsp33 family molecular chaperone HslO,"Post-translational modification, protein turnover, and chaperones",UPI0004164FDC,Op2779,
PN96_RS12890,pckA,NZ_CP009977.1,2777734,2779362,+,phosphoenolpyruvate carboxykinase (ATP),Nucleotide transport and metabolism,A0A1B1E8K2,Op2780,
PN96_RS12895,PN96_RS12895,NZ_CP009977.1,2779506,2781566,+,AsmA family protein,Function unknown,UPI00071FF0AE,Op2781,
PN96_RS12900,PN96_RS12900,NZ_CP009977.1,2781552,2782469,-,bifunctional GNAT family N-acetyltransferase/hotdog fold thioesterase,Transcription,A0A1B1E8I4,Op2782,
PN96_RS12905,dtd,NZ_CP009977.1,2782576,2783010,-,D-tyrosyl-tRNA(Tyr) deacylase,"Translation, ribosomal structure and biogenesis",A0A3B7CU29,Op2783,
PN96_RS12910,PN96_RS12910,NZ_CP009977.1,2782982,2783926,-,virulence factor BrkB family protein,Function unknown,A0A1B1E8G8,Op2784,
PN96_RS12915,PN96_RS12915,NZ_CP009977.1,2783962,2784603,+,DUF2959 domain-containing protein,Function unknown,A0A1B1E8J8,Op2785,
PN96_RS12920,PN96_RS12920,NZ_CP009977.1,2784626,2785183,-,AAA family ATPase,Function unknown,UPI00035728A2,Op2786,
PN96_RS12925,typA,NZ_CP009977.1,2785264,2787093,-,translational GTPase TypA,Signal transduction mechanisms,A0A3B7CN06,Op2787,
PN96_RS12930,glnA,NZ_CP009977.1,2787631,2789040,+,glutamate--ammonia ligase,Amino acid transport and metabolism,A0A1B1E8Q4,Op2788,"NtrC,NtrC"
PN96_RS12935,PN96_RS12935,NZ_CP009977.1,2789242,2789823,+,DUF4124 domain-containing protein,Function unknown,UPI00035771F3,Op2789,TfoX
PN96_RS12940,glnL,NZ_CP009977.1,2789954,2791000,+,nitrogen regulation protein NR(II),Signal transduction mechanisms,A0A3B7CP81,Op2790,"NtrC,NtrC"
PN96_RS12945,glnG,NZ_CP009977.1,2791051,2792454,+,nitrogen regulation protein NR(I),Signal transduction mechanisms,A0A1B1E8J1,Op2790,"NtrC,NtrC"
PN96_RS12950,PN96_RS12950,NZ_CP009977.1,2792544,2795090,+,GGDEF and EAL domain-containing protein,Signal transduction mechanisms,UPI000357CDDF,Op2791,NtrC
PN96_RS12955,add,NZ_CP009977.1,2795238,2796242,+,adenosine deaminase,Nucleotide transport and metabolism,UPI000357C8CD,Op2792,"AphA,Crp"
PN96_RS12960,hemN,NZ_CP009977.1,2796310,2797701,-,oxygen-independent coproporphyrinogen III oxidase,Coenzyme transport and metabolism,A0A1B1E8J4,Op2793,
PN96_RS12965,PN96_RS12965,NZ_CP009977.1,2797920,2798408,-,DUF2489 domain-containing protein,Function unknown,A0A1B1E8F6,Op2794,
PN96_RS12970,yihI,NZ_CP009977.1,2798416,2798958,-,Der GTPase-activating protein YihI,Function unknown,UPI000357F355,Op2794,
PN96_RS12975,PN96_RS12975,NZ_CP009977.1,2798958,2799596,-,class I SAM-dependent methyltransferase,Function unknown,A0A1B1E8F9,Op2794,
PN96_RS24195,PN96_RS24195,NZ_CP009977.1,2799642,2799911,-,hypothetical protein,No COG annotation,UPI00035720A0,Op2795,
PN96_RS12985,PN96_RS12985,NZ_CP009977.1,2800389,2801006,-,cytochrome c4,Energy production and conversion,A0A1B1E8I0,Op2796,
PN96_RS12990,yihA,NZ_CP009977.1,2801166,2801825,+,ribosome biogenesis GTP-binding protein YihA/YsxC,"Cell cycle control, cell division, chromosome partitioning",A0A1B1E8P4,Op2797,
PN96_RS12995,polA,NZ_CP009977.1,2802582,2805374,-,DNA polymerase I,"Replication, recombination and repair",A0A3B7CP72,Op2798,Crp
PN96_RS13005,PN96_RS13005,NZ_CP009977.1,2806004,2806438,-,GNAT family N-acetyltransferase,Transcription,UPI0003574BC0,Op2799,
PN96_RS13010,hemB,NZ_CP009977.1,2806579,2807640,-,porphobilinogen synthase,Coenzyme transport and metabolism,A0A3B7CM12,Op2800,
PN96_RS13015,PN96_RS13015,NZ_CP009977.1,2807825,2808598,+,TatD family hydrolase,"Replication, recombination and repair",UPI00035739B7,Op2801,
PN96_RS13020,PN96_RS13020,NZ_CP009977.1,2808693,2809895,+,cation:proton antiporter,Inorganic ion transport and metabolism,UPI0003574C7E,Op2802,
PN96_RS13025,tatC,NZ_CP009977.1,2810252,2810998,-,twin-arginine translocase subunit TatC,"Intracellular trafficking, secretion, and vesicular transport",A0A3B7CTT7,Op2803,
PN96_RS13030,tatB,NZ_CP009977.1,2811066,2811464,-,Sec-independent protein translocase protein TatB,"Intracellular trafficking, secretion, and vesicular transport",A0A3B7CME4,Op2803,
PN96_RS13035,tatA,NZ_CP009977.1,2811468,2811734,-,Sec-independent protein translocase subunit TatA,"Intracellular trafficking, secretion, and vesicular transport",UPI000243A8E6,Op2803,
PN96_RS13040,ubiB,NZ_CP009977.1,2811784,2813418,-,ubiquinone biosynthesis regulatory protein kinase UbiB,Coenzyme transport and metabolism,UPI000357B333,Op2804,
PN96_RS13045,PN96_RS13045,NZ_CP009977.1,2813415,2814050,-,SCP2 domain-containing protein,Function unknown,UPI000357F592,Op2804,
PN96_RS13050,ubiE,NZ_CP009977.1,2814062,2814841,-,bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE,Coenzyme transport and metabolism,UPI000243A8E3,Op2804,
PN96_RS13055,rmuC,NZ_CP009977.1,2814919,2816451,-,DNA recombination protein RmuC,Function unknown,UPI00035787BD,Op2805,LexA
PN96_RS13060,PN96_RS13060,NZ_CP009977.1,2816621,2817529,+,DMT family transporter,Amino acid transport and metabolism,A0A3B7CM03,Op2806,
PN96_RS13065,PN96_RS13065,NZ_CP009977.1,2817683,2820136,+,EAL domain-containing protein,Signal transduction mechanisms,UPI000357A7DB,Op2807,
PN96_RS13070,PN96_RS13070,NZ_CP009977.1,2820199,2820891,-,hypothetical protein,No COG annotation,UPI0004F35B5C,Op2808,
PN96_RS13075,PN96_RS13075,NZ_CP009977.1,2821221,2822867,-,ATP-binding cassette domain-containing protein,Defense mechanisms,UPI000357CD80,Op2809,
PN96_RS13080,PN96_RS13080,NZ_CP009977.1,2822864,2824462,-,ATP-binding cassette domain-containing protein,Energy production and conversion,UPI0003581C0F,Op2809,
PN96_RS13085,PN96_RS13085,NZ_CP009977.1,2824459,2824848,-,YbaN family protein,Function unknown,UPI000357C134,Op2809,
PN96_RS13090,PN96_RS13090,NZ_CP009977.1,2824966,2825496,-,pyridoxamine 5'-phosphate oxidase family protein,Inorganic ion transport and metabolism,UPI0003570AB4,Op2810,
PN96_RS13095,PN96_RS13095,NZ_CP009977.1,2825519,2826922,-,pilus assembly protein TadG,Function unknown,UPI0003579641,Op2810,
PN96_RS13100,PN96_RS13100,NZ_CP009977.1,2826922,2827425,-,hypothetical protein,No COG annotation,A0A1B1E8G0,Op2810,
PN96_RS13105,PN96_RS13105,NZ_CP009977.1,2827428,2827904,-,pilus assembly protein,Function unknown,UPI000243A8D8,Op2810,
PN96_RS13110,PN96_RS13110,NZ_CP009977.1,2827901,2828671,-,tetratricopeptide repeat protein,Function unknown,UPI000357F4F4,Op2810,
PN96_RS13115,PN96_RS13115,NZ_CP009977.1,2828668,2829588,-,type II secretion system F family protein,Cell motility,UPI0003573A20,Op2810,
PN96_RS13120,PN96_RS13120,NZ_CP009977.1,2829592,2830491,-,type II secretion system F family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI0003576C40,Op2810,
PN96_RS13125,PN96_RS13125,NZ_CP009977.1,2830488,2831789,-,CpaF family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI0003572806,Op2810,
PN96_RS13130,PN96_RS13130,NZ_CP009977.1,2831794,2832921,-,AAA family ATPase,"Cell cycle control, cell division, chromosome partitioning",UPI000357EAFB,Op2810,
PN96_RS13135,PN96_RS13135,NZ_CP009977.1,2832925,2833482,-,hypothetical protein,No COG annotation,UPI0003576A0B,Op2810,
PN96_RS13140,PN96_RS13140,NZ_CP009977.1,2833491,2834915,-,type II and III secretion system protein family protein,"Intracellular trafficking, secretion, and vesicular transport",UPI00035727A7,Op2810,
PN96_RS13145,cpaB,NZ_CP009977.1,2834919,2835809,-,Flp pilus assembly protein CpaB,"Intracellular trafficking, secretion, and vesicular transport",A0A3B7CMW9,Op2810,
PN96_RS13150,PN96_RS13150,NZ_CP009977.1,2835822,2836262,-,prepilin peptidase,Function unknown,A0A3B7CTI9,Op2810,
PN96_RS13155,PN96_RS13155,NZ_CP009977.1,2836252,2836452,-,Flp family type IVb pilin,"Intracellular trafficking, secretion, and vesicular transport",UPI0002FEC666,Op2810,
PN96_RS13160,PN96_RS13160,NZ_CP009977.1,2836720,2840244,+,DUF1566 domain-containing protein,Function unknown,UPI0003578318,Op2811,
PN96_RS13165,PN96_RS13165,NZ_CP009977.1,2840258,2840956,+,DUF1566 domain-containing protein,No COG annotation,A0A1B1E8E5,Op2811,
PN96_RS13170,PN96_RS13170,NZ_CP009977.1,2841044,2842237,-,NAD(P)/FAD-dependent oxidoreductase,Function unknown,UPI000357A741,Op2812,
PN96_RS13175,uspB,NZ_CP009977.1,2842394,2842717,-,universal stress protein UspB,Function unknown,A0A1B1E8A6,Op2813,HapR
PN96_RS13180,ftnA,NZ_CP009977.1,2842809,2843336,-,non-heme ferritin,Inorganic ion transport and metabolism,A0A1B1E8D8,Op2814,
PN96_RS13185,uspA,NZ_CP009977.1,2843564,2843989,+,universal stress protein UspA,Signal transduction mechanisms,A0A1B1E899,Op2815,
PN96_RS13190,PN96_RS13190,NZ_CP009977.1,2844054,2844932,+,carboxylate/amino acid/amine transporter,Amino acid transport and metabolism,A0A1B1E8C6,Op2816,
PN96_RS13195,PN96_RS13195,NZ_CP009977.1,2844991,2845563,-,hypothetical protein,No COG annotation,UPI0003575A0E,Op2817,Fur
PN96_RS13200,PN96_RS13200,NZ_CP009977.1,2845747,2846526,-,class I SAM-dependent methyltransferase,"Translation, ribosomal structure and biogenesis",UPI0004126B5E,Op2818,
PN96_RS13205,asnC,NZ_CP009977.1,2846648,2847112,+,transcriptional regulator AsnC,Transcription,A0A1B1E8I5,Op2819,
PN96_RS13210,prlC,NZ_CP009977.1,2847182,2849224,-,oligopeptidase A,Amino acid transport and metabolism,UPI000243A8A4,Op2820,
PN96_RS13215,PN96_RS13215,NZ_CP009977.1,2849612,2850451,+,23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ,Coenzyme transport and metabolism,A0A1B1E8C2,Op2821,
PN96_RS13220,gorA,NZ_CP009977.1,2850713,2852068,+,glutathione-disulfide reductase,Energy production and conversion,A0A3B7CLX4,Op2822,
PN96_RS13225,hutX,NZ_CP009977.1,2852260,2852784,-,heme utilization cystosolic carrier protein HutX,Inorganic ion transport and metabolism,UPI000357D579,Op2823,
PN96_RS13230,PN96_RS13230,NZ_CP009977.1,2853133,2853747,-,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,Carbohydrate transport and metabolism,UPI0003574825,Op2824,"FNR,GntR"
PN96_RS13235,PN96_RS13235,NZ_CP009977.1,2853757,2855133,-,GntP family permease,Amino acid transport and metabolism,A0A3B7CTQ1,Op2824,"FNR,GntR"
PN96_RS13240,PN96_RS13240,NZ_CP009977.1,2855287,2855814,+,gluconokinase,Nucleotide transport and metabolism,A0A3B7CMA6,Op2825,"Crp,GntR"
PN96_RS13245,edd,NZ_CP009977.1,2855811,2857607,+,phosphogluconate dehydratase,Amino acid transport and metabolism,UPI000357FA96,Op2825,"Crp,GntR"
PN96_RS13250,GntR,NZ_CP009977.1,2857670,2858677,-,LacI family DNA-binding transcriptional regulator,Transcription,UPI0004231684,Op2826,GntR
PN96_RS13255,PN96_RS13255,NZ_CP009977.1,2858904,2859884,-,hypothetical protein,No COG annotation,UPI000357BB42,Op2827,
PN96_RS13260,PN96_RS13260,NZ_CP009977.1,2860041,2860985,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A1B1E8H7,Op2828,
PN96_RS13265,PN96_RS13265,NZ_CP009977.1,2860988,2861965,-,ABC transporter permease,Inorganic ion transport and metabolism,A0A1B1E8Z0,Op2828,
PN96_RS13270,PN96_RS13270,NZ_CP009977.1,2862142,2863695,-,ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A1B1E8B2,Op2829,
PN96_RS13275,PN96_RS13275,NZ_CP009977.1,2863784,2865499,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,A0A3B7D2I5,Op2830,
PN96_RS13285,PN96_RS13285,NZ_CP009977.1,2866184,2866909,+,HAD family hydrolase,Function unknown,UPI000356EC33,Op2831,
PN96_RS13315,PN96_RS13315,NZ_CP009977.1,2868087,2868500,+,cytochrome c5 family protein,Energy production and conversion,A0A1B1E8B8,Op2832,
PN96_RS13320,rep,NZ_CP009977.1,2868584,2870599,-,DNA helicase Rep,"Replication, recombination and repair",UPI000243A893,Op2833,
PN96_RS13325,PN96_RS13325,NZ_CP009977.1,2870797,2871378,+,TetR/AcrR family transcriptional regulator,Transcription,UPI000243A892,Op2834,
PN96_RS13330,PN96_RS13330,NZ_CP009977.1,2871396,2872502,+,efflux RND transporter periplasmic adaptor subunit,Cell wall/membrane/envelope biogenesis,A0A1B1E878,Op2834,
PN96_RS13335,PN96_RS13335,NZ_CP009977.1,2872514,2875636,+,multidrug efflux RND transporter permease subunit,Defense mechanisms,UPI0003573AD9,Op2834,
PN96_RS13340,PN96_RS13340,NZ_CP009977.1,2875785,2876036,+,accessory factor UbiK family protein,Function unknown,A0A0M0HUU0,Op2835,
PN96_RS13345,ilvC,NZ_CP009977.1,2876238,2877722,-,ketol-acid reductoisomerase,Amino acid transport and metabolism,UPI000356FE35,Op2836,IlvY
PN96_RS13350,ilvY,NZ_CP009977.1,2877860,2878750,+,HTH-type transcriptional activator IlvY,Transcription,A0A1B1E8A5,Op2837,IlvY
PN96_RS13355,PN96_RS13355,NZ_CP009977.1,2878962,2879636,+,response regulator transcription factor,Transcription,UPI0003570E40,Op2838,
PN96_RS13360,PN96_RS13360,NZ_CP009977.1,2879620,2880906,+,HAMP domain-containing histidine kinase,Signal transduction mechanisms,UPI0003570004,Op2838,
PN96_RS13365,nagE,NZ_CP009977.1,2880963,2882450,-,N-acetylglucosamine-specific PTS transporter subunit IIBC,Carbohydrate transport and metabolism,UPI0003583626,Op2839,
PN96_RS13400,hemG,NZ_CP009977.1,2888388,2888915,-,menaquinone-dependent protoporphyrinogen IX dehydrogenase,Energy production and conversion,UPI00035828EE,Op2840,
PN96_RS13405,PN96_RS13405,NZ_CP009977.1,2888925,2890382,-,TrkH family potassium uptake protein,Inorganic ion transport and metabolism,A0A1B1E8A1,Op2840,
PN96_RS13410,PN96_RS13410,NZ_CP009977.1,2890429,2891052,-,YigZ family protein,Function unknown,A0A3B7CUZ3,Op2841,QstR
PN96_RS13415,fadB,NZ_CP009977.1,2891325,2893496,+,fatty acid oxidation complex subunit alpha FadB,Lipid transport and metabolism,UPI000243A85B,Op2842,"FadR,PsrA"
PN96_RS13420,fadA,NZ_CP009977.1,2893512,2894687,+,acetyl-CoA C-acyltransferase FadA,Lipid transport and metabolism,A0A1B1E8F4,Op2842,"FadR,PsrA"
PN96_RS13425,PN96_RS13425,NZ_CP009977.1,2894946,2895926,+,oxidoreductase,Energy production and conversion,UPI00035832FF,Op2843,
PN96_RS13430,PN96_RS13430,NZ_CP009977.1,2895982,2896923,-,LysR family transcriptional regulator,Transcription,A0A1B1EGE2,Op2844,
PN96_RS13435,PN96_RS13435,NZ_CP009977.1,2897089,2897271,-,hypothetical protein,No COG annotation,A0A1B1E893,Op2845,TfoX
PN96_RS13440,tusA,NZ_CP009977.1,2897404,2897652,+,sulfurtransferase TusA,"Post-translational modification, protein turnover, and chaperones",A0A1B1E8B9,Op2846,Crp
PN96_RS13445,PN96_RS13445,NZ_CP009977.1,2897686,2897946,-,hypothetical protein,No COG annotation,A0A1B1E867,Op2847,
PN96_RS13450,PN96_RS13450,NZ_CP009977.1,2898153,2898707,-,TMEM165/GDT1 family protein,Function unknown,A0A3B7D6V5,Op2848,yybP-ykoY
PN96_RS13455,glyQ,NZ_CP009977.1,2899191,2900111,+,glycine--tRNA ligase subunit alpha,"Translation, ribosomal structure and biogenesis",A0A1B1E847,Op2849,
PN96_RS13460,glyS,NZ_CP009977.1,2900126,2902192,+,glycine--tRNA ligase subunit beta,"Translation, ribosomal structure and biogenesis",UPI0003581FB9,Op2849,TfoX
PN96_RS13465,PN96_RS13465,NZ_CP009977.1,2902424,2904508,+,alpha-amylase,Carbohydrate transport and metabolism,UPI0003574075,Op2850,
PN96_RS13470,PN96_RS13470,NZ_CP009977.1,2904735,2905988,+,valine--pyruvate transaminase,Amino acid transport and metabolism,A0A1B1E874,Op2851,
PN96_RS13475,PN96_RS13475,NZ_CP009977.1,2906053,2906490,-,Hsp20 family protein,"Post-translational modification, protein turnover, and chaperones",A0A1B1E8E4,Op2852,
PN96_RS13480,gyrB,NZ_CP009977.1,2906924,2909341,-,DNA topoisomerase (ATP-hydrolyzing) subunit B,"Replication, recombination and repair",UPI0003576ED8,Op2853,
PN96_RS13485,recF,NZ_CP009977.1,2909355,2910434,-,DNA replication/repair protein RecF,"Replication, recombination and repair",A0A3B7CW47,Op2853,
PN96_RS13490,dnaN,NZ_CP009977.1,2910444,2911544,-,DNA polymerase III subunit beta,"Replication, recombination and repair",A0A1B1E853,Op2853,
PN96_RS13495,dnaA,NZ_CP009977.1,2911608,2913014,-,chromosomal replication initiator protein DnaA,"Replication, recombination and repair",A0A1B1E883,Op2853,
PN96_RS13500,PN96_RS13500,NZ_CP009977.1,2913440,2914186,+,amino acid ABC transporter substrate-binding protein,Amino acid transport and metabolism,A0A3B7D1H1,Op2854,"Crp,FNR"
PN96_RS13505,PN96_RS13505,NZ_CP009977.1,2914299,2914970,+,amino acid ABC transporter permease,Inorganic ion transport and metabolism,A0A1B1EG87,Op2855,
PN96_RS13510,PN96_RS13510,NZ_CP009977.1,2914967,2915704,+,amino acid ABC transporter ATP-binding protein,Amino acid transport and metabolism,A0A1B1EG70,Op2855,QstR
PN96_RS13515,rpmH,NZ_CP009977.1,2915946,2916080,+,50S ribosomal protein L34,"Translation, ribosomal structure and biogenesis",A0A072GKC9,Op2856,
PN96_RS13520,rnpA,NZ_CP009977.1,2916094,2916450,+,ribonuclease P protein component,"Translation, ribosomal structure and biogenesis",A0A1B1EGY7,Op2856,
PN96_RS13525,yidD,NZ_CP009977.1,2916417,2916674,+,membrane protein insertion efficiency factor YidD,Function unknown,A0A2A9F5K2,Op2856,
PN96_RS13530,yidC,NZ_CP009977.1,2916677,2918299,+,membrane protein insertase YidC,"Intracellular trafficking, secretion, and vesicular transport",A0A1B1EG88,Op2856,
PN96_RS13535,mnmE,NZ_CP009977.1,2918433,2919794,+,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE,"Translation, ribosomal structure and biogenesis",UPI000357F2AF,Op2857,
PN96_RS13540,mioC,NZ_CP009977.1,2919890,2920324,+,FMN-binding protein MioC,Inorganic ion transport and metabolism,A0A1B1EGA1,Op2857,
PN96_RS13545,mnmG,NZ_CP009977.1,2920801,2922696,+,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,"Cell cycle control, cell division, chromosome partitioning",UPI0003578B86,Op2858,
PN96_RS13550,rsmG,NZ_CP009977.1,2922696,2923331,+,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,"Translation, ribosomal structure and biogenesis",A0A3B7D1F6,Op2858,
PN96_RS13555,PN96_RS13555,NZ_CP009977.1,2923344,2924117,+,ParA family protein,"Cell cycle control, cell division, chromosome partitioning",A0A0C3IEC2,Op2858,
PN96_RS13560,PN96_RS13560,NZ_CP009977.1,2924142,2925023,+,ParB/RepB/Spo0J family partition protein,Transcription,UPI0003582FE5,Op2858,
PN96_RS13565,PN96_RS13565,NZ_CP009977.1,2925213,2925602,+,F0F1 ATP synthase subunit I,Energy production and conversion,A0A1B1EGH1,Op2859,Crp
PN96_RS13570,atpB,NZ_CP009977.1,2925611,2926423,+,F0F1 ATP synthase subunit A,Energy production and conversion,A0A1B1EGX9,Op2859,Crp
PN96_RS13575,atpE,NZ_CP009977.1,2926480,2926734,+,F0F1 ATP synthase subunit C,Energy production and conversion,A0A072K1C9,Op2859,Crp
PN96_RS13580,atpF,NZ_CP009977.1,2926806,2927276,+,F0F1 ATP synthase subunit B,Energy production and conversion,A0A1B1EG82,Op2859,Crp
PN96_RS13585,atpH,NZ_CP009977.1,2927291,2927824,+,F0F1 ATP synthase subunit delta,Energy production and conversion,A0A1B1EG94,Op2859,Crp
PN96_RS13590,atpA,NZ_CP009977.1,2927838,2929379,+,F0F1 ATP synthase subunit alpha,Energy production and conversion,A0A1B1EG63,Op2859,Crp
PN96_RS13595,atpG,NZ_CP009977.1,2929424,2930290,+,F0F1 ATP synthase subunit gamma,Energy production and conversion,A0A3B7D6S9,Op2859,Crp
PN96_RS13600,atpD,NZ_CP009977.1,2930326,2931729,+,F0F1 ATP synthase subunit beta,Energy production and conversion,A0A1B1EG78,Op2859,Crp
PN96_RS13605,atpC,NZ_CP009977.1,2931748,2932170,+,F0F1 ATP synthase subunit epsilon,Energy production and conversion,A0A3B7CUU7,Op2859,Crp
PN96_RS13610,glmU,NZ_CP009977.1,2932320,2933681,+,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,Cell wall/membrane/envelope biogenesis,A0A1B1EG51,Op2860,NagC
PN96_RS13615,PN96_RS13615,NZ_CP009977.1,2933767,2934510,-,amino acid ABC transporter permease,Inorganic ion transport and metabolism,UPI0004627AE5,Op2861,
PN96_RS13620,PN96_RS13620,NZ_CP009977.1,2934626,2935402,+,transporter substrate-binding domain-containing protein,Amino acid transport and metabolism,UPI0003574561,Op2862,
PN96_RS13625,PN96_RS13625,NZ_CP009977.1,2935468,2936667,-,Bcr/CflA family multidrug efflux MFS transporter,Amino acid transport and metabolism,UPI0003582724,Op2863,Crp
PN96_RS13630,PN96_RS13630,NZ_CP009977.1,2936821,2937723,+,LysR family transcriptional regulator,Transcription,A0A3B7CWZ0,Op2864,
PN96_RS13635,ilvA,NZ_CP009977.1,2937771,2939318,-,threonine ammonia-lyase%2C biosynthetic,Amino acid transport and metabolism,UPI000357D3B9,Op2865,
PN96_RS13640,ilvD,NZ_CP009977.1,2939321,2941162,-,dihydroxy-acid dehydratase,Coenzyme transport and metabolism,A0A3B7CUJ8,Op2865,
PN96_RS13645,ilvM,NZ_CP009977.1,2941330,2941614,-,acetolactate synthase 2 small subunit,Function unknown,A0A0C3HWP6,Op2865,
