,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator
PA3349,PA3349,,3760897,3761829,-,chemotaxis protein,Cell motility,Q9HYP7,
PA3350,PA3350,,3761961,3762659,+,flagellar basal body P-ring biosynthesis protein FlgA,Cell motility,Q9HYP6,
PA3351,flgM,,3762804,3763127,+,protein FlgM,Transcription,Q9HYP5,
PA3352,PA3352,,3763182,3763652,+,hypothetical protein,Cell motility,Q9HYP4,
PA3353,PA3353,,3763681,3764472,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HYP3,
PA3354,PA3354,,3764476,3765087,-,hypothetical protein,Function unknown,Q9HYP2,
PA3355,PA3355,,3765129,3766433,-,hypothetical protein,Amino acid transport and metabolism,Q9HYP1,
PA3356,PA3356,,3766617,3767858,-,hypothetical protein,Amino acid transport and metabolism,Q9HYP0,
PA3357,dsdA,,3768184,3769530,+,D-serine dehydratase,Amino acid transport and metabolism,Q9HYN9,
PA3358,PA3358,,3769587,3770465,+,hypothetical protein,Amino acid transport and metabolism,Q9HYN8,
PA3359,PA3359,,3770470,3771480,-,hypothetical protein,Function unknown,Q9HYN7,
PA3360,PA3360,,3771503,3772561,-,secretion protein,Defense mechanisms,Q9HYN6,
PA3361,lecB,,3773029,3773376,+,fucose-binding lectin PA-IIL,Function unknown,Q9HYN5,
PA3362,PA3362,,3773430,3773948,-,transporter protein AmiS,Function unknown,Q51417,AmiR
PA3363,amiR,,3773991,3774581,-,aliphatic amidase regulator,Transcription,P10932,AmiR
PA3364,amiC,,3774578,3775735,-,aliphatic amidase expression-regulating protein,Amino acid transport and metabolism,P27017,AmiR
PA3365,PA3365,,3775761,3776876,-,chaperone,"Post-translational modification, protein turnover,and chaperones",Q51416,AmiR
PA3366,amiE,,3776959,3777999,-,acylamide amidohydrolase,Function unknown,P11436,AmiR
PA3367,PA3367,,3778266,3778604,+,hypothetical protein,No COG annotation,Q9HYN4,
PA3368,PA3368,,3778704,3779369,+,acetyltransferase,Transcription,Q9HYN3,
PA3369,PA3369,,3779562,3779840,+,hypothetical protein,No COG annotation,Q9HYN2,
PA3370,PA3370,,3779930,3780076,+,hypothetical protein,No COG annotation,Q9HYN1,
PA3371,PA3371,,3780128,3780313,+,hypothetical protein,No COG annotation,Q9HYN0,
PA3372,PA3372,,3780362,3781132,-,carbon-phosphorus lyase complex accessory protein,Function unknown,Q9HYM9,PhnF
PA3373,PA3373,,3781123,3781680,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HYM8,PhnF
PA3374,PA3374,,3781680,3782843,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HYM7,PhnF
PA3375,PA3375,,3782833,3783549,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9HYM6,PhnF
PA3376,PA3376,,3783599,3784414,-,phosphonate C-P lyase system protein PhnK,Inorganic ion transport and metabolism,Q9HYM5,PhnF
PA3377,PA3377,,3784411,3785295,-,hypothetical protein,Coenzyme transport and metabolism,Q9HYM4,PhnF
PA3378,PA3378,,3785292,3786392,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HYM3,PhnF
PA3379,PA3379,,3786392,3787021,-,carbon-phosphorus lyase complex subunit,Inorganic ion transport and metabolism,Q9HYM2,PhnF
PA3380,PA3380,,3787021,3787479,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HYM1,PhnF
PA3381,phnF,,3787489,3788211,-,transcriptional regulator,Transcription,Q9HYM0,PhnF
PA3382,phnE,,3788232,3789026,-,phosphonate transporter PhnE,Inorganic ion transport and metabolism,Q9HYL9,
PA3383,PA3383,,3789093,3790097,-,phosphonate ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,Q9HYL8,
PA3384,phnC,,3790150,3790986,-,phosphonate ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9HYL7,
PA3385,amrZ,,3791347,3791673,+,alginate and motility regulator Z,Function unknown,G3XCY4,
PA3386,PA3386,,3791827,3792192,+,hypothetical protein,Function unknown,Q9HYL6,
PA3387,rhlG,,3792290,3793060,+,3-oxoacyl-ACP reductase,Lipid transport and metabolism,Q9RPT1,
PA3388,PA3388,,3793113,3793808,+,S-adenosylmethionine-dependent methyltransferase RcsF,Function unknown,Q9RPT0,
PA3390,PA3390,,3793815,3794117,-,hypothetical protein,Function unknown,Q9HYL5,
PA3389,PA3389,,3794178,3794591,+,ring-cleaving dioxygenase,Amino acid transport and metabolism,Q9HYL4,
PA3391,nosR,,3794819,3796966,+,regulatory protein NosR,Energy production and conversion,Q9HYL3,
PA3392,nosZ,,3797009,3798919,+,nitrous-oxide reductase,Energy production and conversion,Q9HYL2,
PA3393,nosD,,3798916,3800202,+,copper-binding periplasmic protein,Inorganic ion transport and metabolism,Q9HYL1,
PA3394,nosF,,3800199,3801113,+,copper ABC transporter ATP-binding protein,Defense mechanisms,Q9HYL0,
PA3395,nosY,,3801104,3801931,+,membrane protein NosY,Function unknown,Q9HYK9,
PA3396,nosL,,3801948,3802484,+,acessory protein NosL,Energy production and conversion,Q9HYK8,
PA3397,fpr,,3802567,3803343,-,ferredoxin-NADP reductase,Energy production and conversion,Q9HYK7,
PA3398,PA3398,,3803617,3804543,+,transcriptional regulator,Transcription,Q9HYK6,
PA3399,PA3399,,3804545,3804886,-,hypothetical protein,Function unknown,Q9HYK5,
PA3400,PA3400,,3804940,3806073,-,hypothetical protein,Defense mechanisms,Q9HYK4,
PA3401,PA3401,,3806070,3807242,-,hypothetical protein,Defense mechanisms,Q9HYK3,
PA3402,PA3402,,3807246,3808217,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HYK2,
PA3403,PA3403,,3808318,3808803,-,hypothetical protein,Function unknown,Q9HYK1,
PA3403a,PA3403a,,3808978,3809265,+,hypothetical protein,Function unknown,UPI0000396092,
PA3404,PA3404,,3809258,3810613,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HYK0,
PA3405,hasE,,3810610,3811941,-,metalloprotease secretion protein,Cell wall/membrane/envelope biogenesis,Q9HYJ9,
PA3406,hasD,,3811938,3813740,-,transporter HasD,Defense mechanisms,Q9HYJ8,
PA3407,hasAp,,3813958,3814575,-,heme acquisition protein HasA,Function unknown,G3XD33,
PA3408,hasR,,3814661,3817336,-,heme uptake outer membrane receptor HasR,Inorganic ion transport and metabolism,Q9HYJ7,
PA3409,PA3409,,3817546,3818532,-,transmembrane sensor,Inorganic ion transport and metabolism,Q9HYJ6,
PA3410,PA3410,,3818597,3819112,-,ECF subfamily sigma-70 factor,Transcription,Q9HYJ5,
PA3411,PA3411,,3819189,3819407,-,hypothetical protein,No COG annotation,Q9HYJ4,
PA3412,PA3412,,3819527,3819796,-,hypothetical protein,Function unknown,Q9HYJ3,
PA3413,PA3413,,3820006,3820272,+,hypothetical protein,Function unknown,Q9HYJ2,"LexA,LexA"
PA3414,PA3414,,3820308,3820892,+,hypothetical protein,No COG annotation,Q9HYJ1,
PA3415,PA3415,,3821385,3822497,-,branched-chain alpha-keto acid dehydrogenase subunit E2,Energy production and conversion,Q9HYJ0,
PA3416,PA3416,,3822515,3823516,-,pyruvate dehydrogenase E1 component subunit beta,Energy production and conversion,Q9HYI9,
PA3417,PA3417,,3823509,3824606,-,pyruvate dehydrogenase E1 component subunit alpha,Energy production and conversion,Q9HYI8,
PA3418,ldh,,3824748,3825773,-,leucine dehydrogenase,Amino acid transport and metabolism,Q9HYI7,
PA3419,PA3419,,3826019,3826831,+,hypothetical protein,Function unknown,Q9HYI6,
PA3420,PA3420,,3826838,3829321,-,transcriptional regulator,Transcription,Q9HYI5,
PA3421,PA3421,,3829471,3830841,-,hypothetical protein,Function unknown,Q9HYI4,
PA3422,PA3422,,3830898,3832655,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HYI3,
PA3423,PA3423,,3832940,3833683,+,transcriptional regulator,Transcription,Q9HYI2,
PA3424,PA3424,,3833774,3835180,+,hypothetical protein,Amino acid transport and metabolism,Q9HYI1,
PA3425,PA3425,,3835215,3835559,+,hypothetical protein,Function unknown,Q9HYI0,
PA3426,PA3426,,3835579,3836349,-,enoyl-CoA hydratase,Lipid transport and metabolism,Q9HYH9,
PA3427,PA3427,,3836466,3837377,-,short-chain dehydrogenase,Lipid transport and metabolism,Q9HYH8,
PA3428,PA3428,,3837493,3837786,-,hypothetical protein,No COG annotation,Q9HYH7,
PA3429,PA3429,,3837885,3838781,-,epoxide hydrolase,Function unknown,Q9HYH6,
PA3430,PA3430,,3838778,3839557,-,aldolase,Carbohydrate transport and metabolism,Q9HYH5,
PA3431,PA3431,,3839686,3840372,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HYH4,
PA3432,PA3432,,3840359,3840748,-,hypothetical protein,Function unknown,Q9HYH3,
PA3433,PA3433,,3840844,3841737,+,transcriptional regulator,Transcription,Q9HYH2,
PA3434,PA3434,,3842274,3843290,-,transposase,"Replication, recombination and repair",Q9HI37,
PA3435,PA3435,,3843653,3844105,-,flavodoxin,Energy production and conversion,Q9HYH1,
PA3436,PA3436,,3844385,3844942,+,hypothetical protein,Function unknown,Q9HYH0,
PA3437,folM,,3845053,3845757,+,short-chain dehydrogenase,Lipid transport and metabolism,Q9HYG9,
PA3438,folE1,,3845775,3846335,+,GTP cyclohydrolase I,Coenzyme transport and metabolism,Q9HYG8,
PA3439,folX,,3846337,3846708,+,D-erythro-7%2C8-dihydroneopterin triphosphate 2'-epimerase,Coenzyme transport and metabolism,Q9HYG7,
PA3440,PA3440,,3846837,3847148,+,hypothetical protein,Function unknown,Q9HYG6,
PA3440a,PA3440a,,3847200,3847538,+,type III effector protein,Function unknown,UPI00003960AC,
PA3441,PA3441,,3847718,3847933,-,molybdopterin-binding protein,Coenzyme transport and metabolism,Q9HYG5,CysB
PA3442,PA3442,,3847974,3848798,-,aliphatic sulfonates ABC transporter ATP-binding subunit,Inorganic ion transport and metabolism,Q9HYG4,CysB
PA3443,PA3443,,3848795,3849583,-,ABC transporter permease,Inorganic ion transport and metabolism,Q9HYG3,CysB
PA3444,PA3444,,3849604,3850752,-,alkanesulfonate monooxygenase,Energy production and conversion,Q9HYG2,CysB
PA3445,PA3445,,3850830,3851801,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HYG1,CysB
PA3446,PA3446,,3851920,3852513,-,NAD(P)H-dependent FMN reductase,Function unknown,Q9HYG0,CysB
PA3447,PA3447,,3852667,3853416,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9HYF9,
PA3448,PA3448,,3853413,3854237,-,ABC transporter permease,"Intracellular trafficking, secretion, and vesicular transport",Q9HYF8,
PA3449,PA3449,,3854241,3855242,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HYF7,
PA3450,PA3450,,3855493,3856131,-,antioxidant protein,"Post-translational modification, protein turnover,and chaperones",Q9HYF6,
PA3451,PA3451,,3856337,3856546,+,hypothetical protein,No COG annotation,Q9HYF5,
PA3452,mqoA,,3856749,3858320,+,malate:quinone oxidoreductase,Energy production and conversion,Q9HYF4,
PA3453,PA3453,,3858544,3859209,-,hypothetical protein,Function unknown,Q9HYF3,
PA3454,PA3454,,3859338,3860522,-,acyl-CoA thiolase,Lipid transport and metabolism,Q9HYF2,
PA3455,PA3455,,3860675,3862165,-,hypothetical protein,Function unknown,Q9HYF1,
PA3456,PA3456,,3862309,3864273,+,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC,Coenzyme transport and metabolism,Q9HYF0,
PA3457,PA3457,,3864374,3865126,+,hypothetical protein,Function unknown,Q9HYE9,
PA3458,PA3458,,3865281,3865754,-,transcriptional regulator,Transcription,Q9HYE8,
PA3459,PA3459,,3865897,3867666,+,glutamine amidotransferase,Amino acid transport and metabolism,Q9HYE7,
PA3460,PA3460,,3867707,3869464,+,acetyltransferase,Coenzyme transport and metabolism,Q9HYE6,
PA3461,PA3461,,3869461,3870657,+,hypothetical protein,Carbohydrate transport and metabolism,Q9HYE5,
PA3462,PA3462,,3870795,3873554,+,sensor/response regulator hybrid protein,Signal transduction mechanisms,Q9HYE4,
PA3463,PA3463,,3873606,3873836,+,hypothetical protein,Function unknown,Q9HYE3,
PA3464,PA3464,,3874654,3875979,-,hypothetical protein,No COG annotation,Q9HYE2,
PA3465,PA3465,,3876196,3877911,+,hypothetical protein,Amino acid transport and metabolism,Q9HYE1,
PA3466,PA3466,,3878033,3879373,-,ATP-dependent RNA helicase,"Translation, ribosomal structure and biogenesis",Q9HYE0,
PA3467,PA3467,,3879559,3880926,+,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9HYD9,
PA3468,PA3468,,3881093,3882421,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HYD8,
PA3469,PA3469,,3882441,3882983,+,hypothetical protein,Coenzyme transport and metabolism,Q9HYD7,
PA3470,PA3470,,3882980,3883438,+,hypothetical protein,"Replication, recombination and repair",Q9HYD6,
PA3471,PA3471,,3883560,3885254,-,NAD-dependent malic enzyme,Energy production and conversion,Q9HYD5,
PA3472,PA3472,,3885711,3886307,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HYD4,
PA3473,PA3473,,3886328,3887227,-,chloramphenicol-sensitive protein RarD,Function unknown,O68827,
PA3474,PA3474,,3887224,3888084,-,hypothetical protein,Amino acid transport and metabolism,O68826,
PA3475,pheC,,3888178,3888984,-,cyclohexadienyl dehydratase,Amino acid transport and metabolism,Q01269,
PA3476,rhlI,,3889139,3889744,-,acyl-homoserine-lactone synthase,Coenzyme transport and metabolism,P54291,
PA3477,rhlR,,3889925,3890650,-,transcriptional regulator RhlR,Transcription,P54292,
PA3478,rhlB,,3890775,3892055,-,rhamnosyltransferase subunit B,Energy production and conversion,Q9HYD1,
PA3479,rhlA,,3892121,3893008,-,rhamnosyltransferase subunit A,Lipid transport and metabolism,Q51559,
PA3480,PA3480,,3893432,3893998,-,deoxycytidine triphosphate deaminase,Nucleotide transport and metabolism,Q9HYC9,
PA3481,PA3481,,3894099,3895193,-,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Q9HYC8,
PA3482,metG,,3895324,3897357,+,methionine--tRNA ligase,"Translation, ribosomal structure and biogenesis",Q9HYC7,
PA3483,PA3483,,3897391,3898191,+,hypothetical protein,Function unknown,Q9HYC6,
PA3484,PA3484,,3898278,3899504,+,hypothetical protein,No COG annotation,Q9HYC5,
PA3485,PA3485,,3899501,3899938,+,hypothetical protein,No COG annotation,Q9HYC4,
PA3486,PA3486,,3900233,3902659,+,hypothetical protein,Function unknown,Q9HYC3,
PA3487,pldA,,3902663,3905962,+,phospholipase D,Lipid transport and metabolism,Q9HYC2,
PA3488,PA3488,,3906055,3907089,+,hypothetical protein,Function unknown,UPI0001E9EB9F,
PA3489,PA3489,,3907268,3907852,+,electron transport complex subunit A,Energy production and conversion,Q9HYC0,
PA3490,PA3490,,3907849,3908415,+,electron transport complex subunit B,Energy production and conversion,Q9HYB9,
PA3491,PA3491,,3908412,3910736,+,electron transport complex subunit C,Energy production and conversion,Q9HYB8,
PA3492,PA3492,,3910739,3911773,+,electron transport complex subunit D,"Intracellular trafficking, secretion, and vesicular transport",Q9HYB7,
PA3493,PA3493,,3911773,3912417,+,electron transport complex subunit G,Energy production and conversion,Q9HYB6,
PA3494,PA3494,,3912410,3913132,+,electron transport complex subunit E,Energy production and conversion,Q9HYB5,
PA3495,nth,,3913129,3913767,+,endonuclease III,"Replication, recombination and repair",Q9HYB4,
PA3496,PA3496,,3913876,3914055,+,hypothetical protein,No COG annotation,Q9HYB3,
PA3497,PA3497,,3914117,3915337,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HYB2,
PA3498,PA3498,,3915807,3916763,-,oxidoreductase,Energy production and conversion,Q9HYB1,
PA3499,PA3499,,3916778,3917212,-,hypothetical protein,"Translation, ribosomal structure and biogenesis",Q9HYB0,
PA3500,PA3500,,3917209,3918228,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HYA9,
PA3501,PA3501,,3918251,3918469,-,hypothetical protein,No COG annotation,Q9HYA8,
PA3502,PA3502,,3918471,3918788,-,hypothetical protein,No COG annotation,Q9HYA7,
PA3504,PA3504,,3919774,3921258,-,aldehyde dehydrogenase,Energy production and conversion,Q9HYA5,
PA3505,PA3505,,3921270,3922073,-,L-aspartate dehydrogenase,Coenzyme transport and metabolism,Q9HYA4,
PA3506,PA3506,,3922084,3923766,-,hypothetical protein,Amino acid transport and metabolism,Q9HYA3,
PA3507,PA3507,,3923759,3924556,-,short-chain dehydrogenase,Lipid transport and metabolism,Q9HYA2,
PA3508,PA3508,,3924543,3925376,-,transcriptional regulator,Transcription,Q9HYA1,
PA3509,PA3509,,3925369,3926238,-,hydrolase,Function unknown,Q9HYA0,
PA3510,PA3510,,3926247,3926777,-,hypothetical protein,Carbohydrate transport and metabolism,Q9HY99,
PA3511,PA3511,,3926791,3927552,-,short-chain dehydrogenase,Lipid transport and metabolism,Q9HY98,
PA3512,PA3512,,3927558,3928334,-,ABC transporter permease,Inorganic ion transport and metabolism,Q9HY97,
PA3513,PA3513,,3928331,3929338,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HY96,
PA3514,PA3514,,3929379,3930230,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9HY95,
PA3515,PA3515,,3930743,3931816,-,hypothetical protein,"Translation, ribosomal structure and biogenesis",Q9HY94,CueR
PA3516,PA3516,,3931866,3933317,-,adenylosuccinate lyase,Nucleotide transport and metabolism,Q9HY93,CueR
PA3517,PA3517,,3933317,3934750,-,adenylosuccinate lyase,Nucleotide transport and metabolism,Q9HY92,CueR
PA3518,PA3518,,3934781,3935767,-,hypothetical protein,Coenzyme transport and metabolism,Q9HY91,CueR
PA3519,PA3519,,3935800,3936837,-,hypothetical protein,Coenzyme transport and metabolism,Q9HY90,CueR
PA3520,PA3520,,3937238,3937432,-,hypothetical protein,Inorganic ion transport and metabolism,Q9HY89,CueR
PA3521,PA3521,,3938020,3939495,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HY88,CueR
PA3522,PA3522,,3939492,3942653,-,resistance-nodulation-cell division (RND) efflux transporter,"Intracellular trafficking, secretion, and vesicular transport",Q9HY87,CueR
PA3523,PA3523,,3942650,3943807,-,resistance-nodulation-cell division (RND) efflux membrane fusion protein,Cell wall/membrane/envelope biogenesis,Q9HY86,CueR
PA3524,gloA1,,3944184,3944570,+,lactoylglutathione lyase,Amino acid transport and metabolism,Q9HY85,
PA3525,argG,,3944662,3945879,-,argininosuccinate synthase,Amino acid transport and metabolism,Q9HY84,ArgR
PA3526,PA3526,,3945997,3946962,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9HY83,
PA3527,pyrC,,3947095,3948141,+,dihydroorotase,Nucleotide transport and metabolism,P72170,
PA3528,rnt,,3948138,3948812,+,ribonuclease T,"Replication, recombination and repair",Q9HY82,
PA3529,PA3529,,3948991,3949593,-,peroxidase,"Post-translational modification, protein turnover,and chaperones",Q9HY81,
PA3530,PA3530,,3949853,3950074,+,hypothetical protein,Inorganic ion transport and metabolism,Q9HY80,
PA3531,bfrB,,3950284,3950760,+,bacterioferritin,Inorganic ion transport and metabolism,Q9HY79,
PA3532,PA3532,,3950827,3951978,-,hypothetical protein,Carbohydrate transport and metabolism,Q9HY78,
PA3533,PA3533,,3952061,3952387,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9HY77,
PA3534,PA3534,,3952500,3954608,-,oxidoreductase,Energy production and conversion,Q9HY76,
PA3535,PA3535,,3954907,3957894,+,serine protease,"Post-translational modification, protein turnover,and chaperones",Q9HY75,
PA3536,PA3536,,3958288,3958755,-,hypothetical protein,No COG annotation,Q9HY74,
PA3537,argF,,3959033,3959950,+,ornithine carbamoyltransferase,Amino acid transport and metabolism,P11724,ArgR
PA3538,PA3538,,3959955,3961037,+,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9HY73,
PA3539,PA3539,,3961144,3961923,+,hypothetical protein,Function unknown,Q9HY72,
PA3540,algD,,3962825,3964135,+,GDP-mannose 6-dehydrogenase AlgD,Cell wall/membrane/envelope biogenesis,P11759,PA1226
PA3541,alg8,,3964275,3965759,+,glycosyltransferase alg8,Cell wall/membrane/envelope biogenesis,Q52463,PA1226
PA3542,alg44,,3965842,3967011,+,alginate biosynthesis protein Alg44,Cell wall/membrane/envelope biogenesis,Q9HY69,PA1226
PA3543,algK,,3967025,3968452,+,alginate biosynthesis protein AlgK,Function unknown,P96956,PA1226
PA3544,algE,,3968449,3969921,+,alginate production protein AlgE,Function unknown,P18895,PA1226
PA3545,algG,,3969942,3971573,+,alginate-c5-mannuronan-epimerase AlgG,Inorganic ion transport and metabolism,Q51371,PA1226
PA3546,algX,,3971586,3973010,+,alginate biosynthesis protein AlgX,Cell wall/membrane/envelope biogenesis,Q51372,PA1226
PA3547,algL,,3973014,3974117,+,alginate lyase,Carbohydrate transport and metabolism,Q06749,PA1226
PA3548,algI,,3974359,3975921,+,alginate o-acetylase AlgI,Cell wall/membrane/envelope biogenesis,Q51392,PA1226
PA3549,algJ,,3975936,3977111,+,alginate o-acetylase AlgJ,Function unknown,Q51393,
PA3550,algF,,3977184,3977834,+,alginate o-acetyltransferase AlgF,Cell wall/membrane/envelope biogenesis,Q06062,
PA3551,algA,,3978031,3979476,+,bifunctional mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,Carbohydrate transport and metabolism,P07874,
PA3552,arnB,,3979860,3981008,+,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,Cell wall/membrane/envelope biogenesis,Q9HY65,PmrA
PA3553,arnC,,3981005,3982024,+,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,Cell wall/membrane/envelope biogenesis,Q9HY64,PmrA
PA3554,arnA,,3982021,3984009,+,bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase,Lipid transport and metabolism,Q9HY63,PmrA
PA3555,arnD,,3984006,3984893,+,4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,Carbohydrate transport and metabolism,Q9HY62,PmrA
PA3556,arnT,,3984890,3986539,+,4-amino-4-deoxy-L-arabinose lipid A transferase,Cell wall/membrane/envelope biogenesis,Q9HY61,PmrA
PA3557,arnE,,3986536,3986883,+,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,"Intracellular trafficking, secretion, and vesicular transport",Q9HY60,PmrA
PA3558,arnF,,3986880,3987293,+,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF,"Intracellular trafficking, secretion, and vesicular transport",Q9HY59,PmrA
PA3559,PA3559,,3987290,3988684,+,nucleotide sugar dehydrogenase,Cell wall/membrane/envelope biogenesis,Q9HY58,
PA3560,fruA,,3988838,3990595,-,PTS system fructose-specific transporter subunit IIBC,Carbohydrate transport and metabolism,Q9HY57,"FruR,FruR"
PA3561,fruK,,3990597,3991541,-,1-phosphofructokinase,Coenzyme transport and metabolism,Q9HY56,"FruR,FruR"
PA3562,fruI,,3991541,3994411,-,PTS system fructose-specific transporter subunit FruI,Carbohydrate transport and metabolism,Q9HY55,"FruR,FruR"
PA3563,fruR,,3994739,3995728,+,FruR family transcriptional regulator,Transcription,Q9HY54,FruR
PA3564,PA3564,,3995841,3996518,+,hypothetical protein,"Replication, recombination and repair",Q9HY53,
PA3565,PA3565,,3996806,3997726,-,transcriptional regulator,Transcription,Q9HY52,
PA3566,PA3566,,3997822,3998115,+,hypothetical protein,Function unknown,Q9HY51,
PA3567,PA3567,,3998137,3999150,+,oxidoreductase,Energy production and conversion,Q9HY50,
PA3568,PA3568,,3999208,4001094,-,propionyl-CoA synthetase,Lipid transport and metabolism,P28812,
PA3569,mmsB,,4001196,4002092,-,3-hydroxyisobutyrate dehydrogenase,Lipid transport and metabolism,P28811,MmsR
PA3570,mmsA,,4002108,4003601,-,methylmalonate-semialdehyde dehydrogenase,Energy production and conversion,P28810,MmsR
PA3571,mmsR,,4003733,4004656,+,transcriptional regulator MmsR,Transcription,P28809,
PA3572,PA3572,,4004783,4004959,+,hypothetical protein,No COG annotation,Q9HY48,
PA3573,PA3573,,4004967,4006145,-,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9HY47,
PA3574,nalD,,4006510,4007148,+,transcriptional regulator,Transcription,Q9HY46,
PA3574a,PA3574a,,4007127,4007324,-,copper chaperone CopZ,Inorganic ion transport and metabolism,UPI00006D86EB,CueR
PA3575,PA3575,,4007507,4008037,+,hypothetical protein,Energy production and conversion,Q9HY45,
PA3576,PA3576,,4008136,4008558,+,hypothetical protein,No COG annotation,Q9HY44,
PA3577,PA3577,,4008938,4009051,-,hypothetical protein,No COG annotation,Q9HY43,
PA3578,PA3578,,4009542,4010327,-,hypothetical protein,Function unknown,Q9HY42,
PA3579,PA3579,,4010523,4012007,-,glycerol kinase,Nucleotide transport and metabolism,Q9HY41,
PA3580,PA3580,,4012071,4012541,-,hypothetical protein,Function unknown,G3XCT4,
PA3581,glpF,,4012806,4013645,+,glycerol uptake facilitator protein,"Intracellular trafficking, secretion, and vesicular transport",Q51389,GlpR
PA3582,glpK,,4013685,4015202,+,glycerol kinase,Nucleotide transport and metabolism,Q51390,GlpR
PA3583,glpR,,4015408,4016163,+,glycerol-3-phosphate regulon repressor,Transcription,Q51391,
PA3584,glpD,,4016441,4017979,+,glycerol-3-phosphate dehydrogenase,Energy production and conversion,P52111,GlpR
PA3585,glpM,,4018112,4018441,+,membrane protein GlpM,Function unknown,P52112,
PA3586,PA3586,,4018458,4019444,-,hydrolase,Function unknown,Q9HY40,
PA3587,metR,,4019743,4020663,+,transcriptional regulator MetR,Transcription,Q9HY39,MetR
PA3588,PA3588,,4020669,4021919,-,porin,Function unknown,Q9HY38,
PA3589,PA3589,,4021972,4023177,-,acetyl-CoA acetyltransferase,Lipid transport and metabolism,Q9HY37,
PA3590,PA3590,,4023200,4024732,-,3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,Q9HY36,
PA3591,PA3591,,4024729,4025526,-,enoyl-CoA hydratase,Lipid transport and metabolism,Q9HY35,
PA3592,PA3592,,4025586,4026773,-,hypothetical protein,Energy production and conversion,Q9HY34,
PA3593,PA3593,,4026812,4028539,-,acyl-CoA dehydrogenase,Lipid transport and metabolism,Q9HY33,
PA3594,PA3594,,4028653,4029540,+,transcriptional regulator,Transcription,Q9HY32,
PA3595,PA3595,,4029759,4031168,+,major facilitator superfamily transporter,Amino acid transport and metabolism,Q9HY31,
PA3596,PA3596,,4031165,4032238,-,methylated-DNA--protein-cysteine methyltransferase,Nucleotide transport and metabolism,Q9HY30,
PA3597,PA3597,,4032328,4033650,-,amino acid permease,Amino acid transport and metabolism,Q9HY29,
PA3598,PA3598,,4033850,4034665,-,hypothetical protein,Function unknown,Q9HY28,
PA3599,PA3599,,4034793,4035578,+,transcriptional regulator,Transcription,Q9HY27,
PA3600,PA3600,,4035606,4035758,-,50S ribosomal protein L36,"Translation, ribosomal structure and biogenesis",Q9HY26,Zur
PA3601,PA3601,,4035758,4036021,-,50S ribosomal protein L31 type B,"Translation, ribosomal structure and biogenesis",Q9HY25,Zur
PA3602,PA3602,,4036265,4037875,+,hypothetical protein,Amino acid transport and metabolism,Q9HY24,
PA3603,dgkA,,4037945,4038316,-,diacylglycerol kinase,Cell wall/membrane/envelope biogenesis,Q9HY23,
PA3604,erdR,,4038388,4039041,-,response regulator ErdR,Transcription,Q9HY22,
PA3605,PA3605,,4039174,4040100,+,hypothetical protein,Amino acid transport and metabolism,Q9HY21,
PA3606,PA3606,,4040104,4040820,-,hypothetical protein,Function unknown,Q9HY20,
